,Unnamed: 0,Datetime,Tweet Id,Text,Username,Hashtags,RetweetCount,LikeCount,ReplyCount,QuoteCount,InReplyToUser,OutLinks,TCooutLinks,Media,date
5956,#NOSjournaal,McNuy,"['das', 'verbreding', 'A27', 'Amelisweerd', 'NOSjournaal']",0,0,0,0.0,,,,,,,,McNuy
6327,IK vind GroenLinks een #historischefout,McNuy,"['GroenLinks', 'Utrecht', 'A27', 'Amelisweerd', 'historischefout']",0,0,0,0.0,,,,,,,,McNuy
9302,https://t.co/BMcNQ7EDKw,BTunnel_nee,"['A27', 'Amelisweerd', 'NRU', 'Uithoftram', 'Blankenburgtunnel']",1,1,0,0.0,,['https://zoek.officielebekendmakingen.nl/nds-tk-2013D10785.html'],['https://t.co/BMcNQ7EDKw'],,,,,BTunnel_ne
1201,1201,2022-02-22 18:01:06+00:00,1496183281750052873,"Dit is @minpres @markrutte z'n ""nieuwe bestuurscultuur""... De @VVD zou een verbod moeten krijgen om de komende 10 jaar te mogen regeren. Alleen maar opzienbarende affaires: @Schiphol cq luchtvaart, @TataSteelNL, toelagenaffaire, gas in Groningen, A27 #Amelisweerd verbreding, etc https://t.co/lLn8wrbXjA",lenn2art,['Amelisweerd'],0.0,3.0,0,0,,['https://twitter.com/EenVandaag/status/1496037132355260416'],['https://t.co/lLn8wrbXjA'],,2022-02-22
1212,1212,2022-02-10 18:00:35+00:00,1491834498023055362,Utrecht staat niet eens in de top 10 van drukke snelwegen rond de stad. Dat scheelt het Kabinet alweer een miljard #Amelisweerd #A27 https://t.co/bPDCBaXsyC,FritsLintmeijer,"['Amelisweerd', 'A27']",6.0,17.0,1,1,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FLQPkEZWUAIikv6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FLQPkEZWUAIikv6?format=jpg&name=large')]",2022-02-10
16040,16037,2022-02-10 18:00:35+00:00,1491834498023055362,Utrecht staat niet eens in de top 10 van drukke snelwegen rond de stad. Dat scheelt het Kabinet alweer een miljard #Amelisweerd #A27 https://t.co/bPDCBaXsyC,FritsLintmeijer,"['Amelisweerd', 'A27']",6.0,17.0,1,1,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FLQPkEZWUAIikv6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FLQPkEZWUAIikv6?format=jpg&name=large')]",2022-02-10
16051,16048,2022-02-10 11:06:09+00:00,1491730202673565699,"Sta jij hier achter?
#stemvolt op 16 maart

Meer weten over ons verkiezingsprogramma?

https://t.co/squbuaI7Jz 

Nieuwsgierig of er meer te doen is?

Kijk op https://t.co/MK1erYcDwp en sluit je bij ons aan!

#generatievolt #GR2022 #Amelisweerd #A27 #Utrecht #milieuzone 3/3",voltutrecht,"['stemvolt', 'generatievolt', 'GR2022', 'Amelisweerd', 'A27', 'Utrecht', 'milieuzone']",0.0,3.0,0,0,https://twitter.com/voltutrecht,"['https://volt.link/verkiezingsprogrammautrecht2022', 'http://utrecht.volteuropa.org']","['https://t.co/squbuaI7Jz', 'https://t.co/MK1erYcDwp']",,2022-02-10
1213,1213,2022-02-10 11:06:09+00:00,1491730202673565699,"Sta jij hier achter?
#stemvolt op 16 maart

Meer weten over ons verkiezingsprogramma?

https://t.co/squbuaI7Jz 

Nieuwsgierig of er meer te doen is?

Kijk op https://t.co/MK1erYcDwp en sluit je bij ons aan!

#generatievolt #GR2022 #Amelisweerd #A27 #Utrecht #milieuzone 3/3",voltutrecht,"['stemvolt', 'generatievolt', 'GR2022', 'Amelisweerd', 'A27', 'Utrecht', 'milieuzone']",0.0,3.0,0,0,https://twitter.com/voltutrecht,"['https://volt.link/verkiezingsprogrammautrecht2022', 'http://utrecht.volteuropa.org']","['https://t.co/squbuaI7Jz', 'https://t.co/MK1erYcDwp']",,2022-02-10
1215,1215,2022-02-08 07:45:35+00:00,1490954949932756995,@NOS Voor groei autoindustrie (lees: geld) moet kostbare natuur #Sterrebos wijken. Volgende bos is #Amelisweerd bij de #A27 @GemeenteUtrecht omdat @danielkoerhuis van de @VVD er een paar stroken asfalt erbij wil hebben,pbttf,"['Sterrebos', 'Amelisweerd', 'A27']",0.0,5.0,1,0,https://twitter.com/NOS,,,,2022-02-08
16099,16096,2022-02-08 07:45:35+00:00,1490954949932756995,@NOS Voor groei autoindustrie (lees: geld) moet kostbare natuur #Sterrebos wijken. Volgende bos is #Amelisweerd bij de #A27 @GemeenteUtrecht omdat @danielkoerhuis van de @VVD er een paar stroken asfalt erbij wil hebben,pbttf,"['Sterrebos', 'Amelisweerd', 'A27']",0.0,5.0,1,0,https://twitter.com/NOS,,,,2022-02-08
