,number_susceptible,number_infected,number_resistant
0,7906,15,0
1,7906,15,0
2,7905,16,0
3,7905,16,0
4,7905,16,0
5,7904,17,0
6,7903,18,0
7,7903,18,0
8,7903,18,0
9,7902,19,0
10,7901,20,0
11,7901,20,0
12,7900,21,0
13,7900,21,0
14,7900,21,0
15,7900,21,0
16,7900,21,0
17,7899,22,0
18,7899,22,0
19,7899,22,0
20,7898,23,0
21,7898,23,0
22,7898,23,0
23,7898,23,0
24,7898,23,0
25,7898,23,0
26,7898,23,0
27,7897,24,0
28,7894,27,0
29,7894,27,0
30,7894,27,0
31,7894,27,0
32,7894,27,0
33,7894,27,0
34,7893,28,0
35,7890,31,0
36,7890,31,0
37,7890,31,0
38,7890,31,0
39,7889,32,0
40,7888,33,0
41,7887,34,0
42,7887,34,0
43,7887,34,0
44,7887,34,0
45,7887,34,0
46,7887,34,0
47,7886,35,0
48,7883,38,0
49,7882,39,0
50,7881,40,0
51,7881,39,1
52,7880,40,1
53,7880,39,2
54,7879,40,2
55,7876,43,2
56,7875,44,2
57,7874,45,2
58,7874,45,2
59,7874,45,2
60,7874,45,2
61,7873,46,2
62,7872,47,2
63,7872,47,2
64,7870,49,2
65,7870,49,2
66,7868,51,2
67,7867,52,2
68,7867,52,2
69,7867,52,2
70,7865,54,2
71,7864,55,2
72,7863,56,2
73,7863,56,2
74,7862,57,2
75,7860,59,2
76,7860,57,4
77,7859,58,4
78,7858,59,4
79,7858,59,4
80,7857,60,4
81,7856,61,4
82,7856,61,4
83,7856,61,4
84,7853,64,4
85,7852,65,4
86,7851,66,4
87,7851,66,4
88,7850,67,4
89,7849,68,4
90,7848,69,4
91,7848,69,4
92,7848,69,4
93,7844,73,4
94,7843,74,4
95,7841,76,4
96,7841,76,4
97,7839,77,5
98,7838,78,5
99,7838,78,5
100,7838,78,5
101,7838,78,5
102,7836,80,5
103,7835,81,5
104,7835,81,5
105,7833,83,5
106,7833,83,5
107,7831,85,5
108,7830,86,5
109,7829,87,5
110,7825,90,6
111,7821,94,6
112,7816,99,6
113,7815,99,7
114,7813,101,7
115,7806,108,7
116,7805,109,7
117,7804,110,7
118,7804,110,7
119,7804,110,7
120,7804,110,7
121,7803,111,7
122,7799,115,7
123,7799,115,7
124,7796,118,7
125,7794,120,7
126,7792,122,7
127,7788,126,7
128,7784,130,7
129,7779,135,7
130,7778,136,7
131,7775,139,7
132,7770,144,7
133,7767,147,7
134,7764,150,7
135,7760,154,7
136,7757,156,8
137,7755,158,8
138,7753,160,8
139,7748,164,9
140,7745,167,9
141,7742,170,9
142,7739,173,9
143,7735,177,9
144,7731,181,9
145,7725,187,9
146,7723,187,11
147,7720,190,11
148,7716,194,11
149,7713,197,11
150,7710,200,11
151,7702,208,11
152,7695,214,12
153,7692,217,12
154,7690,219,12
155,7684,225,12
156,7681,228,12
157,7679,230,12
158,7675,234,12
159,7666,243,12
160,7661,248,12
161,7656,253,12
162,7650,258,13
163,7647,261,13
164,7646,262,13
165,7638,270,13
166,7628,280,13
167,7618,290,13
168,7611,297,13
169,7600,307,14
170,7597,310,14
171,7590,316,15
172,7588,318,15
173,7579,325,17
174,7578,326,17
175,7571,332,18
176,7567,336,18
177,7562,341,18
178,7559,344,18
179,7552,351,18
180,7544,359,18
181,7538,364,19
182,7532,370,19
183,7526,376,19
184,7523,379,19
185,7519,383,19
186,7514,388,19
187,7510,392,19
188,7499,403,19
189,7489,411,21
190,7481,419,21
191,7474,425,22
192,7468,430,23
193,7459,438,24
194,7442,454,25
195,7427,469,25
196,7409,487,25
197,7403,491,27
198,7390,504,27
199,7381,512,28
200,7372,521,28
201,7370,521,30
202,7360,530,31
203,7345,545,31
204,7332,558,31
205,7326,563,32
206,7318,570,33
207,7311,577,33
208,7300,588,33
209,7294,594,33
210,7279,609,33
211,7274,614,33
212,7260,627,34
213,7247,640,34
214,7240,647,34
215,7227,659,35
216,7211,675,35
217,7201,683,37
218,7188,696,37
219,7167,716,38
220,7154,727,40
221,7135,745,41
222,7117,762,42
223,7107,771,43
224,7097,780,44
225,7087,790,44
