,number_susceptible,number_infected,number_resistant
0,7896,25,0
1,7895,26,0
2,7895,26,0
3,7891,30,0
4,7891,30,0
5,7890,31,0
6,7889,32,0
7,7886,35,0
8,7881,40,0
9,7880,41,0
10,7877,44,0
11,7875,46,0
12,7872,49,0
13,7871,50,0
14,7868,53,0
15,7865,55,1
16,7864,56,1
17,7860,60,1
18,7856,64,1
19,7852,68,1
20,7849,71,1
21,7847,73,1
22,7844,76,1
23,7836,84,1
24,7830,90,1
25,7828,91,2
26,7827,92,2
27,7824,95,2
28,7823,96,2
29,7819,100,2
30,7811,107,3
31,7808,110,3
32,7803,115,3
33,7797,121,3
34,7789,129,3
35,7784,134,3
36,7783,135,3
37,7779,138,4
38,7772,145,4
39,7768,149,4
40,7764,153,4
41,7760,156,5
42,7756,160,5
43,7747,168,6
44,7737,178,6
45,7727,188,6
46,7720,195,6
47,7708,207,6
48,7698,217,6
49,7690,225,6
50,7676,239,6
51,7669,246,6
52,7661,254,6
53,7650,265,6
54,7640,275,6
55,7629,286,6
56,7617,298,6
57,7600,315,6
58,7583,332,6
59,7573,342,6
60,7561,353,7
61,7548,364,9
62,7531,380,10
63,7509,402,10
64,7497,414,10
65,7483,428,10
66,7467,443,11
67,7450,459,12
68,7439,469,13
69,7417,490,14
70,7397,509,15
71,7372,533,16
72,7351,554,16
73,7333,570,18
74,7311,592,18
75,7287,616,18
76,7263,640,18
77,7235,667,19
78,7215,684,22
79,7192,706,23
80,7163,732,26
81,7141,753,27
82,7107,786,28
83,7067,826,28
84,7034,857,30
85,7003,886,32
86,6965,923,33
87,6927,961,33
88,6895,992,34
89,6863,1023,35
90,6824,1062,35
91,6788,1097,36
92,6748,1134,39
93,6711,1171,39
94,6670,1211,40
95,6625,1256,40
96,6585,1293,43
97,6546,1328,47
98,6500,1374,47
99,6454,1419,48
100,6412,1460,49
101,6369,1501,51
102,6306,1564,51
103,6246,1622,53
104,6196,1668,57
105,6139,1722,60
106,6088,1771,62
107,6022,1837,62
108,5959,1899,63
109,5906,1952,63
110,5845,2008,68
111,5795,2055,71
112,5724,2124,73
113,5636,2211,74
114,5567,2278,76
115,5496,2344,81
116,5435,2403,83
117,5366,2467,88
118,5300,2532,89
119,5226,2604,91
120,5159,2669,93
121,5076,2746,99
122,4994,2825,102
123,4921,2897,103
124,4846,2969,106
125,4772,3038,111
126,4688,3119,114
127,4616,3187,118
128,4546,3255,120
129,4474,3325,122
130,4397,3397,127
131,4307,3485,129
132,4219,3566,136
133,4137,3646,138
134,4049,3730,142
135,3955,3820,146
136,3856,3918,147
137,3773,3995,153
138,3690,4075,156
139,3624,4136,161
140,3559,4196,166
141,3472,4281,168
142,3391,4357,173
143,3317,4425,179
144,3226,4510,185
145,3155,4574,192
146,3084,4643,194
147,3009,4714,198
148,2944,4778,199
149,2881,4835,205
150,2820,4892,209
151,2743,4958,220
152,2672,5025,224
153,2602,5088,231
154,2529,5156,236
155,2454,5228,239
156,2377,5298,246
157,2310,5361,250
158,2232,5434,255
159,2159,5502,260
160,2114,5544,263
161,2062,5586,273
162,1995,5645,281
163,1941,5694,286
164,1878,5751,292
165,1836,5789,296
166,1784,5835,302
167,1727,5886,308
168,1669,5943,309
169,1622,5984,315
170,1566,6035,320
171,1520,6076,325
172,1475,6108,338
173,1440,6139,342
174,1387,6182,352
175,1344,6223,354
176,1302,6260,359
177,1265,6294,362
178,1229,6319,373
179,1190,6344,387
180,1143,6385,393
181,1097,6423,401
182,1062,6456,403
183,1035,6477,409
184,1004,6499,418
185,975,6521,425
186,941,6546,434
187,901,6580,440
188,872,6604,445
189,842,6629,450
190,816,6652,453
191,792,6670,459
