,number_susceptible,number_infected,number_resistant
0,7896,25,0
1,7895,26,0
2,7895,26,0
3,7895,26,0
4,7894,27,0
5,7893,28,0
6,7893,28,0
7,7892,29,0
8,7892,29,0
9,7892,29,0
10,7891,30,0
11,7889,32,0
12,7888,33,0
13,7888,32,1
14,7887,33,1
15,7887,33,1
16,7885,35,1
17,7884,36,1
18,7882,38,1
19,7879,41,1
20,7879,41,1
21,7876,44,1
22,7876,44,1
23,7873,47,1
24,7871,49,1
25,7871,49,1
26,7869,50,2
27,7868,51,2
28,7866,53,2
29,7863,56,2
30,7860,59,2
31,7859,60,2
32,7855,64,2
33,7851,67,3
34,7847,71,3
35,7845,73,3
36,7842,76,3
37,7840,78,3
38,7837,81,3
39,7833,85,3
40,7829,89,3
41,7823,95,3
42,7820,98,3
43,7817,99,5
44,7813,103,5
45,7810,105,6
46,7808,107,6
47,7805,110,6
48,7802,113,6
49,7795,120,6
50,7793,122,6
51,7786,129,6
52,7778,136,7
53,7775,139,7
54,7768,146,7
55,7763,150,8
56,7757,156,8
57,7752,160,9
58,7750,162,9
59,7745,167,9
60,7733,178,10
61,7729,182,10
62,7720,191,10
63,7715,195,11
64,7709,201,11
65,7704,205,12
66,7701,207,13
67,7691,216,14
68,7680,227,14
69,7674,230,17
70,7665,239,17
71,7659,244,18
72,7649,253,19
73,7633,268,20
74,7619,281,21
75,7612,286,23
76,7606,292,23
77,7595,302,24
78,7581,315,25
79,7569,325,27
80,7554,339,28
81,7541,349,31
82,7526,364,31
83,7506,384,31
84,7491,398,32
85,7473,415,33
86,7455,430,36
87,7445,439,37
88,7424,458,39
89,7409,473,39
90,7397,485,39
91,7371,509,41
92,7351,527,43
93,7335,543,43
94,7317,561,43
95,7297,581,43
96,7274,602,45
97,7249,624,48
98,7230,643,48
99,7218,653,50
100,7193,678,50
101,7174,697,50
102,7152,717,52
103,7124,744,53
104,7104,762,55
105,7073,792,56
106,7040,825,56
107,7013,851,57
108,6992,870,59
109,6965,895,61
110,6930,928,63
111,6893,965,63
112,6857,1000,64
113,6816,1040,65
114,6765,1090,66
115,6728,1124,69
116,6694,1156,71
117,6656,1193,72
118,6611,1235,75
119,6560,1285,76
120,6525,1317,79
121,6480,1360,81
122,6424,1415,82
123,6380,1457,84
124,6328,1505,88
125,6283,1549,89
126,6238,1591,92
127,6194,1630,97
128,6145,1675,101
129,6091,1727,103
130,6041,1774,106
131,5997,1814,110
132,5950,1856,115
133,5898,1903,120
134,5853,1944,124
135,5793,1998,130
136,5736,2052,133
137,5683,2102,136
138,5624,2160,137
139,5561,2222,138
140,5501,2279,141
141,5436,2340,145
142,5366,2406,149
143,5300,2466,155
144,5237,2520,164
145,5177,2574,170
146,5122,2627,172
147,5054,2692,175
148,4994,2746,181
149,4924,2808,189
150,4858,2869,194
151,4785,2937,199
152,4708,3007,206
153,4641,3063,217
154,4574,3126,221
155,4505,3190,226
