,number_susceptible,number_infected,number_resistant
0,7896,25,0
1,7896,25,0
2,7894,27,0
3,7894,27,0
4,7892,29,0
5,7890,31,0
6,7890,31,0
7,7888,33,0
8,7887,34,0
9,7884,37,0
10,7883,38,0
11,7882,39,0
12,7880,41,0
13,7880,41,0
14,7876,45,0
15,7874,47,0
16,7874,47,0
17,7872,49,0
18,7870,51,0
19,7867,54,0
20,7867,54,0
21,7864,57,0
22,7859,60,2
23,7859,60,2
24,7857,62,2
25,7855,64,2
26,7852,67,2
27,7851,68,2
28,7850,69,2
29,7849,70,2
30,7845,74,2
31,7839,80,2
32,7839,80,2
33,7837,82,2
34,7836,83,2
35,7833,86,2
36,7833,85,3
37,7831,87,3
38,7828,90,3
39,7825,93,3
40,7824,94,3
41,7821,97,3
42,7817,101,3
43,7815,103,3
44,7812,106,3
45,7808,109,4
46,7803,114,4
47,7802,115,4
48,7799,118,4
49,7796,121,4
50,7786,131,4
51,7777,140,4
52,7769,148,4
53,7763,154,4
54,7759,158,4
55,7752,165,4
56,7745,172,4
57,7743,173,5
58,7737,179,5
59,7732,184,5
60,7727,189,5
61,7722,194,5
62,7718,198,5
63,7709,207,5
64,7705,211,5
65,7696,220,5
66,7690,225,6
67,7683,231,7
68,7674,240,7
69,7668,246,7
70,7661,253,7
71,7647,266,8
72,7642,271,8
73,7631,282,8
74,7628,285,8
75,7626,287,8
76,7614,298,9
77,7604,308,9
78,7597,315,9
79,7588,324,9
80,7577,334,10
81,7565,345,11
82,7553,354,14
83,7544,363,14
84,7535,372,14
85,7520,386,15
86,7511,395,15
87,7504,401,16
88,7487,417,17
89,7473,431,17
90,7464,439,18
91,7450,453,18
92,7442,460,19
93,7429,473,19
94,7415,486,20
95,7407,492,22
96,7395,503,23
97,7370,527,24
98,7355,542,24
99,7345,550,26
100,7329,566,26
101,7318,576,27
102,7301,591,29
103,7283,608,30
104,7268,621,32
105,7254,635,32
106,7236,650,35
107,7223,662,36
108,7203,682,36
109,7190,694,37
110,7164,719,38
111,7139,744,38
112,7110,770,41
113,7087,790,44
114,7065,810,46
115,7047,827,47
116,7024,845,52
117,7007,861,53
118,6982,884,55
119,6964,902,55
120,6949,912,60
121,6926,935,60
122,6897,962,62
123,6870,989,62
124,6857,996,68
125,6830,1020,71
126,6809,1039,73
127,6775,1070,76
128,6747,1098,76
129,6724,1119,78
130,6694,1147,80
131,6673,1167,81
132,6650,1190,81
133,6621,1217,83
134,6601,1234,86
135,6569,1262,90
136,6533,1294,94
137,6494,1331,96
138,6459,1365,97
139,6425,1396,100
140,6389,1430,102
141,6355,1462,104
142,6332,1483,106
143,6293,1522,106
144,6262,1548,111
145,6234,1575,112
146,6201,1607,113
147,6159,1647,115
148,6129,1675,117
149,6091,1708,122
150,6058,1740,123
151,6029,1767,125
152,5987,1807,127
153,5949,1842,130
154,5895,1893,133
155,5855,1930,136
156,5826,1955,140
157,5775,2002,144
158,5722,2053,146
159,5684,2087,150
160,5636,2134,151
161,5592,2177,152
162,5548,2217,156
163,5495,2268,158
164,5449,2311,161
165,5401,2354,166
166,5358,2394,169
167,5312,2438,171
168,5262,2483,176
169,5206,2538,177
170,5144,2597,180
171,5104,2632,185
172,5050,2680,191
173,5001,2725,195
174,4962,2761,198
175,4907,2812,202
176,4845,2870,206
177,4796,2916,209
178,4736,2972,213
179,4683,3021,217
180,4611,3082,228
181,4557,3133,231
182,4504,3177,240
183,4448,3229,244
184,4390,3285,246
185,4353,3313,255
186,4315,3347,259
187,4256,3401,264
188,4213,3434,274
189,4154,3489,278
190,4095,3543,283
191,4038,3597,286
192,3976,3652,293
193,3922,3702,297
194,3874,3745,302
195,3822,3792,307
196,3766,3841,314
197,3715,3888,318
198,3664,3938,319
199,3601,3996,324
200,3540,4053,328
201,3485,4104,332
202,3433,4149,339
203,3367,4208,346
