,number_susceptible,number_infected,number_resistant
0,7894,27,0
1,7894,27,0
2,7894,27,0
3,7893,28,0
4,7891,30,0
5,7888,33,0
6,7887,34,0
7,7887,34,0
8,7886,35,0
9,7885,36,0
10,7884,37,0
11,7884,36,1
12,7884,36,1
13,7883,37,1
14,7881,39,1
15,7880,40,1
16,7879,41,1
17,7878,42,1
18,7878,42,1
19,7877,42,2
20,7877,42,2
21,7877,42,2
22,7877,42,2
23,7877,42,2
24,7877,42,2
25,7876,43,2
26,7876,43,2
27,7876,43,2
28,7875,44,2
29,7875,44,2
30,7875,44,2
31,7875,44,2
32,7874,45,2
33,7873,46,2
34,7873,46,2
35,7873,46,2
36,7872,47,2
37,7871,48,2
38,7870,48,3
39,7869,49,3
40,7869,49,3
41,7869,49,3
42,7867,51,3
43,7867,51,3
44,7865,53,3
45,7865,53,3
46,7864,54,3
47,7862,56,3
48,7861,57,3
49,7861,57,3
50,7860,58,3
51,7859,59,3
52,7857,61,3
53,7856,62,3
54,7854,64,3
55,7852,65,4
56,7850,67,4
57,7849,68,4
58,7848,69,4
59,7845,72,4
60,7843,74,4
61,7843,74,4
62,7841,76,4
63,7839,78,4
64,7837,80,4
65,7836,81,4
66,7833,84,4
67,7833,83,5
68,7832,84,5
69,7830,86,5
70,7828,88,5
71,7826,89,6
72,7825,90,6
73,7824,91,6
74,7823,92,6
75,7822,92,7
76,7821,93,7
77,7818,96,7
78,7816,98,7
79,7815,99,7
80,7814,100,7
81,7812,102,7
82,7811,103,7
83,7808,106,7
84,7806,108,7
85,7803,110,8
86,7801,112,8
87,7796,117,8
88,7795,118,8
89,7790,122,9
90,7786,126,9
91,7784,128,9
92,7780,132,9
93,7778,134,9
94,7778,131,12
95,7773,136,12
96,7765,144,12
97,7758,151,12
98,7757,151,13
99,7755,152,14
100,7755,152,14
101,7752,155,14
102,7750,156,15
103,7748,158,15
104,7747,159,15
105,7744,162,15
106,7743,163,15
107,7740,164,17
108,7737,167,17
109,7736,168,17
110,7734,170,17
111,7730,173,18
112,7724,179,18
113,7721,182,18
114,7721,182,18
115,7716,187,18
116,7708,194,19
117,7706,196,19
118,7703,199,19
119,7699,203,19
120,7696,204,21
121,7693,206,22
122,7689,210,22
123,7687,212,22
124,7686,213,22
125,7682,217,22
126,7680,219,22
127,7678,221,22
128,7674,225,22
129,7673,226,22
130,7668,230,23
131,7660,238,23
132,7656,241,24
133,7650,247,24
134,7650,247,24
135,7648,246,27
136,7643,250,28
137,7640,252,29
138,7635,256,30
139,7632,258,31
140,7629,261,31
141,7623,266,32
142,7619,270,32
143,7607,281,33
144,7605,283,33
145,7600,288,33
146,7597,290,34
147,7595,292,34
148,7591,295,35
149,7588,298,35
150,7584,301,36
151,7574,310,37
152,7572,312,37
153,7564,320,37
154,7561,323,37
155,7558,325,38
156,7553,329,39
157,7549,331,41
158,7537,343,41
159,7531,347,43
160,7530,348,43
161,7524,354,43
162,7521,357,43
163,7512,365,44
164,7508,368,45
165,7506,370,45
166,7504,371,46
167,7500,375,46
168,7494,380,47
169,7491,383,47
170,7484,389,48
171,7477,396,48
172,7475,397,49
173,7468,404,49
174,7453,419,49
175,7443,428,50
176,7437,432,52
177,7432,435,54
178,7425,441,55
179,7414,452,55
180,7404,459,58
181,7399,463,59
182,7392,469,60
183,7385,474,62
184,7379,477,65
185,7371,485,65
186,7361,495,65
187,7350,504,67
188,7343,511,67
189,7333,521,67
190,7328,525,68
191,7320,531,70
192,7315,534,72
193,7310,538,73
194,7306,541,74
195,7299,548,74
196,7285,562,74
197,7277,567,77
198,7270,570,81
199,7262,578,81
200,7249,591,81
201,7237,603,81
202,7231,609,81
203,7219,620,82
204,7208,630,83
205,7201,637,83
206,7192,646,83
207,7182,652,87
208,7172,661,88
209,7161,671,89
210,7155,676,90
211,7145,686,90
212,7138,691,92
213,7128,699,94
214,7118,707,96
215,7108,715,98
216,7098,722,101
217,7087,732,102
218,7075,744,102
219,7061,758,102
220,7054,764,103
221,7037,779,105
222,7021,794,106
223,7014,799,108
224,7001,812,108
225,6986,825,110
226,6971,839,111
227,6961,846,114
228,6953,853,115
229,6940,864,117
230,6928,875,118
231,6912,889,120
232,6896,905,120
233,6882,914,125
234,6870,924,127
235,6853,939,129
236,6844,946,131
237,6829,958,134
238,6819,966,136
239,6802,980,139
240,6778,1003,140
241,6764,1017,140
242,6744,1035,142
243,6733,1046,142
244,6717,1060,144
245,6704,1073,144
246,6691,1083,147
247,6676,1093,152
248,6651,1118,152
249,6640,1125,156
250,6624,1138,159
251,6607,1149,165
252,6583,1171,167
253,6562,1191,168
254,6549,1203,169
255,6532,1219,170
