,number_susceptible,number_infected,number_resistant
0,7896,25,0
1,7896,25,0
2,7893,28,0
3,7892,29,0
4,7891,30,0
5,7890,31,0
6,7885,36,0
7,7879,42,0
8,7876,45,0
9,7873,48,0
10,7872,49,0
11,7872,49,0
12,7870,51,0
13,7869,52,0
14,7866,55,0
15,7865,56,0
16,7862,59,0
17,7858,62,1
18,7855,65,1
19,7853,67,1
20,7847,73,1
21,7843,77,1
22,7839,81,1
23,7836,84,1
24,7827,92,2
25,7825,93,3
26,7823,95,3
27,7816,102,3
28,7813,105,3
29,7808,110,3
30,7797,121,3
31,7793,125,3
32,7781,137,3
33,7770,148,3
34,7762,155,4
35,7756,161,4
36,7749,168,4
37,7740,177,4
38,7728,189,4
39,7717,200,4
40,7706,211,4
41,7692,225,4
42,7682,235,4
43,7668,249,4
44,7649,268,4
45,7638,279,4
46,7620,297,4
47,7610,306,5
48,7589,327,5
49,7571,343,7
50,7549,365,7
51,7524,389,8
52,7493,419,9
53,7469,443,9
54,7448,464,9
55,7427,485,9
56,7401,509,11
57,7371,539,11
58,7346,563,12
59,7318,591,12
60,7286,623,12
61,7258,650,13
62,7220,688,13
63,7170,737,14
64,7124,780,17
65,7092,812,17
66,7048,851,22
67,7002,896,23
68,6956,940,25
69,6906,986,29
70,6854,1036,31
71,6802,1085,34
72,6741,1144,36
73,6689,1194,38
74,6642,1240,39
75,6584,1297,40
76,6509,1365,47
77,6436,1435,50
78,6375,1495,51
79,6310,1558,53
80,6240,1623,58
81,6159,1701,61
82,6089,1770,62
83,6007,1847,67
84,5921,1931,69
85,5838,2010,73
86,5753,2092,76
87,5685,2157,79
88,5591,2247,83
89,5503,2330,88
90,5405,2425,91
91,5304,2521,96
92,5197,2622,102
93,5108,2704,109
94,5020,2785,116
95,4925,2878,118
96,4825,2972,124
97,4719,3073,129
98,4610,3175,136
99,4505,3273,143
100,4388,3388,145
101,4282,3486,153
102,4170,3589,162
103,4068,3686,167
104,3956,3792,173
105,3837,3901,183
106,3718,4016,187
107,3598,4126,197
108,3501,4215,205
109,3410,4296,215
110,3316,4380,225
111,3218,4465,238
112,3116,4558,247
113,3020,4646,255
114,2919,4735,267
115,2805,4844,272
116,2732,4905,284
117,2649,4978,294
118,2545,5071,305
119,2443,5163,315
120,2370,5225,326
121,2284,5300,337
122,2194,5381,346
123,2108,5456,357
124,2017,5534,370
125,1940,5601,380
126,1875,5654,392
127,1792,5724,405
128,1724,5784,413
129,1650,5842,429
130,1583,5896,442
131,1521,5950,450
132,1445,6022,454
133,1370,6085,466
134,1311,6134,476
135,1246,6183,492
136,1192,6224,505
137,1142,6258,521
138,1096,6292,533
139,1050,6329,542
140,1004,6361,556
141,961,6392,568
142,913,6421,587
143,874,6447,600
144,830,6477,614
145,780,6515,626
146,747,6532,642
147,706,6560,655
148,681,6571,669
149,648,6597,676
150,624,6610,687
151,599,6629,693
152,564,6648,709
153,536,6667,718
154,512,6682,727
