,number_susceptible,number_infected,number_resistant
0,7895,26,0
1,7894,27,0
2,7893,28,0
3,7888,33,0
4,7887,34,0
5,7886,35,0
6,7886,35,0
7,7883,38,0
8,7880,41,0
9,7880,41,0
10,7878,43,0
11,7876,45,0
12,7876,45,0
13,7875,46,0
14,7874,47,0
15,7873,48,0
16,7872,49,0
17,7870,51,0
18,7868,53,0
19,7865,56,0
20,7865,56,0
21,7862,59,0
22,7858,63,0
23,7858,63,0
24,7855,65,1
25,7854,66,1
26,7849,71,1
27,7847,73,1
28,7843,77,1
29,7842,78,1
30,7840,79,2
31,7838,81,2
32,7829,90,2
33,7825,93,3
34,7822,96,3
35,7821,97,3
36,7819,99,3
37,7818,100,3
38,7814,104,3
39,7809,109,3
40,7805,113,3
41,7798,120,3
42,7792,125,4
43,7787,130,4
44,7783,134,4
45,7778,139,4
46,7774,143,4
47,7763,154,4
48,7759,158,4
49,7750,167,4
50,7742,175,4
51,7736,181,4
52,7726,191,4
53,7715,202,4
54,7708,209,4
55,7704,213,4
56,7694,223,4
57,7688,229,4
58,7674,243,4
59,7667,248,6
60,7655,260,6
61,7639,275,7
62,7623,291,7
63,7609,305,7
64,7600,313,8
65,7589,323,9
66,7573,339,9
67,7560,350,11
68,7546,364,11
69,7528,381,12
70,7514,395,12
71,7496,412,13
72,7479,429,13
73,7462,444,15
74,7438,467,16
75,7412,492,17
76,7393,509,19
77,7376,526,19
78,7354,548,19
79,7326,576,19
80,7300,601,20
81,7273,627,21
82,7238,662,21
83,7209,691,21
84,7194,706,21
85,7172,728,21
86,7157,743,21
87,7129,767,25
88,7106,789,26
89,7075,818,28
90,7044,849,28
91,7014,877,30
92,6980,910,31
93,6951,936,34
94,6913,969,39
95,6872,1008,41
96,6830,1046,45
97,6793,1081,47
98,6748,1123,50
99,6717,1151,53
100,6675,1191,55
101,6632,1232,57
102,6589,1273,59
103,6536,1325,60
104,6495,1364,62
105,6440,1419,62
106,6389,1469,63
107,6339,1517,65
108,6280,1573,68
109,6222,1626,73
110,6158,1689,74
111,6103,1742,76
112,6047,1796,78
113,5979,1862,80
114,5925,1914,82
115,5848,1989,84
116,5795,2039,87
117,5721,2110,90
118,5665,2165,91
119,5607,2221,93
120,5525,2300,96
121,5439,2381,101
122,5358,2459,104
123,5279,2535,107
124,5212,2596,113
125,5147,2658,116
126,5074,2728,119
127,4992,2806,123
128,4919,2872,130
129,4839,2946,136
130,4762,3017,142
131,4678,3099,144
132,4596,3176,149
133,4509,3256,156
134,4439,3319,163
135,4357,3396,168
136,4264,3482,175
137,4177,3561,183
138,4087,3648,186
139,3987,3743,191
140,3909,3812,200
141,3822,3890,209
142,3740,3963,218
143,3660,4042,219
144,3589,4099,233
145,3513,4168,240
146,3427,4248,246
147,3344,4326,251
148,3267,4399,255
149,3185,4477,259
150,3093,4568,260
151,3014,4641,266
152,2932,4718,271
153,2851,4795,275
154,2776,4862,283
155,2677,4958,286
156,2603,5021,297
157,2539,5076,306
158,2457,5152,312
