,number_susceptible,number_infected,number_resistant
0,7895,26,0
1,7893,28,0
2,7888,33,0
3,7885,36,0
4,7883,38,0
5,7882,39,0
6,7880,41,0
7,7877,44,0
8,7876,45,0
9,7874,47,0
10,7874,47,0
11,7873,48,0
12,7872,49,0
13,7870,51,0
14,7867,53,1
15,7867,53,1
16,7866,54,1
17,7862,58,1
18,7858,62,1
19,7857,63,1
20,7854,66,1
21,7854,66,1
22,7849,71,1
23,7846,74,1
24,7842,78,1
25,7839,81,1
26,7837,83,1
27,7833,87,1
28,7832,87,2
29,7828,91,2
30,7827,92,2
31,7819,100,2
32,7814,104,3
33,7811,107,3
34,7809,108,4
35,7804,113,4
36,7800,117,4
37,7795,122,4
38,7790,127,4
39,7786,131,4
40,7784,133,4
41,7780,137,4
42,7773,144,4
43,7769,148,4
44,7763,153,5
45,7757,159,5
46,7748,168,5
47,7745,170,6
48,7740,175,6
49,7736,179,6
50,7732,183,6
51,7722,192,7
52,7717,197,7
53,7705,209,7
54,7695,219,7
55,7688,226,7
56,7680,234,7
57,7671,243,7
58,7655,258,8
59,7645,268,8
60,7634,279,8
61,7628,285,8
62,7611,302,8
63,7600,312,9
64,7587,325,9
65,7572,339,10
66,7559,352,10
67,7538,372,11
68,7529,381,11
69,7513,396,12
70,7495,412,14
71,7480,427,14
72,7462,444,15
73,7443,463,15
74,7422,484,15
75,7409,496,16
76,7387,518,16
77,7368,534,19
78,7341,559,21
79,7315,583,23
80,7292,605,24
81,7271,623,27
82,7245,648,28
83,7221,670,30
84,7197,691,33
85,7174,712,35
86,7136,748,37
87,7106,778,37
88,7074,807,40
89,7046,833,42
90,7011,867,43
91,6971,906,44
92,6934,940,47
93,6905,967,49
94,6866,1005,50
95,6828,1043,50
96,6792,1078,51
97,6754,1116,51
98,6710,1157,54
99,6680,1186,55
100,6629,1234,58
101,6593,1270,58
102,6563,1297,61
103,6523,1334,64
104,6484,1371,66
105,6438,1415,68
106,6373,1474,74
107,6316,1524,81
108,6271,1561,89
109,6231,1597,93
110,6181,1644,96
111,6138,1684,99
112,6087,1729,105
113,6020,1791,110
114,5957,1850,114
115,5875,1927,119
116,5827,1972,122
117,5770,2022,129
118,5713,2070,138
119,5651,2130,140
120,5580,2191,150
121,5512,2257,152
122,5454,2311,156
123,5383,2376,162
124,5314,2439,168
125,5259,2490,172
126,5191,2552,178
127,5122,2613,186
128,5032,2698,191
129,4979,2748,194
130,4904,2815,202
131,4839,2871,211
132,4768,2940,213
133,4691,3010,220
134,4619,3076,226
135,4548,3142,231
136,4472,3208,241
137,4403,3273,245
138,4322,3345,254
139,4216,3442,263
140,4140,3512,269
141,4068,3577,276
142,3998,3640,283
143,3926,3704,291
144,3844,3777,300
145,3761,3853,307
146,3693,3909,319
147,3623,3974,324
148,3566,4027,328
149,3486,4093,342
150,3414,4156,351
151,3343,4219,359
152,3271,4278,372
153,3201,4342,378
154,3113,4418,390
155,3048,4473,400
156,2984,4527,410
157,2905,4600,416
158,2828,4666,427
159,2759,4722,440
160,2689,4786,446
161,2628,4834,459
162,2564,4889,468
163,2501,4945,475
