,number_susceptible,number_infected,number_resistant
0,7896,25,0
1,7895,26,0
2,7892,29,0
3,7892,29,0
4,7889,32,0
5,7887,34,0
6,7886,35,0
7,7886,35,0
8,7884,37,0
9,7881,40,0
10,7880,41,0
11,7878,43,0
12,7878,43,0
13,7873,47,1
14,7873,47,1
15,7873,46,2
16,7871,48,2
17,7869,50,2
18,7865,54,2
19,7862,57,2
20,7855,62,4
21,7852,65,4
22,7850,67,4
23,7849,68,4
24,7848,69,4
25,7842,75,4
26,7840,77,4
27,7836,81,4
28,7834,83,4
29,7831,85,5
30,7828,88,5
31,7825,91,5
32,7820,95,6
33,7816,99,6
34,7813,101,7
35,7811,103,7
36,7806,108,7
37,7804,109,8
38,7801,112,8
39,7797,115,9
40,7792,119,10
41,7780,131,10
42,7772,139,10
43,7762,149,10
44,7752,159,10
45,7744,167,10
46,7733,178,10
47,7725,185,11
48,7714,195,12
49,7702,206,13
50,7689,219,13
51,7679,229,13
52,7666,242,13
53,7644,264,13
54,7635,273,13
55,7623,283,15
56,7619,287,15
57,7603,302,16
58,7593,311,17
59,7577,327,17
60,7558,344,19
61,7544,358,19
62,7526,375,20
63,7512,389,20
64,7488,412,21
65,7468,430,23
66,7450,448,23
67,7427,469,25
68,7408,487,26
69,7377,517,27
70,7341,552,28
71,7313,576,32
72,7281,607,33
73,7253,633,35
74,7217,666,38
75,7184,698,39
76,7141,739,41
77,7098,779,44
78,7048,828,45
79,6993,879,49
80,6951,920,50
81,6918,951,52
82,6872,997,52
83,6827,1040,54
84,6779,1082,60
85,6720,1141,60
86,6670,1185,66
87,6612,1240,69
88,6552,1297,72
89,6481,1365,75
90,6425,1419,77
91,6355,1484,82
92,6295,1540,86
93,6245,1584,92
94,6177,1651,93
95,6096,1721,104
96,6011,1802,108
97,5929,1881,111
98,5859,1947,115
99,5779,2021,121
100,5717,2073,131
101,5644,2141,136
102,5568,2209,144
103,5486,2286,149
104,5388,2377,156
105,5304,2458,159
106,5207,2549,165
107,5116,2631,174
108,5035,2702,184
109,4935,2792,194
110,4850,2870,201
111,4750,2960,211
112,4670,3031,220
113,4570,3118,233
114,4490,3188,243
115,4405,3263,253
116,4303,3360,258
117,4194,3463,264
118,4098,3548,275
119,3994,3640,287
120,3902,3720,299
121,3813,3791,317
122,3716,3878,327
123,3633,3948,340
124,3549,4021,351
125,3446,4116,359
126,3344,4208,369
127,3267,4273,381
128,3176,4352,393
129,3075,4438,408
130,2991,4506,424
131,2920,4561,440
132,2840,4628,453
133,2736,4720,465
134,2649,4797,475
135,2569,4860,492
