,number_susceptible,number_infected,number_resistant
0,7893,28,0
1,7892,29,0
2,7889,32,0
3,7888,33,0
4,7886,35,0
5,7885,35,1
6,7884,36,1
7,7883,37,1
8,7881,39,1
9,7880,40,1
10,7878,42,1
11,7876,44,1
12,7876,44,1
13,7876,44,1
14,7874,46,1
15,7871,49,1
16,7871,48,2
17,7869,50,2
18,7867,52,2
19,7863,56,2
20,7862,57,2
21,7857,62,2
22,7856,63,2
23,7853,66,2
24,7852,67,2
25,7849,70,2
26,7848,71,2
27,7846,73,2
28,7845,74,2
29,7843,76,2
30,7836,83,2
31,7833,85,3
32,7831,87,3
33,7830,88,3
34,7828,90,3
35,7826,92,3
36,7822,96,3
37,7821,97,3
38,7818,100,3
39,7814,104,3
40,7812,106,3
41,7807,111,3
42,7804,114,3
43,7799,119,3
44,7796,122,3
45,7795,123,3
46,7792,126,3
47,7787,131,3
48,7782,136,3
49,7778,140,3
50,7775,142,4
51,7772,144,5
52,7764,152,5
53,7758,157,6
54,7749,166,6
55,7744,171,6
56,7741,174,6
57,7731,184,6
58,7725,190,6
59,7717,197,7
60,7709,205,7
61,7699,215,7
62,7693,221,7
63,7680,234,7
64,7669,243,9
65,7667,244,10
66,7661,249,11
67,7650,259,12
68,7644,265,12
69,7638,271,12
70,7632,277,12
71,7620,289,12
72,7616,293,12
73,7605,304,12
74,7595,314,12
75,7583,326,12
76,7577,329,15
77,7564,342,15
78,7559,347,15
79,7548,357,16
80,7537,368,16
81,7530,375,16
82,7523,381,17
83,7512,392,17
84,7505,399,17
85,7489,414,18
86,7480,423,18
87,7471,432,18
88,7458,442,21
89,7445,455,21
90,7433,466,22
91,7417,482,22
92,7410,488,23
93,7394,503,24
94,7385,511,25
95,7366,530,25
96,7350,544,27
97,7338,556,27
98,7320,573,28
99,7310,582,29
100,7294,598,29
101,7271,617,33
102,7254,633,34
103,7235,652,34
104,7216,671,34
105,7195,691,35
106,7172,711,38
107,7153,729,39
108,7133,749,39
109,7120,760,41
110,7096,780,45
111,7072,801,48
112,7048,824,49
113,7023,849,49
114,6996,871,54
115,6977,888,56
116,6953,910,58
117,6928,935,58
118,6897,964,60
119,6871,989,61
120,6855,1004,62
121,6833,1023,65
122,6803,1052,66
123,6775,1076,70
124,6749,1102,70
125,6718,1131,72
126,6683,1164,74
127,6646,1201,74
128,6616,1231,74
129,6582,1261,78
130,6553,1287,81
131,6522,1314,85
132,6488,1346,87
133,6450,1383,88
134,6417,1414,90
135,6377,1452,92
136,6336,1493,92
137,6298,1528,95
138,6260,1562,99
139,6234,1588,99
140,6191,1628,102
141,6153,1664,104
142,6115,1702,104
143,6063,1750,108
144,6025,1784,112
145,5982,1825,114
146,5939,1866,116
147,5896,1907,118
148,5843,1959,119
149,5812,1984,125
150,5765,2027,129
151,5703,2089,129
152,5653,2136,132
153,5611,2174,136
154,5563,2219,139
155,5511,2267,143
156,5475,2300,146
157,5418,2351,152
158,5373,2390,158
159,5321,2440,160
160,5263,2495,163
161,5204,2549,168
162,5162,2588,171
163,5113,2630,178
164,5063,2674,184
165,5012,2723,186
166,4968,2763,190
167,4912,2813,196
