,number_susceptible,number_infected,number_resistant
0,7896,25,0
1,7896,25,0
2,7896,25,0
3,7894,27,0
4,7893,28,0
5,7893,28,0
6,7891,30,0
7,7890,31,0
8,7889,32,0
9,7888,33,0
10,7887,34,0
11,7886,35,0
12,7886,35,0
13,7886,35,0
14,7884,37,0
15,7884,37,0
16,7884,37,0
17,7880,41,0
18,7880,41,0
19,7880,41,0
20,7877,44,0
21,7876,45,0
22,7875,46,0
23,7875,45,1
24,7872,47,2
25,7872,47,2
26,7871,48,2
27,7868,51,2
28,7866,53,2
29,7865,54,2
30,7863,56,2
31,7859,60,2
32,7858,61,2
33,7855,64,2
34,7854,65,2
35,7851,68,2
36,7848,71,2
37,7848,71,2
38,7841,78,2
39,7839,80,2
40,7837,82,2
41,7834,85,2
42,7830,88,3
43,7826,92,3
44,7826,92,3
45,7820,98,3
46,7817,101,3
47,7810,108,3
48,7807,111,3
49,7802,116,3
50,7800,118,3
51,7796,122,3
52,7795,123,3
53,7788,129,4
54,7784,133,4
55,7779,138,4
56,7776,141,4
57,7768,149,4
58,7758,159,4
59,7753,164,4
60,7744,173,4
61,7741,175,5
62,7731,185,5
63,7725,191,5
64,7717,198,6
65,7705,210,6
66,7699,216,6
67,7691,224,6
68,7678,236,7
69,7672,242,7
70,7660,254,7
71,7655,258,8
72,7643,269,9
73,7637,275,9
74,7621,291,9
75,7607,305,9
76,7600,311,10
77,7588,323,10
78,7576,335,10
79,7559,352,10
80,7553,358,10
81,7546,365,10
82,7535,376,10
83,7512,398,11
84,7497,413,11
85,7486,423,12
86,7474,435,12
87,7461,447,13
88,7440,467,14
89,7427,480,14
90,7395,512,14
91,7383,524,14
92,7366,541,14
93,7340,565,16
94,7327,576,18
95,7307,592,22
96,7289,609,23
97,7275,622,24
98,7252,643,26
99,7229,665,27
100,7206,687,28
101,7175,717,29
102,7152,740,29
103,7130,762,29
104,7098,791,32
105,7075,814,32
106,7052,836,33
107,7032,853,36
108,7002,879,40
109,6974,906,41
110,6948,928,45
111,6924,950,47
112,6887,987,47
113,6858,1014,49
114,6832,1038,51
115,6798,1069,54
116,6765,1096,60
117,6731,1128,62
118,6693,1163,65
119,6658,1197,66
120,6629,1225,67
121,6593,1258,70
122,6557,1289,75
123,6509,1335,77
124,6460,1383,78
125,6404,1436,81
126,6361,1478,82
127,6318,1520,83
128,6272,1558,91
129,6225,1598,98
130,6183,1633,105
131,6133,1681,107
132,6087,1722,112
133,6051,1757,113
134,6005,1803,113
135,5937,1867,117
136,5887,1917,117
137,5828,1972,121
138,5783,2015,123
139,5714,2082,125
140,5662,2132,127
141,5605,2187,129
142,5538,2248,135
143,5493,2287,141
144,5433,2340,148
145,5369,2397,155
146,5307,2453,161
147,5246,2510,165
148,5180,2576,165
149,5119,2633,169
150,5055,2692,174
151,4992,2754,175
152,4916,2826,179
153,4851,2886,184
154,4788,2944,189
155,4734,2993,194
156,4677,3048,196
157,4624,3087,210
158,4548,3156,217
159,4484,3214,223
160,4422,3272,227
161,4357,3333,231
162,4294,3393,234
163,4224,3460,237
164,4170,3508,243
165,4096,3576,249
166,4035,3635,251
167,3956,3711,254
168,3891,3770,260
169,3834,3822,265
170,3774,3872,275
171,3715,3924,282
172,3635,3999,287
173,3574,4055,292
174,3504,4116,301
175,3440,4171,310
176,3361,4243,317
177,3303,4294,324
178,3246,4344,331
179,3178,4405,338
180,3112,4467,342
