,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7900,21,0,20,0.7480116146951142,0.010526315789473684
1,7888,33,0,12,0.7468753945208938,0.015789473684210527
2,7870,51,0,19,0.7451710642595633,0.021052631578947368
3,7854,67,0,17,0.7436561040272692,0.02631578947368421
4,7839,82,0,15,0.7422358288094938,0.031578947368421054
5,7822,99,0,21,0.7406261835626815,0.042105263157894736
6,7802,119,0,21,0.7387324832723141,0.042105263157894736
7,7778,143,0,26,0.7364600429238732,0.04736842105263158
8,7764,157,0,16,0.7351344527206161,0.05789473684210526
9,7748,173,0,22,0.7336194924883221,0.06315789473684211
10,7724,197,0,27,0.7313470521398813,0.07368421052631578
11,7711,208,2,18,0.7301792702941549,0.07894736842105263
12,7690,229,2,23,0.728190884989269,0.08421052631578947
13,7681,238,2,11,0.7273387198586038,0.08421052631578947
14,7667,252,2,19,0.7260131296553466,0.08947368421052632
15,7645,274,2,24,0.7239300593359425,0.1
16,7632,286,3,15,0.7227307158187098,0.10526315789473684
17,7613,305,3,24,0.7209317005428607,0.11578947368421053
18,7597,321,3,23,0.7194167403105668,0.11578947368421053
19,7579,338,4,24,0.7177439717207423,0.12105263157894737
20,7557,360,4,27,0.7156609014013381,0.12105263157894737
21,7546,371,4,18,0.7146193662416361,0.12105263157894737
22,7531,386,4,17,0.7131990910238606,0.12105263157894737
23,7519,398,4,16,0.7120628708496402,0.13157894736842105
24,7509,408,4,12,0.7111160207044565,0.1368421052631579
25,7497,418,6,16,0.7100429238732483,0.1368421052631579
26,7488,427,6,12,0.709190758742583,0.1368421052631579
27,7473,442,6,19,0.7077704835248074,0.1368421052631579
28,7462,453,6,15,0.7067289483651055,0.1368421052631579
29,7448,467,6,16,0.7054033581618482,0.14210526315789473
30,7439,476,6,15,0.704551193031183,0.14736842105263157
31,7425,490,6,21,0.7032256028279258,0.15263157894736842
32,7407,507,7,28,0.7015528342381012,0.15263157894736842
33,7393,521,7,22,0.700227244034844,0.15263157894736842
34,7378,536,7,22,0.6988069688170686,0.15263157894736842
35,7369,545,7,17,0.6979548036864032,0.15263157894736842
36,7355,559,7,22,0.696629213483146,0.15263157894736842
37,7340,574,7,22,0.6952089382653704,0.15263157894736842
38,7323,591,7,24,0.6935992930185583,0.15789473684210525
39,7309,605,7,23,0.692273702815301,0.15789473684210525
40,7292,622,7,27,0.6906640575684888,0.15789473684210525
41,7274,640,7,29,0.6889597273071582,0.15789473684210525
42,7252,661,8,30,0.6869082186592602,0.15789473684210525
43,7244,669,8,20,0.6861507385431133,0.1631578947368421
44,7235,677,9,20,0.685330135083954,0.1631578947368421
45,7222,688,11,26,0.6841623532382275,0.1631578947368421
46,7205,705,11,20,0.6825527079914153,0.1631578947368421
47,7189,719,13,27,0.6811008711021336,0.1631578947368421
48,7171,737,13,31,0.6793965408408029,0.1631578947368421
49,7164,744,13,16,0.6787337457391742,0.1631578947368421
50,7147,761,13,21,0.677124100492362,0.16842105263157894
51,7133,775,13,20,0.6757985102891049,0.16842105263157894
52,7115,792,14,27,0.6741257416992804,0.16842105263157894
53,7108,799,14,15,0.6734629465976518,0.16842105263157894
54,7087,819,15,32,0.6715061229642723,0.16842105263157894
55,7079,827,15,18,0.6707486428481252,0.16842105263157894
56,7070,836,15,18,0.66989647771746,0.16842105263157894
57,7064,842,15,16,0.6693283676303498,0.16842105263157894
58,7052,852,17,19,0.6682552707991416,0.16842105263157894
59,7034,870,17,23,0.6665509405378109,0.16842105263157894
60,7017,887,17,25,0.6649412952909987,0.1736842105263158
61,7001,903,17,23,0.6634263350587047,0.1736842105263158
62,6984,920,17,27,0.6618166898118925,0.1736842105263158
63,6974,930,17,17,0.6608698396667088,0.1736842105263158
64,6962,942,17,20,0.6597336194924883,0.1736842105263158
65,6950,953,18,23,0.658628960989774,0.1736842105263158
66,6941,960,20,21,0.6578399192021209,0.1736842105263158
67,6929,972,20,21,0.6567036990279006,0.17894736842105263
68,6916,984,21,24,0.6555043555106678,0.17894736842105263
69,6906,994,21,26,0.6545575053654842,0.18421052631578946
70,6891,1009,21,18,0.6531372301477086,0.18421052631578946
71,6875,1025,21,25,0.6516222699154147,0.18421052631578946
72,6865,1034,22,21,0.6507069814417371,0.18947368421052632
73,6858,1041,22,17,0.6500441863401086,0.18947368421052632
