,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7880,41,0,21,0.746117914404747,6
1,7850,71,0,14,0.7432773639691959,8
2,7825,96,0,16,0.7409102386062366,11
3,7593,328,0,17,0.718943315237975,14
4,7409,512,0,13,0.7015212725665951,16
5,7239,681,1,25,0.6854563817699786,19
6,6984,935,2,19,0.6613432647393006,22
7,6931,987,3,9,0.6563565206413332,22
8,6925,993,3,10,0.655788410554223,23
9,6919,999,3,14,0.6552203004671128,23
10,6910,1008,3,12,0.6543681353364473,24
11,6722,1196,3,19,0.636567352606994,26
12,6713,1205,3,16,0.6357151874763288,29
13,6595,1323,3,10,0.6245423557631612,30
14,6582,1336,3,12,0.6233114505744224,30
15,6566,1352,3,12,0.6217964903421285,31
16,6519,1399,3,22,0.6173462946597652,31
17,5927,1991,3,9,0.5612927660648909,31
18,5921,1997,3,14,0.5607246559777807,33
19,5918,2000,3,11,0.5604406009342254,34
20,5916,2001,4,11,0.5602827925766948,36
21,5899,2017,5,12,0.5587047090013888,36
22,5854,2061,6,10,0.5544754450195682,37
23,5667,2248,6,12,0.5367693473046333,39
24,5478,2437,6,16,0.5188738795606616,42
25,5468,2446,7,11,0.5179585910869839,42
26,5447,2466,8,22,0.5160017674536044,42
27,5386,2527,8,15,0.5102259815679838,43
28,5379,2534,8,25,0.5095631864663553,45
29,5374,2539,8,14,0.5090897613937634,48
30,5371,2539,11,12,0.5089003913647268,49
31,5372,2536,13,8,0.5090581997222573,49
32,5371,2536,14,10,0.5089950763792451,49
33,5358,2547,16,16,0.5078272945335185,49
34,5354,2551,16,17,0.507448554475445,50
35,5346,2558,17,21,0.5067226360308043,51
36,5249,2654,18,20,0.4975697512940286,51
37,5233,2668,20,17,0.4961179144047469,51
38,5210,2690,21,9,0.49397172074233053,52
39,5161,2739,21,30,0.4893321550309304,53
40,5112,2788,21,13,0.4846925893195304,55
41,5064,2835,22,23,0.4801792702941548,55
42,5044,2854,23,21,0.47831713167529355,56
43,4956,2942,23,14,0.46998485039767707,57
44,4947,2951,23,19,0.46913268526701174,57
45,4948,2948,25,12,0.4692904936245424,57
46,4945,2950,26,18,0.46903800025249337,57
47,4946,2948,27,11,0.4691642469385179,57
48,4891,3002,28,9,0.4639881328115137,57
49,4885,3006,30,19,0.4634831460674157,58
50,4881,3007,33,13,0.46319909102386064,59
