,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7903,18,0,17,0.7482956697386693,3
1,7718,203,0,23,0.730778942052771,6
2,7624,297,0,18,0.7218785506880444,9
3,7519,402,0,13,0.7119366241636157,13
4,7507,414,0,15,0.7108004039893953,18
5,7496,425,0,12,0.7097588688296932,20
6,7367,554,0,12,0.6975445019568236,24
7,7350,571,0,14,0.6959348567100114,26
8,7212,709,0,13,0.6828683247064764,28
9,7165,756,0,14,0.6784181290241131,29
10,7119,802,0,9,0.6740626183562681,31
11,7011,909,1,12,0.6638681984597904,32
12,6999,921,1,15,0.66273197828557,33
13,6986,934,1,17,0.6615010730968311,34
14,6795,1125,1,16,0.6434162353238226,37
15,6778,1142,1,18,0.6418065900770105,37
16,6741,1179,1,13,0.6383032445398308,38
17,6339,1581,1,18,0.6002398687034465,40
18,6264,1655,2,27,0.593170054286075,42
19,6257,1662,2,18,0.5925072591844464,44
20,6242,1677,2,17,0.5910869839666709,47
21,6236,1681,4,15,0.5905819972225729,48
22,6220,1696,5,19,0.5890985986617852,50
23,6188,1728,5,19,0.5860686781971973,50
24,6104,1812,5,20,0.5781151369776544,51
25,6096,1819,6,17,0.5773892185330135,51
26,6090,1824,7,18,0.5768526701174094,51
27,5904,2009,8,25,0.5592728190884989,52
28,5852,2061,8,13,0.5543491983335438,53
29,5780,2132,9,27,0.5475634389597273,54
30,5669,2243,9,18,0.5370534023481883,54
31,5639,2272,10,22,0.5342444135841434,55
32,5634,2276,11,12,0.5338025501830577,55
33,5633,2276,12,11,0.5337394268400455,55
34,5626,2282,13,21,0.533108193409923,56
35,5622,2284,15,13,0.5327925766948617,58
36,5600,2306,15,18,0.5307095063754577,58
37,5552,2353,16,22,0.5261961873500821,59
38,5543,2361,17,18,0.5253755838909229,60
39,5529,2374,18,19,0.5240815553591718,62
40,5523,2379,19,14,0.5235450069435676,62
41,5482,2420,19,17,0.5196629213483146,62
42,5404,2496,21,20,0.512340613558894,62
43,5395,2505,21,14,0.5114884484282288,62
44,5390,2510,21,16,0.5110150233556369,64
45,5351,2548,22,20,0.5073538694609266,64
46,5337,2559,25,17,0.5061229642721878,64
47,5312,2583,26,18,0.5037874005807348,64
48,5308,2586,27,13,0.5034402221941674,64
49,5298,2593,30,21,0.5025880570635022,65
50,5299,2591,31,17,0.5027143037495265,66
51,5295,2594,32,19,0.5023671253629592,66
52,5261,2625,35,13,0.4992425198838531,67
53,5256,2629,36,16,0.49880065648276734,68
54,4962,2922,37,13,0.470994823885873,69
55,4937,2945,39,20,0.46869082186592603,69
56,4931,2951,39,22,0.4681227117788158,69
57,4927,2954,40,18,0.4677755333922484,69
58,4847,3030,44,18,0.46032697891680346,70
59,4840,3034,47,19,0.45975886882969325,70
60,4794,3080,47,11,0.45540335816184824,70
61,4793,3081,47,14,0.45530867314732987,71
62,4651,3221,49,14,0.44192652442873376,72
63,4617,3254,50,13,0.4387387956066154,72
64,4616,3254,51,12,0.43867567226360304,72
65,4610,3259,52,19,0.4381391238479989,73
66,4611,3257,53,14,0.43826537053402354,73
67,4609,3259,53,17,0.43807600050498674,73
68,4608,3258,55,9,0.43804443883348065,73
69,4511,3354,56,14,0.42889155409670493,73
70,4389,3476,56,19,0.41733998232546393,73
71,4383,3479,59,18,0.4168665572528721,73
72,4377,3485,59,17,0.41629844716576186,74
73,4325,3536,60,15,0.41140638808231283,75
74,4326,3535,60,15,0.41150107309683126,76
75,4327,3533,61,10,0.4116273197828557,76
76,4324,3535,62,14,0.41137482641080675,77
77,4325,3533,63,12,0.4115010730968312,77
78,4325,3531,65,13,0.41156419643984343,77
79,4323,3532,66,14,0.4114063880823129,78
80,4300,3555,66,15,0.4092286327483904,79
81,4145,3708,68,17,0.3946155788410554,82
82,4128,3723,70,20,0.3930690569372554,82
83,4102,3747,72,22,0.39067036990279,83
84,4100,3748,73,11,0.3905125615452595,84
85,4070,3776,75,19,0.3877351344527207,84
86,4069,3777,75,15,0.3876404494382023,84
87,4059,3785,77,17,0.3867567226360308,84
88,4058,3783,80,18,0.38675672263603084,84
89,4062,3773,86,13,0.387324832723141,84
90,4058,3773,90,16,0.3870723393510921,84
91,4028,3803,90,16,0.384231788915541,86
92,3987,3841,93,22,0.3804443883348062,86
93,3990,3837,94,14,0.3807600050498674,86
94,3947,3879,95,19,0.3767201110970837,87
95,3895,3931,95,14,0.3717964903421285,87
96,3891,3932,98,13,0.3715124352985734,89
97,3889,3933,99,13,0.37135462694104276,89
98,3801,4016,104,19,0.363180154020957,90
99,3800,4016,105,18,0.36311703067794465,90
