,results_tweets
0,47
1,46
2,47
3,48
4,39
5,56
6,52
7,42
8,46
9,61
10,69
11,55
12,63
13,41
14,52
15,49
16,50
17,40
18,55
19,50
20,40
21,56
22,45
23,48
24,39
25,50
26,54
27,48
28,50
29,57
30,43
31,48
32,53
33,43
34,59
35,52
36,64
37,48
38,40
39,53
40,42
41,68
42,46
43,48
44,59
45,43
46,38
47,60
48,43
49,54
50,45
51,44
52,58
53,32
54,48
55,32
56,52
57,56
58,46
59,56
60,63
61,50
62,53
63,47
64,39
65,49
66,46
67,38
68,37
69,43
70,53
71,39
72,59
73,43
74,41
75,45
76,53
77,52
78,46
79,41
80,46
81,52
82,56
83,62
84,51
85,43
86,50
87,58
88,56
89,49
90,68
91,52
92,46
93,48
94,57
95,51
96,56
97,52
98,58
99,52
100,51
101,58
102,63
103,53
104,32
105,52
106,49
107,47
108,51
109,50
110,57
111,57
112,46
113,42
114,52
115,50
116,44
117,47
118,52
119,49
120,64
121,63
122,49
123,52
124,55
125,51
126,45
127,42
128,61
129,44
130,50
131,60
132,54
133,61
134,56
135,48
136,59
137,55
138,43
139,45
140,56
141,54
142,46
143,54
144,54
145,67
146,49
147,45
148,59
149,57
150,49
151,53
152,52
153,56
154,43
155,46
156,42
157,62
158,61
