,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7746,175,0,18,0.7334301224592854,6
1,7733,188,0,13,0.7321992172705466,8
2,7457,464,0,17,0.7060661532634769,13
3,7443,477,1,12,0.7047721247317258,14
4,7421,499,1,17,0.7026890544123217,17
5,7409,511,1,12,0.7015528342381012,21
6,7368,552,1,20,0.6976707486428481,22
7,7308,612,1,18,0.691989647771746,23
8,7109,811,1,23,0.6731473298825905,23
9,7033,886,2,21,0.6659828304507007,26
10,7016,903,2,19,0.6643731852038884,28
11,6996,921,4,17,0.6625426082565332,31
12,6954,962,5,20,0.658597399318268,31
13,6945,971,5,16,0.6577452341876027,34
14,6935,981,5,21,0.6567983840424189,34
15,6928,988,5,8,0.6561355889407903,35
16,6868,1048,5,17,0.6504544880696882,37
17,6807,1109,5,20,0.6446787021840676,37
18,6686,1229,6,12,0.6332533770988511,42
19,6679,1236,6,17,0.6325905819972226,42
20,6672,1243,6,7,0.6319277868955939,43
21,6666,1248,7,19,0.6313912384799899,44
22,6622,1292,7,16,0.6272250978411816,46
23,6474,1440,7,18,0.613211715692463,47
24,6415,1499,7,13,0.6076252998358792,48
25,6411,1503,7,12,0.6072465597778058,48
26,6383,1530,8,12,0.6046269410427977,50
27,6378,1533,10,13,0.604216639313218,51
28,6359,1552,10,20,0.602417624037369,51
29,6198,1713,10,18,0.5871733366999116,52
30,6011,1898,12,13,0.5695303623279889,53
31,5979,1930,12,13,0.5665004418634011,53
32,5978,1930,13,11,0.5664373185203888,53
33,5975,1930,16,14,0.5662479484913521,53
34,5973,1930,18,11,0.5661217018053276,53
35,5952,1951,18,16,0.5641333165004419,54
36,5948,1953,20,10,0.5638176997853807,55
37,5944,1957,20,16,0.5634389597273072,56
38,5938,1962,21,13,0.562902411311703,56
39,5918,1982,21,14,0.5610087110213356,57
40,5898,2002,21,12,0.5591150107309683,57
41,5868,2031,22,16,0.5563060219669234,57
42,5838,2061,22,16,0.5534654715313723,58
43,5779,2119,23,11,0.5479106173462946,58
44,5776,2119,26,20,0.547721247317258,59
45,5645,2249,27,14,0.5353490720868578,60
46,5642,2249,30,10,0.535159702057821,60
47,5634,2257,30,10,0.534402221941674,62
48,5579,2312,30,19,0.5291945461431637,63
49,5530,2360,31,15,0.5245865421032698,65
50,5517,2370,34,15,0.5234503219290493,66
51,5510,2376,35,13,0.522819088498927,66
52,5503,2383,35,20,0.5221562933972984,66
53,5027,2858,36,22,0.47711778815806083,68
54,5023,2862,36,14,0.4767390480999874,69
55,5012,2873,36,17,0.4756975129402853,70
56,4935,2950,36,14,0.4684067668223709,71
57,4937,2947,37,13,0.46862769852291375,71
58,4926,2957,38,14,0.4676177250347178,71
59,4867,3015,39,18,0.46206287084964015,72
60,4848,3034,39,15,0.4602638555737912,72
61,4804,3073,44,13,0.45625552329251357,72
62,4767,3107,47,23,0.45284686276985225,73
63,4764,3109,48,14,0.4525943693978033,73
64,4749,3124,48,19,0.45117409418002774,73
65,4720,3152,49,19,0.4484597904305012,73
66,4711,3161,49,21,0.4476076252998359,74
67,4642,3227,52,10,0.4411690443125868,74
68,4638,3230,53,14,0.4408218659260194,74
69,4633,3235,53,17,0.4403484408534276,75
70,4633,3234,54,9,0.44038000252493376,76
71,4627,3238,56,20,0.43987501578083577,77
72,4453,3408,60,13,0.4235260699406641,77
73,4395,3464,62,20,0.4180974624416109,77
74,4399,3459,63,18,0.4185077641711905,77
75,4396,3462,63,13,0.4182237091276354,77
76,4395,3463,63,17,0.41812902411311703,77
77,4352,3504,65,16,0.4141206918318394,77
78,4325,3527,69,8,0.41169044312586794,77
79,4326,3524,71,14,0.4118482514833986,77
80,4321,3528,72,21,0.4114063880823129,78
81,4311,3537,73,13,0.4104910996086353,78
82,4309,3534,78,10,0.4104595379371292,78
83,4302,3540,79,18,0.4098283045070067,78
84,4284,3557,80,11,0.4081555359171822,78
85,4257,3583,81,15,0.40563060219669234,79
86,4247,3591,83,19,0.40474687539452087,80
87,4247,3588,86,13,0.40484156040903924,81
88,4236,3595,90,12,0.4039262719353618,81
89,4238,3593,90,19,0.4041156419643984,81
90,4234,3594,93,17,0.40383158692084337,81
91,4237,3591,93,12,0.4041156419643985,81
92,4206,3622,93,25,0.40118040651432907,82
93,4180,3647,94,12,0.3987501578083575,82
94,4150,3675,96,20,0.39597273071581873,83
95,4152,3668,101,13,0.39631990910238607,83
96,4139,3680,102,12,0.39512056558515335,83
97,4139,3676,106,21,0.39524681227117786,83
98,4128,3686,107,17,0.394236838782982,84
99,4124,3687,110,23,0.3939527837394268,85
100,4109,3698,114,21,0.39265875520767574,85
101,4064,3743,114,14,0.3883979295543492,86
102,4057,3750,114,14,0.3877351344527206,87
103,4024,3782,115,17,0.38464209064512056,87
104,4021,3784,116,14,0.3843895972730716,87
105,4024,3779,118,15,0.38473677565963893,88
106,4021,3781,119,17,0.38448428228758996,89
107,4021,3777,123,10,0.3846105289736144,89
108,4020,3774,127,9,0.38464209064512056,89
109,3962,3827,132,11,0.37930816816058577,90
110,3962,3817,142,22,0.379623784875647,90
111,3944,3834,143,12,0.3779510162858225,90
112,3947,3830,144,13,0.3782666330008837,91
113,3885,3887,149,10,0.3725539704582755,91
114,3882,3889,150,13,0.37230147708622646,91
115,3872,3896,153,24,0.37144931195556113,91
116,3869,3898,154,19,0.37119681858351217,91
117,3842,3923,156,9,0.3687034465345284,92
118,3839,3923,159,16,0.3685140765054917,93
119,3795,3963,163,20,0.364474182552708,93
120,3795,3963,163,24,0.364474182552708,94
121,3661,4094,166,15,0.3518810756217649,94
122,3658,4090,173,7,0.3518179522787527,94
123,3621,4127,173,21,0.348314606741573,94
124,3624,4124,173,13,0.3485986617851281,94
125,3623,4125,173,18,0.34850397677060974,94
126,3620,4126,175,19,0.3482830450700669,96
127,3530,4209,182,17,0.33998232546395657,97
128,3529,4208,184,11,0.3399507637924505,97
129,3526,4210,185,20,0.33969827042040146,97
130,3526,4209,186,14,0.3397298320919076,98
131,3525,4206,190,18,0.33976139376341374,98
132,3495,4233,193,18,0.337015528342381,98
133,3491,4234,196,19,0.3367314732988259,98
134,3490,4233,198,17,0.33669991162731977,98
135,3471,4250,200,22,0.33496401969448303,98
136,3463,4256,202,11,0.33426966292134835,98
137,3467,4250,204,16,0.334711526322434,98
138,3471,4244,206,19,0.33515338972351977,98
139,3468,4246,207,18,0.3349008963514708,98
140,3461,4247,213,19,0.3344274712788789,99
141,3462,4245,214,21,0.33455371796490346,99
142,3451,4253,217,16,0.33360686781971977,100
143,3440,4263,218,13,0.3325968943315238,100
144,3430,4270,221,18,0.33174472920085846,100
145,3424,4273,224,16,0.3312713041282666,100
146,3425,4270,226,19,0.3314291124857972,100
147,3423,4271,227,17,0.33127130412826666,101
148,3422,4271,228,15,0.3312081807852544,101
149,3381,4310,230,19,0.3273892185330135,102
150,3363,4327,231,15,0.325716449943189,103
151,3328,4360,233,17,0.3224655977780583,103
152,3241,4445,235,20,0.31429112485797245,103
153,3202,4483,236,18,0.3106299709632622,104
154,3203,4481,237,15,0.31075621764928674,104
155,3203,4478,240,17,0.3108509026638051,104
156,3140,4541,240,16,0.30488574674914787,104
157,3139,4541,241,18,0.3048226234061356,104
158,3139,4535,247,15,0.3050119934351723,104
