,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7797,124,0,12,0.7382590581997223,1
1,7654,267,0,19,0.7247191011235955,5
2,7620,301,0,17,0.721499810629971,7
3,7334,587,0,24,0.6944198964777174,9
4,7316,604,1,14,0.6927471278878929,12
5,7223,697,1,18,0.6839414215376847,19
6,6855,1065,1,15,0.6490973361949248,20
7,6847,1072,2,16,0.6483714177502841,22
8,6799,1119,3,14,0.6438580987249085,22
9,6786,1132,3,18,0.6426271935361697,24
10,6763,1155,3,18,0.6404494382022472,26
11,6673,1245,3,12,0.631927786895594,28
12,6666,1252,3,10,0.6312649917939654,28
13,6661,1257,3,12,0.6307915667213736,30
14,6656,1262,3,12,0.6303181416487816,30
15,6555,1361,5,16,0.6208180785254388,32
16,6550,1366,5,11,0.620344653452847,32
17,6431,1483,7,17,0.6091402600681732,32
18,6426,1487,8,10,0.6086983966670875,34
19,6380,1530,11,12,0.6044375710137609,35
20,6337,1573,11,15,0.600366115389471,35
21,6331,1579,11,10,0.5997980053023608,36
22,6325,1583,13,18,0.5992930185582628,37
23,6323,1584,14,11,0.5991352102007322,37
24,6310,1597,14,12,0.5979043050119935,37
25,6233,1674,14,23,0.5906135588940791,37
26,6167,1740,14,13,0.5843643479358667,38
27,6141,1766,14,23,0.5819025375583892,40
28,6130,1777,14,10,0.580861002398687,41
29,6045,1861,15,21,0.5728443378361318,42
30,6039,1867,15,14,0.5722762277490215,43
31,6035,1871,15,8,0.5718974876909482,44
32,6022,1884,15,16,0.5706665825022093,44
33,6012,1894,15,15,0.5697197323570257,44
34,5948,1957,16,11,0.5636914530993561,45
35,5944,1961,16,14,0.5633127130412826,46
36,5942,1961,18,13,0.5631864663552582,48
37,5838,2064,19,19,0.5533707865168539,52
38,5834,2066,21,13,0.5530551698017927,52
39,5830,2069,22,14,0.5527079914152253,53
40,5825,2074,22,13,0.5522345663426335,53
41,5724,2175,22,16,0.5426713798762782,53
42,5711,2188,22,16,0.5414404746875394,53
43,5703,2194,24,11,0.5407461179144047,53
44,5692,2204,25,17,0.5397361444262088,55
45,5682,2214,25,16,0.5387892942810251,55
46,5679,2217,25,16,0.5385052392374701,55
47,5668,2228,25,12,0.5374637040777679,55
48,5666,2229,26,13,0.5373058957202373,56
49,5619,2274,28,21,0.5329188233808863,57
50,5591,2298,32,11,0.5303938896603965,57
51,5589,2300,32,11,0.5302045196313597,58
52,5537,2351,33,21,0.5253124605479106,61
53,5519,2369,33,22,0.5236081302865799,61
54,5513,2374,34,8,0.5230715818709758,61
55,5498,2387,36,17,0.5217144299962126,61
56,5487,2395,39,18,0.520767579851029,62
57,5445,2435,41,14,0.5168539325842697,63
58,5444,2435,42,13,0.5167908092412574,63
59,5425,2454,42,14,0.5149917939654085,63
60,5422,2455,44,16,0.5147708622648656,64
61,5416,2461,44,14,0.5142027521777554,65
62,5416,2461,44,8,0.5142027521777554,65
63,5415,2462,44,9,0.514108067163237,65
64,5397,2479,45,22,0.5124352985734125,67
65,5396,2477,48,14,0.5124352985734124,67
66,5391,2482,48,14,0.5119618735008207,67
67,5391,2482,48,16,0.5119618735008207,68
68,5389,2484,48,14,0.5117725034717839,69
69,5387,2482,52,16,0.5117093801287715,69
70,5387,2481,53,11,0.5117409418002777,69
71,5386,2479,56,17,0.5117409418002777,69
72,5357,2508,56,24,0.5089950763792451,69
73,5359,2506,56,9,0.5091844464082819,69
74,5344,2521,56,14,0.5077641711905062,70
75,5305,2557,59,16,0.5041661406388083,72
76,5299,2563,59,12,0.503598030551698,72
77,5294,2567,60,16,0.5031561671506123,72
78,5140,2720,61,23,0.48860623658628966,72
79,5062,2798,61,14,0.4812208054538568,73
80,4904,2955,62,15,0.46629213483146065,74
81,4899,2958,64,19,0.4658818331018811,74
82,4882,2971,68,16,0.46439843454109325,74
83,4883,2969,69,8,0.4645246812271179,74
84,4851,3001,69,20,0.46149476076253,74
85,4820,3032,69,16,0.4585595253124606,75
86,4823,3028,70,6,0.4588751420275218,75
87,4809,3041,71,16,0.45758111349577074,76
88,4803,3047,71,17,0.4570130034086605,77
89,4803,3047,71,18,0.4570130034086605,77
90,4804,3045,72,11,0.45713925009468503,77
91,4804,3045,72,13,0.45713925009468503,77
92,4803,3044,74,18,0.4571076884231789,79
93,4803,3044,74,15,0.4571076884231789,79
94,4796,3050,75,14,0.45647645499305645,79
95,4697,3148,76,13,0.447134200227244,79
96,4695,3150,76,17,0.4469448301982073,79
97,4682,3161,78,9,0.4457770483524808,79
98,4677,3163,81,18,0.4453983082944073,80
99,4675,3165,81,19,0.44520893826537056,80
100,4652,3187,82,12,0.44306274460295414,80
101,4650,3187,84,21,0.4429364979169297,80
