,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7857,64,0,20,0.7439401590708243,3
1,7842,79,0,20,0.7425198838530488,6
2,7497,424,0,16,0.7098535538442116,7
3,7482,439,0,19,0.708433278626436,10
4,7409,512,0,25,0.7015212725665951,11
5,7307,613,1,19,0.6918949627572276,15
6,7197,723,1,18,0.681479611160207,16
7,7099,821,1,21,0.6722004797374068,17
8,6971,949,1,19,0.6600807978790556,17
9,6918,1000,3,20,0.6551256154525944,19
10,6425,1493,3,23,0.6084459032950386,21
11,6412,1506,3,22,0.6072149981062996,25
12,6357,1561,3,15,0.6020073223077894,25
13,6300,1616,5,21,0.5966733998232546,25
14,6230,1685,6,28,0.5900770104784749,27
15,6229,1684,8,15,0.5900454488069689,27
16,6174,1738,9,18,0.5848693346799647,27
17,6163,1748,10,22,0.5838593611917687,28
18,5990,1921,10,20,0.5674788536800909,28
19,5921,1986,14,25,0.561071834364348,31
20,5913,1994,14,17,0.560314354248201,33
21,5697,2210,14,307,0.5398623911122334,37
22,5522,2385,14,174,0.5232925135715188,39
23,5425,2481,15,91,0.5141396288347432,45
24,5391,2515,15,60,0.5109203383411186,46
25,5326,2578,17,34,0.5048289357404369,47
26,5311,2591,19,21,0.5034717838656735,47
27,5310,2590,21,18,0.5034402221941674,48
28,5300,2600,21,22,0.5024933720489837,50
29,5297,2601,23,17,0.5022724403484409,50
30,5269,2627,25,25,0.49968438328493875,50
31,5237,2659,25,16,0.49665446282035103,50
32,5222,2671,28,21,0.49532887261709385,52
33,5214,2678,29,20,0.4946029541724529,53
34,5183,2708,30,18,0.49169928039388966,53
35,5144,2746,31,20,0.48803812649917944,53
36,5139,2747,35,16,0.487690948112612,53
37,5113,2772,36,21,0.4852606994066406,53
38,5103,2780,38,21,0.48437697260446916,54
39,5102,2779,40,14,0.48434541093296296,54
40,5100,2778,43,23,0.48425072591844465,55
41,5095,2781,45,20,0.4838404241888651,55
42,5088,2788,45,26,0.4831776290872365,55
43,5034,2842,45,20,0.4780646383032445,55
44,5028,2847,46,24,0.4775280898876404,56
45,5008,2864,49,24,0.4757290746117914,57
46,4990,2882,49,21,0.47402474435046077,57
47,4985,2886,50,20,0.473582880949375,58
48,4581,3289,51,20,0.4353616967554602,60
49,4580,3286,55,19,0.4353932584269663,61
50,4580,3285,56,18,0.43542482009847244,61
51,4575,3289,57,25,0.43498295669738674,62
52,4537,3325,59,20,0.4314480494887009,63
53,4511,3349,61,23,0.42904936245423553,63
54,4488,3371,62,25,0.4269031687918192,63
55,4394,3465,62,19,0.4180027774270926,64
56,4346,3511,64,28,0.41352102007322306,65
57,4345,3511,65,14,0.4134578967302109,65
58,4338,3516,67,19,0.4128582249715944,69
59,4337,3516,68,18,0.41279510162858224,69
60,4268,3584,69,18,0.4062933972983209,69
61,4266,3581,74,22,0.4062618356268148,70
62,4252,3593,76,24,0.4049993687665699,70
63,4241,3603,77,22,0.4039893952783739,72
64,4238,3603,80,23,0.40380002524933717,72
65,4236,3604,81,17,0.4036422168918067,72
66,4221,3619,81,18,0.40222194167403114,73
67,4196,3643,82,17,0.399886377982578,74
68,4196,3642,83,18,0.3999179396540841,74
69,4197,3639,85,14,0.4000757480116147,74
70,4189,3646,86,18,0.39934982956697385,74
71,4107,3726,88,18,0.39164878171947987,74
72,4102,3731,88,22,0.39117535664688796,75
73,4097,3735,89,18,0.39073349324580237,75
74,4096,3734,91,16,0.3907019315742961,75
75,4086,3740,95,18,0.389881328115137,75
76,4036,3789,96,24,0.3851786390607247,76
77,4032,3793,96,25,0.3847998990026512,78
78,4027,3797,97,23,0.38435803560156545,78
79,4024,3797,100,22,0.3841686655725287,78
80,4025,3795,101,20,0.3842949122585532,78
81,3995,3823,103,21,0.3815174851660144,78
82,3992,3824,105,22,0.38129655346547153,78
83,3968,3844,109,20,0.37915035980305517,78
84,3824,3984,113,16,0.36564196439843455,78
85,3815,3993,113,16,0.3647897992677692,80
86,3793,4012,116,19,0.3628014139628835,80
87,3780,4025,116,20,0.3615705087741447,81
88,3777,4025,119,14,0.36138113874510797,82
89,3777,4022,122,21,0.36147582375962634,82
90,3779,4018,124,19,0.3617283171316753,82
91,3685,4107,129,25,0.3529857341244792,84
92,3688,4101,132,19,0.3533644741825527,84
93,3682,4106,133,19,0.3528279257669486,84
94,3679,4108,134,18,0.35257543239489963,84
95,3677,4105,139,22,0.35254387072339355,84
96,3672,4110,139,23,0.3520704456508017,86
97,3658,4121,142,23,0.3508395404620629,87
98,3638,4140,143,18,0.34897740184320164,87
99,3609,4168,144,23,0.346263098093675,87
100,3611,4165,145,17,0.3464840297942179,87
101,3590,4186,145,17,0.3444956444893322,87
102,3566,4208,147,32,0.34228632748390353,88
103,3559,4213,149,19,0.3416866557252873,88
104,3539,4231,151,22,0.3398560787779321,88
105,3540,4230,151,18,0.3399507637924504,88
106,3541,4225,155,9,0.34017169549299336,88
107,3534,4231,156,19,0.3395404620628708,88
108,3239,4526,156,618,0.311608382779952,99
109,3107,4657,157,329,0.29914152253503346,101
110,2990,4772,159,142,0.28812649917939653,104
111,2944,4818,159,120,0.2837709885115515,105
112,2912,4847,162,74,0.2808357530614822,106
113,2901,4855,165,14,0.2798889029162984,106
114,2901,4852,168,15,0.2799835879308168,106
115,2901,4848,172,18,0.2801098346168413,106
116,2886,4859,176,13,0.27881580608509027,106
117,2881,4859,181,21,0.27850018937002907,106
118,2881,4856,184,20,0.27859487438454744,106
119,2846,4886,189,19,0.2754387072339351,106
120,2848,4884,189,22,0.27562807726297184,106
121,2852,4880,189,25,0.2760068173210453,106
122,2849,4880,192,16,0.2758174472920086,107
123,2734,4991,196,20,0.2650549173084207,107
124,2719,5004,198,17,0.26369776543365736,108
125,2722,5000,199,26,0.2640133821487186,108
126,2716,5004,201,22,0.2635083954046206,108
127,2714,5003,204,20,0.26341371039010225,110
128,2710,5006,205,25,0.2630665320035349,111
129,2704,5011,206,18,0.2625299835879308,111
130,2706,5008,207,25,0.26275091528847366,111
131,2707,5005,209,12,0.26290872364600426,111
132,2705,5005,211,24,0.2627824769599798,112
133,2706,5003,212,18,0.26290872364600426,112
134,2702,5004,215,17,0.26262466860244915,113
135,2703,4999,219,17,0.26284560030299203,113
136,2683,5015,223,18,0.2610781466986492,113
137,2685,5010,226,20,0.26136220174220426,113
138,2688,5003,230,22,0.2617725034717839,113
139,2691,4998,232,13,0.2621196818583512,113
140,2675,5012,234,30,0.26066784496906953,113
141,2677,5009,235,13,0.2608887766696124,113
142,2678,5007,236,13,0.26101502335563687,113
143,2677,5003,241,11,0.26107814669864915,114
144,2677,4998,246,22,0.2612359550561798,114
145,2674,5000,247,21,0.2609834616841308,114
146,2671,5000,250,20,0.26079409165509404,114
147,2673,4996,252,16,0.26104658502714306,115
148,2674,4993,254,22,0.26120439338467366,115
149,2675,4990,256,22,0.2613622017422042,116
150,2674,4989,258,18,0.2613306400706982,116
