,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7888,33,0,20,0.7468753945208938,4
1,7868,53,0,24,0.7449816942305265,8
2,7843,78,0,19,0.7426145688675673,11
3,7656,265,0,17,0.7249084711526322,14
4,7643,278,0,17,0.7236775659638934,15
5,7620,301,0,24,0.721499810629971,18
6,7598,323,0,23,0.7194167403105669,21
7,7589,332,0,16,0.7185645751799016,22
8,7356,565,0,23,0.6965029667971215,23
9,7345,576,0,12,0.6954614316374195,25
10,7197,724,0,25,0.681448049488701,27
11,7185,736,0,20,0.6803118293144805,27
12,7170,751,0,15,0.6788915540967049,27
13,7154,767,0,20,0.6773765938644111,31
14,7118,803,0,26,0.6739679333417499,36
15,7065,856,0,19,0.6689496275722762,36
16,6860,1061,0,19,0.6495391995960106,38
17,6850,1071,0,18,0.6485923494508269,38
18,6843,1078,0,20,0.6479295543491983,40
19,6836,1084,1,20,0.6472983209190758,43
20,6697,1223,1,161,0.6341371039010226,45
21,6373,1547,1,66,0.603459159197071,45
22,6361,1559,1,26,0.6023229390228506,46
23,5990,1930,1,23,0.5671947986365358,49
24,5982,1937,2,21,0.566468880191895,49
25,5837,2082,2,21,0.5527395530867315,49
26,5834,2085,2,13,0.5524554980431764,49
27,5787,2131,3,22,0.5480368640323192,50
28,5781,2135,5,14,0.5475318772882213,50
29,5744,2170,7,19,0.5440916550940538,50
30,5743,2171,7,18,0.5439969700795353,50
31,5738,2176,7,18,0.5435235450069436,50
32,5734,2180,7,18,0.5431448049488701,50
33,5735,2176,10,17,0.5433341749779068,51
34,5716,2194,11,22,0.541566721373564,52
35,5713,2196,12,22,0.541314228001515,52
36,5709,2199,13,15,0.5409670496149476,52
37,5608,2300,13,25,0.5314038631485923,54
38,5528,2379,14,23,0.5238606236586291,54
39,5522,2385,14,28,0.5232925135715188,56
40,5520,2386,15,20,0.5231347052139881,56
41,5516,2390,15,19,0.5227559651559147,56
42,5511,2394,16,18,0.5223141017548288,57
43,5504,2401,16,28,0.5216513066532004,59
44,5498,2403,20,18,0.5212094432521147,61
45,5492,2408,21,17,0.5206728948365106,62
46,5489,2410,22,16,0.5204204014644614,63
47,5380,2519,22,24,0.5100997348819593,63
48,5382,2516,23,12,0.5103206665825023,64
49,5353,2545,23,14,0.5075748011614696,64
50,5342,2554,25,23,0.5065963893447797,64
51,5336,2559,26,17,0.5060598409291757,65
52,5292,2603,26,22,0.5018937002903675,65
53,5293,2602,26,16,0.5019883853048858,65
54,5290,2605,26,23,0.5017043302613307,65
55,5252,2642,27,28,0.4981378613811388,68
56,5248,2646,27,22,0.4977591213230652,70
57,5144,2750,27,20,0.4879118798131549,70
58,5129,2764,28,17,0.4865231662668855,71
59,5087,2805,29,19,0.4825779573286201,71
60,5071,2819,31,20,0.4811261204393385,73
61,5054,2835,32,16,0.4795480368640323,75
62,5036,2852,33,19,0.4778752682742078,76
63,5010,2877,34,25,0.47544501956823637,76
64,5006,2881,34,14,0.4750662795101628,76
65,4956,2931,34,17,0.4703320287842444,76
66,4934,2952,35,18,0.4682805201363464,77
67,4930,2955,36,18,0.4679333417497791,77
68,4895,2986,40,18,0.4647456129276606,77
69,4877,3004,40,34,0.46304128266633005,77
70,4871,3009,41,25,0.46250473425072597,78
71,4871,3007,43,14,0.4625678575937382,80
72,4870,3006,45,16,0.462536295922232,80
73,4801,3075,45,25,0.4560030299204646,80
74,4781,3094,46,17,0.45414089130160334,80
75,4731,3142,48,23,0.4494697639186971,80
76,4730,3140,51,16,0.44946976391869714,80
77,4691,3177,53,21,0.44584017169549295,80
78,4621,3243,57,27,0.4393384673652317,80
79,4547,3315,59,21,0.4323948996338846,80
80,4542,3318,61,13,0.431984597904305,80
81,4533,3325,63,25,0.43119555611665195,80
82,4528,3330,63,18,0.4307221310440601,81
83,4527,3329,65,16,0.430690569372554,81
84,4525,3328,68,14,0.4305958843580356,84
85,4509,3342,70,20,0.42914404746875395,85
86,4483,3364,74,13,0.4268084837773008,85
87,4478,3368,75,25,0.4263666203762152,85
88,4448,3397,76,24,0.4235576316121702,85
89,4341,3502,78,21,0.4134894584017169,85
