,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7917,4,0,3,0.7496212599419265,1
1,7915,6,0,2,0.7494318899128898,3
2,7912,9,0,3,0.7491478348693347,3
3,7906,15,0,6,0.7485797247822245,5
4,7877,44,0,9,0.7458338593611917,7
5,7875,46,0,2,0.745644489332155,7
6,7869,52,0,6,0.7450763792450448,10
7,7862,59,0,7,0.7444135841434163,11
8,7860,61,0,2,0.7442242141143794,11
9,7855,66,0,5,0.7437507890417877,12
10,7849,72,0,6,0.7431826789546775,13
11,7842,79,0,7,0.7425198838530488,15
12,7839,82,0,3,0.7422358288094938,15
13,7835,86,0,6,0.7418570887514202,16
14,7826,95,0,7,0.741004923620755,17
15,7823,98,0,4,0.7407208685771998,18
16,7820,101,0,4,0.7404368135336448,18
17,7816,105,0,4,0.7400580734755713,18
18,7810,111,0,6,0.7394899633884611,18
19,7804,117,0,6,0.7389218533013509,18
20,7800,121,0,5,0.7385431132432774,18
21,7766,155,0,4,0.7353238227496528,19
22,7762,159,0,5,0.7349450826915793,19
23,7762,159,0,1,0.7349450826915793,19
24,7760,161,0,4,0.7347557126625426,19
25,7757,164,0,5,0.7344716576189875,19
26,7751,170,0,7,0.7339035475318773,19
27,7748,173,0,4,0.7336194924883221,19
28,7744,177,0,4,0.7332407524302487,20
29,7741,180,0,3,0.7329566973866937,20
30,7733,188,0,9,0.7321992172705466,22
31,7728,193,0,6,0.7317257921979549,22
32,7726,195,0,3,0.731536422168918,22
33,7724,197,0,6,0.7313470521398813,24
34,7708,213,0,8,0.7298320919075874,25
35,7707,214,0,3,0.7297374068930691,25
36,7697,224,0,6,0.7287905567478854,25
37,7694,227,0,5,0.7285065017043303,25
38,7688,233,0,4,0.7279383916172201,25
39,7676,245,0,5,0.7268021714429996,26
40,7672,249,0,7,0.7264234313849262,27
41,7630,291,0,6,0.7224466607751546,27
42,7618,303,0,10,0.7213104406009342,30
43,7616,305,0,2,0.7211210705718974,30
44,7612,309,0,7,0.720742330513824,31
45,7608,313,0,7,0.7203635904557506,31
46,7593,328,0,5,0.718943315237975,32
47,7590,331,0,6,0.71865926019442,32
48,7571,350,0,5,0.7168602449185709,33
49,7568,353,0,7,0.7165761898750158,33
50,7566,354,1,5,0.7164183815174852,33
51,7559,361,1,5,0.7157555864158566,34
52,7553,367,1,7,0.7151874763287464,34
53,7550,369,2,4,0.7149349829566974,35
54,7546,373,2,6,0.714556242898624,35
55,7533,386,2,14,0.7133253377098852,37
56,7531,388,2,3,0.7131359676808484,38
57,7524,395,2,7,0.7124731725792198,38
58,7517,402,2,7,0.7118103774775912,40
59,7511,408,2,7,0.7112422673904811,41
60,7511,408,2,6,0.7112422673904811,41
61,7506,413,2,7,0.7107688423178892,41
62,7503,415,3,7,0.7105163489458401,42
63,7473,444,4,7,0.7077073601817951,43
64,7460,457,4,8,0.7064764549930563,44
65,7408,509,4,7,0.7015528342381012,45
66,7404,513,4,7,0.7011740941800277,46
67,7344,573,4,5,0.6954929933089257,46
68,7342,575,4,7,0.6953036232798889,46
69,7336,581,4,5,0.6947355131927787,46
70,7325,592,4,9,0.6936939780330765,46
71,7311,605,5,6,0.6923999495013257,46
72,7310,605,6,3,0.6923368261583134,46
73,7307,608,6,7,0.6920527711147583,46
74,7303,612,6,5,0.6916740310566847,47
75,7197,717,7,2,0.6816689811892438,47
76,7195,718,8,5,0.6815111728317131,47
77,7148,765,8,6,0.6770609771493499,48
78,7146,767,8,7,0.6768716071203131,48
