,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7911,10,0,8,0.7490531498548163,1
1,7900,21,0,11,0.7480116146951142,3
2,7899,22,0,1,0.7479169296805959,3
3,7889,32,0,10,0.7469700795354122,3
4,7881,40,0,8,0.7462125994192652,3
5,7872,49,0,11,0.7453604342885999,4
6,7866,55,0,6,0.7447923242014897,4
7,7855,66,0,4,0.7437507890417877,5
8,7848,73,0,7,0.743087993940159,5
9,7841,80,0,7,0.7424251988385304,5
10,7831,90,0,4,0.7414783486933468,5
11,7826,95,0,5,0.741004923620755,5
12,7824,97,0,3,0.7408155535917182,5
13,7819,102,0,5,0.7403421285191264,5
14,7815,106,0,5,0.7399633884610529,5
15,7809,112,0,7,0.7393952783739427,5
16,7796,125,0,14,0.7381643731852039,5
17,7791,130,0,5,0.737690948112612,6
18,7787,134,0,4,0.7373122080545386,7
19,7779,142,0,8,0.7365547279383916,7
20,7773,148,0,6,0.7359866178512814,7
21,7768,153,0,8,0.7355131927786895,7
22,7758,163,0,10,0.7345663426335058,7
23,7521,400,0,7,0.7121259941926524,7
24,7513,407,1,11,0.7114000757480116,7
25,7508,412,1,6,0.7109266506754197,7
26,7505,415,1,3,0.7106425956318647,7
27,7497,423,1,10,0.7098851155157176,8
28,7492,428,1,6,0.7094116904431258,8
29,7487,433,1,7,0.7089382653705341,8
30,7482,438,1,6,0.7084648402979421,8
31,7478,442,1,5,0.7080861002398686,8
32,7474,446,1,5,0.7077073601817953,9
33,7467,453,1,8,0.7070445650801666,11
34,7462,458,1,8,0.7065711400075748,12
35,7461,459,1,3,0.7064764549930563,12
36,7453,467,1,11,0.7057189748769095,13
37,7449,471,1,5,0.705340234818836,14
38,7444,476,1,7,0.7048668097462442,14
39,7440,480,1,5,0.7044880696881707,14
40,7436,484,1,11,0.7041093296300971,14
41,7429,491,1,8,0.7034465345284686,14
42,7424,496,1,5,0.7029731094558767,15
43,7413,506,2,5,0.7019631359676809,15
44,7370,549,2,7,0.697891680343391,15
45,7368,551,2,6,0.6977023103143543,16
46,7360,559,2,9,0.6969448301982074,17
47,7354,565,2,8,0.6963767201110972,19
48,7349,570,2,6,0.6959032950385052,21
49,7346,573,2,5,0.6956192399949501,21
50,7341,578,2,10,0.6951458149223584,21
51,7334,584,3,9,0.6945145814922358,21
52,7330,588,3,8,0.6941358414341624,21
53,7322,596,3,11,0.6933783613180153,21
54,7309,608,4,13,0.6921790178007826,21
55,7304,612,5,6,0.6917371543996971,21
56,7301,615,5,4,0.691453099356142,21
57,7300,616,5,4,0.6913584143416236,21
58,7293,623,5,8,0.690695619239995,21
59,7291,625,5,3,0.6905062492109582,22
60,7287,629,5,5,0.6901275091528848,22
61,7279,637,5,9,0.6893700290367378,23
62,7273,643,5,9,0.6888019189496276,23
63,7269,647,5,5,0.6884231788915541,23
64,7266,650,5,7,0.688139123847999,23
65,7260,655,6,6,0.6876025754323949,23
66,7258,656,7,6,0.6874447670748642,23
67,7254,660,7,7,0.6870660270167908,23
68,7250,663,8,7,0.6867188486302235,23
69,7249,664,8,3,0.6866241636157051,23
70,7245,668,8,6,0.6862454235576317,23
71,7242,671,8,7,0.6859613685140765,23
72,7238,675,8,8,0.685582628456003,23
73,7234,679,8,4,0.6852038883979296,24
74,7231,682,8,6,0.6849198333543745,24
75,7227,686,8,7,0.6845410932963011,25
76,7222,691,8,6,0.6840676682237091,25
77,7214,699,8,12,0.6833101881075623,28
78,7210,703,8,6,0.6829314480494887,29
79,7208,704,9,6,0.6827736396919581,29
80,7198,714,9,10,0.6818267895467743,29
81,7197,715,9,5,0.6817321045322561,29
82,7194,718,9,6,0.6814480494887009,29
83,7188,722,11,7,0.6809430627446029,29
84,7186,723,12,5,0.6807852543870724,29
85,7180,728,13,9,0.6802487059714682,30
86,7178,730,13,4,0.6800593359424315,30
87,7171,736,14,12,0.6794281025123091,31
88,7158,749,14,14,0.6781971973235703,32
89,7153,754,14,9,0.6777237722509785,32
90,7132,775,14,6,0.6757353869460927,32
