,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7887,34,0,15,0.7467807095063754,1
1,7869,52,0,18,0.7450763792450448,2
2,7558,363,0,19,0.7156293397298321,7
3,7093,828,0,23,0.6716008079787906,7
4,7028,893,0,20,0.6654462820350966,10
5,7004,917,0,23,0.6631738416866557,14
6,6874,1045,2,23,0.65092791314228,17
7,6871,1048,2,5,0.6506438580987249,17
8,6861,1057,3,17,0.6497285696250473,18
9,6842,1074,5,17,0.6479926776922106,22
10,6769,1147,5,20,0.6410806716323697,25
11,6743,1172,6,19,0.6386504229263982,27
12,6733,1182,6,16,0.6377035727812145,27
13,6723,1192,6,16,0.6367567226360308,27
14,6717,1198,6,10,0.6361886125489206,27
15,6687,1228,6,19,0.6333480621133695,28
16,6682,1233,6,15,0.6328746370407777,28
17,6675,1240,6,10,0.632211841939149,29
18,6658,1257,6,15,0.6306021966923369,32
19,6649,1265,7,13,0.6297815932331776,34
20,6648,1265,8,6,0.6297184698901654,34
21,6641,1272,8,14,0.6290556747885369,36
22,6624,1287,10,16,0.6275091528847367,36
23,6556,1354,11,18,0.6211021335689939,37
24,6542,1368,11,13,0.6197765433657366,38
25,6475,1435,11,20,0.613432647393006,39
26,6460,1450,11,18,0.6120123721752304,40
27,6459,1450,12,8,0.6119492488322182,40
28,6452,1457,12,15,0.6112864537305895,41
29,6383,1526,12,25,0.6047531877288221,43
30,6285,1624,12,13,0.5954740563060219,43
31,6237,1672,12,11,0.5909291756091403,44
32,6230,1678,13,17,0.5902979421790178,46
33,6217,1689,15,18,0.5891301603332912,46
34,6186,1720,15,14,0.5861949248832218,47
35,6133,1772,16,13,0.5812081807852544,47
36,6122,1783,16,15,0.5801666456255523,48
37,6018,1887,16,15,0.570319404115642,49
38,5999,1906,16,9,0.568520388839793,49
39,5992,1913,16,25,0.5678575937381644,50
40,5958,1947,16,20,0.5646383032445398,51
41,5952,1953,16,13,0.5640701931574296,51
42,5934,1970,17,18,0.5623974245676051,52
43,5891,2013,17,17,0.5583259689433153,52
44,5880,2022,19,18,0.5573475571266254,52
45,5878,2022,21,19,0.557221310440601,52
46,5872,2028,21,19,0.5566532003534908,53
47,5817,2081,23,18,0.5515086478979927,53
48,5805,2092,24,11,0.5504039893952783,53
49,5796,2100,25,22,0.5495833859361191,54
50,5714,2180,27,15,0.5418823380886252,54
51,5617,2276,28,22,0.5327294533518495,54
52,5369,2522,30,21,0.5093106930943063,55
53,5305,2585,31,24,0.5032824138366367,57
54,5301,2586,34,5,0.5029983587930816,57
55,5301,2586,34,13,0.5029983587930816,57
56,5255,2632,34,24,0.49864284812523674,58
57,5243,2643,35,12,0.49753818962252244,58
58,5243,2639,39,7,0.49766443630854695,58
59,5241,2640,40,12,0.49750662795101624,59
60,5237,2643,41,18,0.49715944956444896,59
61,5159,2718,44,21,0.48986870344653455,59
62,5146,2730,45,24,0.4886693599293018,60
63,5117,2758,46,15,0.48595505617977525,61
64,5117,2758,46,16,0.48595505617977525,61
65,4967,2906,48,23,0.47181542734503223,63
66,4962,2910,49,17,0.47137356394394647,65
67,4940,2932,49,16,0.46929049362454234,65
68,4838,3033,50,16,0.4596641838151749,66
69,4825,3045,51,19,0.4584648402979422,66
70,4818,3050,53,18,0.45786516853932585,66
71,4813,3055,53,20,0.457391743466734,67
72,4809,3058,54,20,0.45704456508016666,69
73,4807,3057,57,21,0.4569498800656483,69
74,4761,3101,59,15,0.4526574927408155,69
75,4759,3102,60,17,0.4524996843832849,69
76,4689,3172,60,28,0.44587173336699915,69
77,4682,3179,60,17,0.44520893826537056,69
78,4680,3181,60,23,0.4450195682363338,69
79,4664,3194,63,17,0.44359929301855827,69
80,4661,3196,64,15,0.44334679964650925,69
81,4641,3213,67,16,0.4415477843706602,69
82,4639,3213,69,21,0.4414215376846358,70
83,4636,3214,71,15,0.44120060598409294,70
84,4627,3223,71,15,0.4403484408534276,70
85,4626,3222,73,12,0.4403168791819214,71
86,4624,3223,74,20,0.4401590708243909,71
87,4623,3222,76,10,0.4401275091528848,72
88,4590,3253,78,19,0.43706602701679087,73
89,4586,3256,79,16,0.4367188486302235,75
90,4570,3268,83,25,0.435330135083954,76
91,4535,3302,84,8,0.4320477212473173,76
92,4533,3301,87,18,0.4319530362327989,76
93,4510,3321,90,21,0.42986996591339477,76
94,4481,3347,93,25,0.4272187855068805,76
95,4473,3352,96,17,0.4265559904052519,76
96,4468,3357,96,13,0.42608256533266,76
97,4466,3354,101,14,0.42605100366115395,76
98,4463,3357,101,16,0.42576694861759884,76
99,4456,3364,101,13,0.42510415351597025,77
100,4453,3367,101,15,0.42482009847241514,77
101,4458,3359,104,11,0.4253882085595253,77
102,4456,3360,105,18,0.4252304002019947,77
103,4450,3365,106,12,0.42469385178639063,78
104,4433,3381,107,13,0.4231157682110845,78
105,4377,3437,107,22,0.4178134073980558,78
106,4374,3439,108,20,0.41756091402600676,78
107,4357,3452,112,19,0.4160775154652191,79
108,4355,3453,113,13,0.41591970710768844,79
109,4352,3455,114,16,0.4156672137356394,80
110,4352,3454,115,19,0.41569877540714556,80
111,4353,3450,118,13,0.41588814543618224,80
112,4352,3450,119,14,0.41582502209317007,80
113,4349,3450,122,11,0.41563565206413333,80
114,4316,3483,122,24,0.41251104658502713,82
115,4319,3480,122,18,0.41279510162858224,82
116,4301,3497,123,16,0.4111223330387577,82
117,4301,3497,123,10,0.4111223330387577,83
118,4303,3494,124,9,0.4113432647393006,83
119,4302,3494,125,18,0.4112801413962884,83
120,4302,3494,125,15,0.4112801413962884,83
121,4291,3504,126,15,0.4102701679080924,83
122,4290,3504,127,27,0.41020704456508017,84
123,4289,3504,128,17,0.41014392122206794,84
124,4260,3531,130,26,0.40746117914404745,84
125,4100,3690,131,13,0.39234313849261465,84
126,4101,3687,133,14,0.3925009468501452,84
127,4097,3690,134,19,0.3921537684635779,85
128,4097,3690,134,11,0.3921537684635779,85
129,4090,3694,137,12,0.3915856583764676,86
130,4089,3694,138,19,0.39152253503345535,86
131,4076,3707,138,18,0.3902916298447166,86
132,4037,3745,139,17,0.3866304759500063,86
133,4037,3743,141,15,0.38669359929301855,86
134,4039,3740,142,12,0.38691453099356143,86
135,4036,3743,142,15,0.3866304759500063,87
136,4039,3740,142,14,0.38691453099356143,87
137,4040,3736,145,22,0.3871039010225982,87
138,4037,3738,146,15,0.3868514076505492,87
139,4036,3735,150,10,0.3868829693220553,87
140,4003,3767,151,21,0.38378992551445523,88
141,4006,3763,152,15,0.3841055422295165,88
142,4009,3760,152,13,0.3843895972730716,88
143,4014,3752,155,14,0.3849577073601818,88
144,4006,3758,157,16,0.3842633505870471,88
145,4005,3759,157,19,0.3841686655725287,88
146,4005,3759,157,11,0.3841686655725287,88
147,3999,3764,158,12,0.38363211715692463,88
148,3991,3768,162,17,0.38300088372680213,88
