,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7760,161,0,17,0.7347557126625426,3
1,7746,175,0,16,0.7334301224592854,7
2,7693,228,0,21,0.7284118166898119,10
3,7680,241,0,13,0.7271809115010731,13
4,7594,327,0,12,0.7190380002524933,13
5,7574,347,0,12,0.717144299962126,15
6,7562,359,0,17,0.7160080797879056,17
7,7252,669,0,24,0.6866557252872112,18
8,7243,678,0,14,0.6858035601565459,21
9,7071,850,0,12,0.6695177376593864,25
10,7061,860,0,10,0.6685708875142027,25
11,6923,998,0,13,0.6555043555106679,26
12,6885,1036,0,12,0.6519063249589698,27
13,6871,1048,2,10,0.6506438580987249,29
14,6777,1142,2,21,0.6417434667339982,32
15,6768,1151,2,14,0.640891301603333,32
16,6761,1158,2,14,0.6402285065017044,33
17,6750,1169,2,17,0.6391869713420023,35
18,6747,1170,4,11,0.6389660396414594,35
19,6744,1173,4,13,0.6386819845979043,36
20,6726,1191,4,20,0.6369776543365736,39
21,6697,1219,5,26,0.6342633505870472,43
22,6685,1231,5,24,0.6331271304128268,44
23,6639,1276,6,18,0.6288031814164878,45
24,6618,1297,6,16,0.6268147961116021,47
25,6470,1444,7,16,0.6128329756343895,49
26,6464,1450,7,22,0.6122648655472793,50
27,6417,1497,7,15,0.6078146698649161,51
28,6376,1537,8,16,0.6039641459411691,51
29,6362,1551,8,16,0.6026385557379119,51
30,6273,1640,8,12,0.5942115894457771,51
31,6267,1645,9,19,0.593675041030173,53
32,6262,1649,10,12,0.5932331776290872,53
33,6253,1657,11,18,0.5924125741699281,53
34,6234,1676,11,17,0.5906135588940791,55
35,6215,1695,11,16,0.58881454361823,55
36,6199,1710,12,24,0.5873311450574423,58
37,6156,1753,12,15,0.5832596894331524,59
38,6145,1762,14,21,0.5822812776164626,59
39,6113,1794,14,15,0.5792513571518748,60
40,6107,1800,14,14,0.5786832470647646,61
41,6101,1806,14,28,0.5781151369776544,63
42,5986,1921,14,20,0.567226360308042,63
43,5984,1922,15,20,0.5670685519505113,63
44,5978,1927,16,16,0.5665320035349072,64
45,5966,1939,16,18,0.5653957833606867,64
46,5873,2031,17,12,0.5566216386819847,65
47,5851,2053,17,26,0.5545385683625805,65
48,5806,2098,17,12,0.550277742709254,65
49,5779,2125,17,18,0.5477212473172579,65
50,5774,2130,17,9,0.5472478222446661,66
51,5418,2485,18,13,0.5135715187476328,66
52,5417,2486,18,13,0.5134768337331145,68
53,5417,2485,19,14,0.5135083954046206,68
54,5417,2484,20,17,0.5135399570761268,68
55,5407,2493,21,24,0.5126246686024493,68
56,5382,2517,22,22,0.5102891049109961,70
57,5324,2574,23,22,0.5048289357404369,71
58,5322,2575,24,16,0.5046711273829062,73
59,5319,2578,24,11,0.5043870723393511,73
60,5319,2578,24,14,0.5043870723393511,74
61,5318,2579,24,17,0.5042923873248327,75
62,5309,2588,24,19,0.5034402221941674,76
63,5291,2606,24,13,0.5017358919328367,76
64,5128,2768,25,20,0.48633379623784884,77
65,5072,2823,26,12,0.4810629970963262,78
66,5066,2829,26,20,0.480494887009216,79
67,5064,2831,26,16,0.48030551698017926,81
68,5009,2885,27,11,0.47512940285317506,83
69,5006,2887,28,13,0.4748769094811261,83
70,5004,2888,29,19,0.47471910112359555,83
71,4986,2906,29,14,0.4730147708622649,83
72,4984,2908,29,21,0.4728254008332281,83
73,4979,2911,31,10,0.4724150991036486,83
74,4839,3050,32,12,0.45919075874258297,83
75,4812,3076,33,13,0.4566658250220932,83
76,4750,3136,35,16,0.4508584774649666,83
77,4750,3136,35,18,0.4508584774649666,84
78,4745,3137,39,12,0.4505112990783992,84
79,4658,3221,42,22,0.44236838782981946,85
80,4656,3222,43,15,0.4422105794722888,85
81,4655,3218,48,11,0.4422737028153011,85
82,4600,3273,48,18,0.4370660270167908,86
83,4551,3320,50,15,0.432489584648403,86
84,4532,3338,51,17,0.4307221310440601,86
85,4517,3352,52,18,0.42933341749779064,86
86,4500,3366,55,16,0.4278184572654968,86
87,4502,3364,55,17,0.42800782729453346,87
88,4501,3362,58,20,0.42800782729453346,87
89,4499,3364,58,31,0.4278184572654967,88
90,4496,3366,59,22,0.42756596389344786,90
91,4494,3368,59,18,0.42737659386441107,90
92,4493,3365,63,14,0.42740815553591727,90
93,4494,3363,64,12,0.42753440222194167,90
94,4487,3370,64,22,0.42687160712031313,90
