,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7906,15,0,12,0.7485797247822245,1
1,7893,28,0,17,0.7473488195934856,1
2,7880,41,0,17,0.746117914404747,1
3,7865,56,0,18,0.7446976391869713,1
4,7851,70,0,18,0.7433720489837141,1
5,7846,74,1,8,0.7429301855826285,1
6,7829,91,1,21,0.7413205403358161,1
7,7820,100,1,12,0.7404683752051509,1
8,7813,107,1,11,0.7398055801035223,1
9,7801,119,1,16,0.7386693599293018,1
10,7789,131,1,15,0.7375331397550814,1
11,7775,145,1,17,0.7362075495518242,1
12,7762,158,1,16,0.7349766443630854,1
13,7749,171,1,16,0.7337457391743466,1
14,7733,187,1,20,0.7322307789420527,1
15,7718,202,1,21,0.7308105037242771,1
16,7701,219,1,22,0.729200858477465,1
17,7685,235,1,20,0.727685898245171,1
18,7661,259,1,28,0.7254134578967302,1
19,7651,269,1,14,0.7244666077515465,1
20,7568,352,1,90,0.7166077515465219,3
21,7557,362,2,16,0.7155977780583259,3
22,7550,369,2,11,0.7149349829566974,3
23,7541,378,2,13,0.7140828178260321,3
24,7530,389,2,16,0.71304128266633,4
25,7519,400,2,15,0.711999747506628,4
26,7508,411,2,16,0.7109582123469259,4
27,7497,422,2,17,0.7099166771872238,4
28,7489,430,2,13,0.7091591970710769,4
29,7478,441,2,16,0.7081176619113748,4
30,7466,453,2,17,0.7069814417371544,4
31,7459,460,2,10,0.7063186466355259,4
32,7449,470,2,16,0.7053717964903422,4
33,7431,487,3,24,0.7036990279005176,4
34,7412,506,3,22,0.7019000126246686,5
35,7397,521,3,20,0.7004797374068931,5
36,7387,530,4,17,0.6995644489332155,5
37,7374,543,4,18,0.6983335437444766,5
38,7359,558,4,22,0.6969132685267011,5
39,7343,574,4,26,0.6953983082944072,5
40,7328,589,4,21,0.6939780330766316,5
41,7316,601,4,21,0.6928418129024113,5
42,7298,618,5,22,0.6911690443125869,5
43,7286,629,6,18,0.6900643858098725,5
44,7276,639,6,18,0.6891175356646888,5
45,7263,650,8,19,0.6879497538189623,5
46,7253,660,8,13,0.6870029036737786,6
47,7235,678,8,22,0.6852985734124479,8
48,7227,685,9,14,0.6845726549678072,8
49,7213,699,9,17,0.6832470647645499,8
50,7201,710,10,21,0.6821424062618355,8
51,7188,721,12,19,0.680974624416109,8
52,7179,730,12,16,0.6801224592854438,8
53,7171,738,12,13,0.6793649791692968,8
54,7159,750,12,18,0.6782287589950764,8
55,7152,757,12,13,0.6775659638934478,8
56,7144,764,13,13,0.6768400454488069,8
57,7126,782,13,24,0.6751357151874763,8
58,7114,794,13,22,0.6739994950132558,8
59,7110,797,14,9,0.6736523166266886,8
60,7094,813,14,21,0.6721373563943948,8
61,7084,822,15,16,0.6712220679207171,8
62,7068,838,15,22,0.6697071076884231,8
63,7053,853,15,24,0.6682868324706477,8
64,7044,862,15,14,0.6674346673399824,8
65,7041,865,15,7,0.6671506122964272,8
66,7030,876,15,19,0.6661090771367252,8
67,7014,891,16,25,0.6646256785759374,8
68,7007,898,16,16,0.6639628834743088,8
69,6991,913,17,23,0.6624794849135212,8
70,6975,929,17,24,0.6609645246812271,8
71,6969,934,18,12,0.660427976265623,8
72,6965,938,18,9,0.6600492362075495,8
73,6957,946,18,15,0.6592917560914027,8
74,6948,955,18,19,0.6584395909607373,8
75,6942,961,18,12,0.6578714808736271,8
76,6928,975,18,24,0.6565458906703698,8
77,6918,984,19,16,0.6556306021966923,8
78,6909,992,20,18,0.6548099987375332,8
79,6899,1002,20,16,0.6538631485923495,8
80,6890,1010,21,16,0.6530425451331903,8
81,6885,1015,21,12,0.6525691200605984,8
82,6873,1026,22,17,0.6514644615578841,8
83,6865,1034,22,12,0.6507069814417371,8
84,6859,1040,22,15,0.6501388713546269,8
85,6847,1052,22,19,0.6490026511804065,8
86,6832,1067,22,22,0.6475823759626309,9
87,6829,1069,23,12,0.647329882590582,9
88,6820,1077,24,17,0.6465092791314228,9
89,6804,1092,25,24,0.645025880570635,10
90,6792,1102,27,25,0.6439527837394269,10
91,6782,1112,27,14,0.6430059335942432,10
92,6776,1117,28,16,0.642469385178639,10
93,6767,1126,28,15,0.6416172200479737,10
94,6754,1139,28,21,0.6403863148592349,10
95,6745,1147,29,18,0.6395657114000758,10
96,6734,1157,30,15,0.6385557379118798,10
97,6725,1166,30,16,0.6377035727812146,10
98,6719,1171,31,13,0.6371670243656105,10
99,6714,1175,32,12,0.6367251609645247,10
100,6658,1230,33,79,0.6314543618230022,12
101,6649,1239,33,15,0.6306021966923369,12
