,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7871,50,0,23,0.7452657492740815,2
1,7843,78,0,22,0.7426145688675673,3
2,7830,91,0,17,0.7413836636788285,6
3,7811,110,0,23,0.7395846484029793,8
4,7794,127,0,22,0.7379750031561672,8
5,7773,148,0,22,0.7359866178512814,11
6,7656,265,0,16,0.7249084711526322,12
7,7647,274,0,14,0.7240563060219669,15
8,7632,289,0,18,0.7226360308041915,15
9,7417,504,0,26,0.7022787526827421,18
10,7398,522,1,27,0.7005112990783992,20
11,7366,554,1,27,0.6974813786138114,20
12,7349,571,1,27,0.695871733366999,20
13,7334,585,2,20,0.6944830198207297,20
14,7323,596,2,17,0.6934414846610277,20
15,7309,610,2,23,0.6921158944577704,20
16,7278,640,3,22,0.6892122206792072,21
17,7265,653,3,21,0.6879813154904684,22
18,7254,664,3,17,0.6869397803307663,22
19,7230,687,4,25,0.6846989016538315,22
20,7224,693,4,17,0.6841307915667213,22
21,7141,776,4,28,0.6762719353616967,22
22,7104,812,5,25,0.6728001514960232,25
23,7083,833,5,28,0.6708117661911375,25
24,7033,882,6,17,0.6661090771367252,26
25,7024,891,6,22,0.6652569120060599,26
26,7016,899,6,14,0.6644994318899129,26
27,7004,911,6,21,0.6633632117156925,26
28,6994,921,6,23,0.6624163615705088,26
29,2338,5574,9,5130,0.22165761898750158,128
30,2337,5572,12,26,0.22165761898750158,128
31,2338,5566,17,24,0.22191011235955055,129
32,2343,5557,21,16,0.2225097841181669,129
33,2342,5555,24,20,0.2225097841181669,129
34,2337,5559,25,24,0.22206792071708117,129
35,2326,5568,27,20,0.22108950890039136,129
36,2324,5569,28,24,0.22093170054286076,129
37,2326,5565,30,22,0.22118419391490973,129
38,2332,5557,32,10,0.22181542734503218,129
39,2329,5554,38,23,0.2217207423305138,129
40,2332,5549,40,23,0.22206792071708117,129
41,2330,5551,40,27,0.22187855068804443,129
42,2328,5549,44,20,0.22181542734503218,129
43,2226,5649,46,19,0.2122206792071708,129
44,2224,5647,50,20,0.21215755586415858,129
45,2205,5665,51,35,0.21039010225981566,129
46,2204,5665,52,22,0.21032697891680344,129
47,2186,5679,56,30,0.20874889534149726,130
48,2191,5670,60,16,0.20934856710011363,130
49,2195,5662,64,24,0.2098535538442116,130
50,2192,5663,66,25,0.2096326221436687,130
51,2192,5660,69,21,0.20972730715818708,130
52,2190,5661,70,26,0.20956949880065648,130
53,2196,5653,72,21,0.21020073223077892,130
54,2196,5651,74,21,0.21026385557379118,130
55,2194,5651,76,22,0.21013760888776672,131
56,2194,5648,79,18,0.2102322939022851,131
57,2193,5646,82,24,0.21023229390228504,131
58,2189,5649,83,30,0.2098851155157177,131
59,2189,5646,86,24,0.20997980053023607,131
60,2188,5646,87,18,0.20991667718722384,131
61,2189,5639,93,20,0.21020073223077892,131
62,2187,5639,95,19,0.21007448554475444,131
63,2188,5634,99,23,0.21029541724529732,132
64,2175,5646,100,30,0.2090960737280646,132
65,2173,5646,102,21,0.20896982704204015,132
66,2171,5641,109,24,0.2090013887135463,132
67,2173,5637,111,27,0.20925388208559526,132
68,2170,5636,115,18,0.20909607372806463,132
69,2165,5637,119,26,0.2087488953414973,132
70,2168,5634,119,22,0.2090329503850524,132
71,2152,5650,119,29,0.20751799015275846,132
72,2154,5647,120,20,0.20773892185330137,132
73,2146,5652,123,20,0.20707612675167278,132
74,2137,5658,126,27,0.20631864663552582,132
75,2139,5653,129,22,0.20660270167908093,132
76,2135,5654,132,27,0.20631864663552582,132
77,2138,5648,135,21,0.2066973866935993,132
78,2138,5643,140,15,0.2068551950511299,132
79,2142,5636,143,28,0.20732862012372175,132
80,2145,5630,146,12,0.20770736018179523,132
81,2148,5626,147,29,0.20802297689685645,132
82,2146,5622,153,35,0.20802297689685645,132
83,2141,5623,157,31,0.2076757985102891,132
84,2141,5619,161,23,0.2078020451963136,132
85,2085,5668,168,25,0.2027206160838278,132
86,2085,5666,170,28,0.20278373942684005,132
87,2087,5663,171,30,0.20300467112738288,132
88,2089,5656,176,32,0.20335184951395027,132
89,2087,5653,181,27,0.2033202878424441,132
90,2089,5649,183,29,0.20357278121449313,132
91,2089,5647,185,26,0.20363590455750538,132
92,2068,5661,192,21,0.20186845095316247,132
93,2059,5664,198,27,0.20120565585153388,132
94,2062,5659,200,24,0.20155283423810125,132
95,2045,5673,203,27,0.20003787400580733,132
96,2050,5667,204,31,0.20054286074990535,132
97,2054,5663,204,19,0.20092160080797877,132
98,2057,5659,205,17,0.20123721752304,132
99,2053,5662,206,24,0.20089003913647271,132
100,2054,5655,212,33,0.20117409418002774,132
101,2054,5653,214,30,0.20123721752304,132
102,2054,5653,214,24,0.20123721752304,132
103,2035,5665,221,28,0.19965913394773388,132
104,2038,5660,223,28,0.20000631233430125,132
105,2036,5660,225,26,0.19988006564827676,132
106,2039,5653,229,18,0.2002903673778563,132
107,2036,5653,232,20,0.20010099734881961,132
108,2028,5659,234,25,0.19940664057568488,132
109,2017,5664,240,23,0.19855447544501958,132
110,2016,5664,241,23,0.19849135210200733,132
111,2017,5663,241,32,0.1985860371165257,132
112,2021,5658,242,23,0.1989963388461053,132
113,2004,5672,245,24,0.19748137861381138,132
114,2009,5666,246,23,0.19798636535790934,132
115,2003,5669,249,33,0.1975129402853175,132
116,2006,5663,252,26,0.19789168034339097,132
117,2004,5659,258,27,0.19789168034339097,132
118,1996,5664,261,24,0.1972288852417624,133
119,2000,5654,267,31,0.1977969953288726,134
120,1999,5652,270,27,0.19779699532887263,134
121,1997,5652,272,20,0.19767074864284812,134
122,1997,5649,275,24,0.19776543365736649,134
123,1995,5651,275,14,0.19757606362832975,134
124,1996,5644,281,24,0.19786011867188488,134
125,1997,5641,283,27,0.19801792702941545,134
126,2000,5634,287,28,0.19842822875899507,134
127,2000,5633,288,32,0.1984597904305012,134
128,2002,5629,290,17,0.1987122838025502,134
129,1999,5630,292,32,0.19849135210200733,134
130,2001,5627,293,16,0.19871228380255018,134
131,1998,5625,298,25,0.19858603711652567,134
132,1993,5626,302,32,0.19823885872995836,134
133,1991,5625,305,18,0.19814417371543996,134
134,1996,5616,309,20,0.19874384547405632,134
135,1993,5613,315,33,0.19864916045953795,134
136,1983,5620,318,16,0.1977969953288726,134
137,1982,5618,321,20,0.19779699532887265,135
138,1984,5615,322,18,0.19801792702941548,135
139,1987,5609,325,20,0.19839666708748896,135
140,1987,5609,325,19,0.19839666708748896,135
141,1985,5609,327,28,0.1982704204014645,135
142,1986,5607,328,27,0.19839666708748893,135
143,1986,5607,328,18,0.19839666708748893,135
144,1990,5601,330,17,0.1988385304885747,135
145,1989,5599,333,25,0.19883853048857467,135
146,1986,5601,334,23,0.19858603711652567,135
147,1986,5599,336,18,0.19864916045953793,135
148,1990,5594,337,24,0.19905946218911755,135
149,1993,5589,339,22,0.1994066405756849,135
150,1999,5579,343,26,0.20010099734881961,135
151,1998,5577,346,27,0.2001009973488196,135
152,2003,5571,347,22,0.20060598409291755,135
153,2002,5564,355,27,0.2007637924504482,135
154,784,6777,360,4725,0.08559525312460549,181
155,787,6773,361,26,0.08591086983966671,181
156,795,6759,367,37,0.0868577199848504,181
157,800,6752,369,28,0.08739426840045449,181
158,801,6747,373,24,0.08761520010099734,181
