,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7891,30,0,26,0.7471594495644489,6
1,7809,112,0,26,0.7393952783739427,11
2,7736,185,0,27,0.7324832723141017,16
3,7717,204,0,27,0.7306842570382528,20
4,7705,216,0,17,0.7295480368640324,22
5,7627,294,0,17,0.7221626057315995,23
6,7567,354,0,22,0.7164815048604974,25
7,7519,402,0,17,0.7119366241636157,27
8,7492,429,0,18,0.7093801287716197,30
9,7489,432,0,11,0.7090960737280646,30
10,7481,440,0,22,0.7083385936119178,31
11,7475,446,0,13,0.7077704835248075,32
12,7437,483,1,24,0.7042040146446156,33
13,7423,497,1,19,0.7028784244413584,34
14,7412,508,1,21,0.7018368892816563,37
15,7380,540,1,25,0.6988069688170685,38
16,7364,555,2,16,0.6973235702562808,42
17,7351,568,2,22,0.696092665067542,43
18,7040,879,2,23,0.6666456255523293,43
19,6962,957,2,23,0.6592601944198965,43
20,6584,1335,2,410,0.623469258931953,49
21,6577,1340,4,23,0.6228695871733366,49
22,6566,1351,4,16,0.6218280520136346,49
23,6555,1362,4,17,0.6207865168539326,50
24,6536,1380,5,18,0.6190190632495898,50
25,6516,1400,5,23,0.6171253629592224,50
26,6511,1404,6,21,0.6166834995581365,51
27,6457,1458,6,31,0.6115705087741446,51
28,6445,1470,6,20,0.6104342885999242,52
29,6384,1531,6,17,0.6046585027143037,53
30,6378,1537,6,21,0.6040903926271936,54
31,6367,1548,6,22,0.6030488574674915,55
32,6343,1572,6,25,0.6007764171190506,55
33,6329,1586,6,24,0.5994508269157934,59
34,6323,1592,6,21,0.5988827168286832,59
35,6307,1608,6,18,0.5973677565963894,59
36,6185,1730,6,24,0.5858161848251483,61
37,6180,1735,6,20,0.5853427597525566,61
38,6162,1752,7,20,0.583669991162732,61
39,6122,1790,9,18,0.5799457139250095,62
40,6099,1813,9,23,0.577767958591087,62
41,6083,1828,10,17,0.5762845600302992,62
42,5951,1958,12,19,0.5638492614568869,63
43,5946,1963,12,17,0.5633758363842949,64
44,5938,1971,12,15,0.5626183562681479,64
45,5927,1981,13,24,0.5616083827799521,65
46,5861,2045,15,21,0.555422295164752,66
47,5852,2054,15,22,0.5545701300340866,67
48,5830,2076,15,21,0.5524870597146825,69
49,5823,2081,17,17,0.5518873879560662,69
50,5745,2159,17,29,0.5445019568236334,69
51,5734,2168,19,26,0.5435235450069436,69
52,5731,2168,22,21,0.5433341749779067,69
53,5588,2310,23,20,0.5298257795732862,69
54,5500,2396,25,18,0.521556621638682,70
55,5480,2415,26,18,0.5196944830198208,71
56,5477,2418,26,21,0.5194104279762656,72
57,5474,2420,27,18,0.5191579346042167,72
58,5474,2420,27,10,0.5191579346042167,72
59,5469,2424,28,24,0.5187160712031309,72
60,5456,2437,28,26,0.5174851660143921,72
61,5408,2483,30,24,0.5130034086605226,73
62,5351,2540,30,22,0.5076063628329757,73
63,5346,2545,30,23,0.5071329377603838,74
64,5339,2551,31,21,0.5065017043302613,75
65,5338,2552,31,14,0.506407019315743,75
66,5289,2599,33,19,0.5018305769473551,75
67,5291,2596,34,9,0.5020515086478979,75
68,5239,2648,34,22,0.4971278878929428,75
69,5239,2648,34,18,0.4971278878929428,76
70,5232,2655,34,20,0.4964650927913142,76
71,5229,2657,35,16,0.4962125994192652,76
72,5199,2686,36,22,0.4934036106552203,76
73,5198,2685,38,13,0.4933720489837142,76
74,5178,2703,40,18,0.491541472036359,76
75,5175,2705,41,25,0.49128897866431004,76
76,5167,2713,41,23,0.4905314985481631,76
77,5162,2718,41,23,0.4900580734755713,76
78,5090,2786,45,23,0.4833669991162732,78
79,5075,2800,46,17,0.4819782855700038,78
80,5071,2804,46,19,0.4815995455119303,78
81,5052,2822,47,15,0.4798320919075874,78
82,5007,2866,48,15,0.475602827925767,78
83,5007,2864,50,25,0.47566595126877925,78
84,5005,2865,51,14,0.4755081429112486,78
85,4996,2872,53,18,0.4747191011235955,78
86,4983,2885,53,34,0.47348819593485675,78
87,4965,2902,54,19,0.47181542734503223,79
88,4946,2920,55,24,0.4700479737406893,81
89,4935,2930,56,19,0.46903800025249337,81
90,4934,2931,56,22,0.468943315237975,81
91,4930,2934,57,23,0.46859613685140766,81
92,4930,2934,57,17,0.46859613685140766,82
93,4928,2935,58,12,0.468438328493877,82
94,4911,2951,59,16,0.4668602449185709,82
95,4629,3229,63,425,0.44028531751041533,88
96,4614,3243,64,28,0.438896603964146,88
97,4536,3320,65,27,0.4315427345032193,88
98,4537,3319,65,23,0.43163741951773765,88
99,4537,3318,66,15,0.4316689811892438,89
100,4479,3373,69,17,0.4262719353616968,89
101,4474,3377,70,23,0.42583007196061096,90
102,4469,3381,71,25,0.42538820855952536,90
103,4467,3380,74,14,0.42529352354500694,90
104,4409,3438,74,22,0.41980179270294155,90
105,4320,3525,76,17,0.411437949753819,90
106,4309,3535,77,21,0.41042797626562305,90
107,4306,3538,77,24,0.41014392122206794,90
108,4302,3542,77,17,0.40976518116399446,90
109,4210,3631,80,20,0.40114884484282287,90
110,4208,3631,82,12,0.4010225981567983,90
111,4199,3639,83,25,0.40020199469763923,90
112,4169,3667,85,20,0.39742456760510037,90
113,4171,3664,86,18,0.39764549930564325,90
114,4170,3663,88,16,0.3976139376341371,90
115,4159,3672,90,20,0.3966355258174473,90
116,4156,3671,94,20,0.39647771745991667,91
117,4154,3672,95,22,0.39631990910238607,91
118,3994,3832,95,22,0.381170306779447,91
119,3994,3830,97,16,0.38123343012245925,91
120,3950,3872,99,18,0.37713041282666326,92
121,3948,3873,100,16,0.37697260446913267,92
122,3918,3899,104,22,0.37425830071960614,92
123,3883,3934,104,19,0.3709443252114632,92
124,3883,3932,106,19,0.3710074485544754,93
125,3869,3945,107,14,0.3697134200227244,94
126,3871,3940,110,17,0.3699974750662795,94
127,3867,3942,112,22,0.3696818583512183,95
