,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7902,18,1,18,0.7482325463956571,1
1,7885,35,1,20,0.7466229011488448,7
2,7684,236,1,21,0.7275912132306526,12
3,7658,262,1,24,0.7251294028531751,17
4,7584,336,1,21,0.7181227117788158,19
5,7574,346,1,10,0.7171758616336321,21
6,7563,357,1,17,0.7161343264739299,23
7,7144,776,1,22,0.6764613053907335,24
8,6862,1058,1,26,0.6497601312965534,25
9,6769,1151,1,14,0.6409544249463451,27
10,6757,1162,2,18,0.6398497664436309,28
11,6525,1394,2,25,0.6178828430753693,28
12,6385,1534,2,19,0.6046269410427977,30
13,6363,1554,4,20,0.6026069940664057,31
14,6286,1631,4,27,0.5953162479484914,33
15,6240,1677,4,17,0.5909607372806464,35
16,6124,1793,4,21,0.5799772755965155,36
17,6119,1797,5,19,0.5795354121954299,40
18,6103,1812,6,21,0.5780520136346421,43
19,6090,1822,9,15,0.5769157934604217,43
20,5775,2136,10,400,0.5471215755586416,51
21,5774,2137,10,10,0.5470268905441231,51
22,5554,2356,11,22,0.5262277490215882,52
23,5552,2356,13,22,0.5261015023355637,53
24,5486,2421,14,29,0.5198838530488575,53
25,5450,2456,15,24,0.5165067541977023,53
26,5424,2480,17,15,0.514108067163237,53
27,5422,2482,17,19,0.5139186971342002,53
28,5403,2501,17,26,0.5121196818583513,53
29,5354,2549,18,21,0.5075116778184573,54
30,5342,2560,19,14,0.506407019315743,54
31,5283,2618,20,28,0.5008521651306653,54
32,5236,2662,23,20,0.4964966544628204,54
33,5227,2669,25,21,0.49570761267516733,55
34,5169,2723,29,17,0.49034212851912634,55
35,5163,2727,31,17,0.4898371417750284,57
36,5161,2728,32,26,0.48967933341749775,58
37,5107,2779,35,18,0.48466102764802427,58
38,5084,2801,36,21,0.48251483398560785,58
39,5078,2806,37,17,0.4819782855700038,58
40,5061,2820,40,20,0.48046332533770986,58
41,5028,2849,44,17,0.47746496654462817,58
42,5022,2854,45,21,0.4769284181290241,60
43,5018,2857,46,18,0.4765812397424567,61
44,5013,2862,46,17,0.47610781466986496,61
45,5008,2866,47,15,0.4756659512687792,61
46,5004,2866,51,19,0.4754134578967303,62
47,4915,2952,54,15,0.46708117661911375,62
48,4902,2963,56,16,0.4659133947733872,64
49,4899,2966,56,15,0.4656293397298321,64
50,4898,2965,58,21,0.4655977780583259,64
51,4900,2961,60,19,0.46585027143037494,65
52,4867,2992,62,16,0.46278878929428097,65
53,4800,3058,63,19,0.45647645499305645,66
54,4774,3080,67,20,0.4541408913016033,66
55,4752,3102,67,20,0.45205782098219915,66
56,4749,3103,69,21,0.45183688928165633,67
57,4734,3115,72,14,0.45051129907839915,67
58,4734,3115,72,24,0.45051129907839915,67
59,4724,3122,75,19,0.4496591339477339,67
60,4723,3118,80,20,0.44972225729074616,67
61,4720,3119,82,14,0.4495013255902033,68
62,4714,3119,88,21,0.4491225855321298,68
63,4671,3159,91,23,0.4451458149223583,70
64,4470,3358,93,13,0.4261772503471784,70
65,4465,3362,94,18,0.4257353869460926,70
66,4463,3363,95,17,0.4255775785885621,70
67,4463,3362,96,19,0.42560914026006824,71
68,4437,3388,96,19,0.4231473298825906,71
69,4435,3389,97,21,0.42298952152506,71
70,4427,3397,97,20,0.422232041408913,72
71,4424,3399,98,18,0.42197954803686405,72
72,4415,3405,101,22,0.4212220679207171,72
73,4412,3405,104,20,0.42103269789168035,73
74,4411,3405,105,19,0.42096957454866807,73
75,4402,3413,106,18,0.4201489710895089,74
76,4392,3419,110,18,0.4193283676303497,74
77,4376,3435,110,16,0.41781340739805584,74
78,4335,3475,111,14,0.4139628834743087,74
79,4167,3640,114,22,0.3981504860497412,74
80,4164,3641,116,12,0.39792955434919836,74
81,4156,3643,122,25,0.39736144426208814,77
82,4150,3648,123,13,0.396824895846484,77
83,4150,3648,123,18,0.396824895846484,77
84,4146,3652,123,19,0.3964461557884105,77
85,4092,3706,123,19,0.3913331650044186,77
86,4065,3731,125,17,0.3888397929554349,78
87,4068,3728,125,20,0.38912384799899,78
88,4068,3726,127,23,0.38918697134200225,79
89,4054,3738,129,17,0.38792450448175736,79
90,4017,3775,129,20,0.3844211589445777,79
91,4009,3779,133,19,0.38378992551445523,79
92,3997,3789,135,18,0.382716828683247,81
93,3994,3791,136,18,0.38246433531119806,81
94,3986,3798,137,21,0.3817384168665573,81
95,3749,4034,138,382,0.3593296300972099,86
96,3744,4036,141,18,0.35895089003913644,87
97,3741,4039,141,21,0.35866683499558133,87
98,3727,4052,142,26,0.3573728064638303,87
99,3707,4070,144,21,0.3555422295164752,88
100,3684,4092,145,15,0.3533960358540588,88
101,3681,4092,148,24,0.3532066658250221,88
102,3681,4089,151,16,0.35330135083954045,89
103,3680,4088,153,16,0.35326978916803436,90
104,3677,4087,157,15,0.35311198081050377,90
105,3647,4116,158,15,0.3503029920464588,92
106,3649,4110,162,23,0.35061860876152,92
107,3643,4115,163,23,0.35008206034591594,93
108,3644,4113,164,19,0.3502083070319404,94
109,3637,4118,166,18,0.3496086352733241,94
110,3637,4118,166,20,0.3496086352733241,94
111,3617,4137,167,23,0.3477464966544628,94
112,3612,4139,170,19,0.3473677565963893,95
113,3612,4138,171,18,0.34739931826789544,95
114,3605,4139,177,18,0.3469258931953036,96
115,3582,4161,178,22,0.34477969953288723,97
116,3576,4163,182,15,0.3443378361318015,98
117,3553,4185,183,17,0.3421916424693852,98
118,3543,4194,184,21,0.3412763539957076,99
119,3541,4195,185,21,0.341118545638177,100
120,3542,4191,188,21,0.34130791566721375,100
121,3541,4190,190,22,0.34127635399570766,100
122,3542,4186,193,15,0.3414657240247444,100
123,3539,4182,200,22,0.3414026006817321,100
124,3540,4181,200,27,0.34149728569625043,101
125,3544,4177,200,20,0.34187602575432396,101
126,3536,4183,202,11,0.3411816689811893,101
127,3527,4191,203,16,0.34036106552203005,101
128,3485,4232,204,22,0.33641585658376466,101
129,3481,4229,211,27,0.33625804822623406,101
130,3478,4231,212,20,0.33600555485418504,101
131,3434,4275,212,23,0.3318394142153768,101
132,3430,4278,213,18,0.3314922358288095,102
133,3429,4279,213,29,0.3313975508142912,103
134,3428,4278,215,19,0.331365989142785,103
135,3427,4278,216,20,0.33130286579977275,104
136,3416,4289,216,16,0.3302613306400707,104
137,3420,4283,218,18,0.33070319404115645,104
138,3381,4322,218,23,0.32701047847494,104
139,3344,4357,220,19,0.3235702562807727,104
140,3334,4365,222,20,0.32268652947860116,104
141,3328,4371,222,21,0.32211841939149094,104
142,3299,4396,226,21,0.31949880065648284,104
143,3199,4494,228,22,0.31009342254765815,104
144,3198,4490,233,15,0.3101565458906703,104
145,3195,4490,236,19,0.3099671758616336,104
146,3175,4508,238,21,0.30813659891427847,104
147,3176,4505,240,25,0.3082944072718091,105
148,3177,4502,242,16,0.3084522156293397,105
149,3179,4499,243,21,0.3086731473298826,105
150,3178,4499,244,19,0.3086100239868703,105
151,3134,4539,248,27,0.3045701300340866,105
152,3051,4622,248,180,0.296711273829062,106
153,3054,4615,252,18,0.2971215755586416,106
154,3055,4614,252,17,0.29721626057316,106
155,3052,4611,258,26,0.2971215755586416,106
156,3050,4612,259,18,0.29696376720111095,106
157,3050,4610,261,15,0.29702689054412323,106
158,3052,4606,263,14,0.2972793839161722,106
