,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7903,18,0,17,0.7482956697386693,4
1,7888,33,0,21,0.7468753945208938,6
2,7805,116,0,24,0.7390165383158692,8
3,7777,144,0,18,0.7363653579093549,13
4,7638,283,0,20,0.7232041408913017,14
5,7547,374,0,21,0.71458780457013,19
6,7528,393,0,25,0.712788789294281,21
7,7467,454,0,22,0.7070130034086605,25
8,7447,474,0,24,0.7051193031182932,28
9,7437,484,0,16,0.7041724529731095,29
10,7422,498,1,23,0.70278373942684,30
11,7409,511,1,19,0.7015528342381012,33
12,7402,518,1,18,0.7008900391364726,33
13,7214,706,1,16,0.6830892564070193,33
14,7158,762,1,19,0.6777868955939906,34
15,7154,766,1,23,0.6774081555359172,35
16,7148,772,1,15,0.6768400454488069,35
17,7142,778,1,20,0.6762719353616967,35
18,7087,833,1,23,0.6710642595631865,38
19,7082,837,2,18,0.6706223961621008,38
20,6571,1348,2,590,0.6222383537432142,53
21,6542,1376,3,14,0.6195240499936876,54
22,6524,1394,3,25,0.617819719732357,54
23,6493,1425,3,15,0.6148844842822876,55
24,6479,1439,3,24,0.6135588940790304,55
25,6460,1457,4,18,0.6117914404746875,55
26,6446,1471,4,19,0.6104658502714303,55
27,6355,1561,5,21,0.601881075621765,55
28,5881,2035,5,538,0.5570003787400581,64
29,5876,2040,5,20,0.5565269536674662,64
30,5870,2045,6,24,0.555990405251862,64
31,5781,2133,7,19,0.5475950006312335,64
32,5532,2380,9,27,0.5240815553591718,64
33,5527,2385,9,14,0.52360813028658,64
34,5525,2387,9,16,0.5234187602575432,65
35,5484,2427,10,17,0.5195682363337962,65
36,5479,2432,10,21,0.5190948112612044,65
37,5464,2447,10,20,0.5176745360434288,67
38,5459,2451,11,22,0.5172326726423432,67
39,5452,2456,13,17,0.5166330008837268,67
40,5387,2520,14,21,0.5105100366115389,67
41,5378,2528,15,21,0.5096894331523797,67
42,5331,2573,17,20,0.5053023608130287,67
43,5322,2582,17,24,0.5044501956823634,67
44,5312,2591,18,22,0.5035349072086858,68
45,5188,2715,18,26,0.49179396540840803,69
46,4979,2924,18,26,0.472004797374069,69
47,4780,3122,19,26,0.45319404115641965,71
48,4773,3127,21,19,0.4525943693978033,72
49,4768,3132,21,15,0.45212094432521144,72
50,4747,3152,22,17,0.4501641206918319,73
51,4745,3153,23,23,0.4500063123343012,73
52,4721,3174,26,15,0.4478285570003787,74
53,4716,3179,26,27,0.4473551319277869,75
54,4700,3194,27,31,0.4458717333669991,76
55,4696,3196,29,19,0.4455561166519379,77
56,4690,3201,30,29,0.4450195682363338,79
57,4517,3374,30,20,0.42863906072465596,80
58,4503,3387,31,14,0.427345032192905,80
59,4500,3389,32,25,0.42709253882085596,82
60,4449,3438,34,18,0.42232672642343133,82
61,4447,3440,34,19,0.42213735639439465,82
62,4378,3505,38,23,0.41573033707865165,83
63,4379,3502,40,12,0.4158881454361823,83
64,4375,3506,40,21,0.41550940537810876,83
65,4375,3505,41,14,0.4155409670496149,83
66,4347,3532,42,21,0.4129213483146067,84
