,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7902,19,0,17,0.748200984724151,2
1,7882,39,0,24,0.7463072844337836,4
2,7861,60,0,23,0.7443188991288979,5
3,7838,83,0,27,0.7421411437949754,7
4,7823,98,0,19,0.7407208685771998,8
5,7803,118,0,25,0.7388271682868325,9
6,7789,132,0,21,0.7375015780835753,12
7,7772,149,0,21,0.735891932836763,14
8,7711,210,0,27,0.7301161469511426,15
9,7679,242,0,20,0.7270862264865547,16
10,7668,253,0,22,0.7260446913268527,17
11,7652,269,0,22,0.7245297310945588,18
12,7631,290,0,23,0.722541345789673,19
13,7616,305,0,20,0.7211210705718974,21
14,7597,324,0,26,0.7193220552960484,21
15,7583,338,0,21,0.7179964650927914,22
16,7493,427,1,31,0.7095063754576443,22
17,7469,451,1,19,0.7072339351092034,22
18,7447,473,1,20,0.7051508647897993,22
19,7436,484,1,21,0.7041093296300971,22
20,6808,1111,2,600,0.6446787021840676,29
21,6786,1133,2,22,0.6425956318646636,30
22,6706,1213,2,22,0.635020830703194,31
23,6599,1319,3,30,0.6249210958212347,31
24,6555,1363,3,16,0.6207549551824265,31
25,6542,1376,3,28,0.6195240499936876,32
26,6527,1389,5,27,0.6181668981189244,32
27,6518,1398,5,23,0.6173147329882591,32
28,6505,1411,5,26,0.6160838277995203,32
29,6500,1415,6,17,0.6156419643984345,32
30,6432,1483,6,27,0.6092033834111854,32
31,6419,1495,7,25,0.6080040398939528,32
32,6384,1527,10,25,0.6047847494003281,32
33,6372,1539,10,26,0.6036485292261078,32
34,6360,1551,10,25,0.6025123090518874,32
35,6347,1561,13,31,0.6013760888776669,32
36,6338,1568,15,19,0.600587047090014,33
37,6309,1596,16,21,0.5978727433404872,34
38,6127,1777,17,244,0.5806716323696504,36
39,6117,1786,18,26,0.5797563438959727,36
40,6093,1808,20,20,0.5775470268905442,36
41,6065,1836,20,32,0.5748958464840298,36
42,6023,1877,21,25,0.5709506375457645,36
43,6018,1882,21,18,0.5704772124731726,37
44,6010,1890,21,19,0.5697197323570257,37
45,5970,1929,22,23,0.565963893447797,38
46,5963,1935,23,17,0.5653326600176746,38
47,5952,1942,27,26,0.564417371543997,39
48,5948,1941,32,17,0.5641964398434541,39
49,5944,1945,32,21,0.5638176997853807,39
50,5930,1957,34,27,0.5625552329251357,39
51,5927,1960,34,15,0.5622711778815807,39
52,5876,2010,35,22,0.5574738038126499,39
53,5873,2010,38,18,0.5572844337836133,39
54,5864,2019,38,23,0.5564322686529478,39
55,5739,2143,39,73,0.5446282035096579,40
56,5616,2265,40,28,0.5330135083954045,40
57,5610,2269,42,22,0.5325085216513066,40
58,5603,2276,42,28,0.5318457265496781,40
59,5596,2283,42,28,0.5311829314480495,40
60,5588,2291,42,23,0.5304254513319026,40
61,5580,2298,43,18,0.5296995328872617,40
62,5579,2299,43,16,0.5296048478727433,40
63,5573,2303,45,22,0.5290998611286454,40
64,5558,2316,47,25,0.5277427092538822,40
65,5557,2316,48,31,0.5276795859108698,40
66,5552,2319,50,15,0.5272692841812904,40
67,5495,2374,52,16,0.5219353616967554,40
68,5489,2380,52,17,0.5213672516096451,40
69,5484,2383,54,21,0.5209569498800657,40
70,5480,2381,60,25,0.520767579851029,40
71,5475,2385,61,20,0.5203257164499432,40
72,5469,2390,62,29,0.5197891680343392,40
73,5459,2399,63,22,0.5188738795606616,41
74,5456,2400,65,19,0.5186529478601187,41
75,5449,2407,65,27,0.51799015275849,41
76,5390,2464,67,20,0.5124668602449185,41
77,5380,2473,68,29,0.5115515717712409,42
78,5374,2478,69,16,0.5110150233556369,42
79,5371,2480,70,17,0.510762529983588,43
80,5367,2481,73,27,0.5104784749400328,43
81,5357,2489,75,22,0.5095947481378614,43
82,5354,2492,75,23,0.5093106930943063,43
83,5349,2496,76,21,0.5088688296932206,43
84,5340,2504,77,19,0.5080482262340613,43
85,5336,2507,78,21,0.507701047847494,43
86,5321,2521,79,21,0.5063123343012246,43
87,5258,2581,82,17,0.5004418634010858,43
88,5251,2586,84,26,0.49984219164246935,43
89,5247,2590,84,20,0.4994634515843959,43
90,5237,2599,85,28,0.49854816311071837,43
91,5234,2601,86,16,0.4982956697386694,43
92,5222,2611,88,24,0.4972225729074612,43
93,5218,2612,91,25,0.4969385178639061,43
94,5192,2637,92,18,0.4945082691579346,43
