,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7901,20,0,18,0.7481062997096326,5
1,7842,79,0,32,0.7425198838530488,7
2,7814,107,0,19,0.7398687034465345,11
3,7796,125,0,23,0.7381643731852039,15
4,7785,136,0,21,0.7371228380255018,17
5,7773,148,0,20,0.7359866178512814,20
6,7582,339,0,31,0.7179017800782729,26
7,7359,562,0,13,0.6967870218406766,26
8,7349,572,0,22,0.695840171695493,28
9,7249,672,0,20,0.6863716702436561,31
10,7192,729,0,24,0.680974624416109,34
11,7079,842,0,17,0.6702752177755333,35
12,7068,853,0,19,0.6692336826158313,36
13,6650,1270,1,24,0.6296869082186591,37
14,6472,1448,1,19,0.6128329756343895,37
15,6459,1460,2,21,0.611633632117157,40
16,6450,1469,2,17,0.6107814669864916,41
17,6411,1508,2,19,0.6070887514202753,43
18,6392,1526,3,22,0.6053212978159324,43
19,6344,1571,6,20,0.6008711021335691,43
20,5793,2122,6,608,0.5486996591339478,58
21,5785,2130,6,20,0.5479421790178007,58
22,5689,2226,6,25,0.5388524176240373,61
23,5663,2252,6,24,0.5363906072465598,62
24,5595,2319,7,24,0.5299835879308168,62
25,5585,2328,8,13,0.5290682994571393,63
26,5529,2384,8,21,0.5237659386441106,63
27,5520,2389,12,22,0.5230400201994697,64
28,5510,2398,13,24,0.5221247317257922,64
29,5492,2414,15,21,0.5204835248074738,65
30,5358,2548,15,18,0.5077957328620124,67
31,5327,2576,18,24,0.5049551824264613,69
32,5294,2606,21,18,0.5019252619618735,69
33,5260,2639,22,18,0.49873753313975505,70
34,5259,2640,22,10,0.49864284812523674,70
35,5227,2672,22,20,0.49561292766064896,70
36,5214,2685,22,20,0.4943820224719101,71
37,5211,2688,22,19,0.494097967428355,71
38,5202,2695,24,18,0.49330892564070195,71
39,5195,2701,25,18,0.4926776922105795,71
40,5192,2703,26,20,0.4924251988385305,71
41,5193,2700,28,16,0.49258300719606113,71
42,5170,2720,31,15,0.490499936876657,71
43,5167,2721,33,18,0.4902790051761141,72
44,5163,2725,33,18,0.48990026511804063,72
45,5160,2728,33,25,0.4896162100744855,73
46,5072,2816,33,25,0.4812839287968691,74
47,5065,2823,33,20,0.4806211336952405,74
48,5048,2837,36,26,0.4791061734629466,74
49,5042,2842,37,17,0.47856962504734246,75
50,5042,2841,38,13,0.4786011867188486,75
51,5006,2877,38,19,0.4751925261961873,75
52,4976,2905,40,20,0.47241509910364854,75
53,4973,2907,41,22,0.47216260573159957,75
54,4957,2923,41,24,0.4706476454993056,76
55,4887,2992,42,24,0.46405125615452597,78
56,4848,3029,44,22,0.4604216639313218,78
57,4811,3064,46,29,0.4569814417371544,79
58,4654,3220,47,25,0.44214745612927664,79
59,4648,3226,47,18,0.4415793460421664,80
60,4614,3259,48,14,0.43839161722004805,80
61,4588,3284,49,16,0.43596136851407646,80
62,4577,3294,50,14,0.4349513950258806,80
63,4571,3300,50,22,0.4343832849387704,80
64,4522,3347,52,23,0.4298068425703825,81
65,4521,3346,54,19,0.42977528089887646,81
66,4519,3346,56,17,0.4296490342128519,82
67,4517,3347,57,16,0.4294912258553213,82
68,4519,3344,58,14,0.4297121575558641,82
69,4516,3344,61,27,0.4295227875268274,83
70,4514,3344,63,13,0.4293965408408029,83
71,4511,3345,65,16,0.42917560914026004,84
72,4500,3356,65,16,0.428134073980558,84
73,4498,3351,72,18,0.4281656356520641,85
74,4493,3355,73,22,0.42772377225097846,86
75,4371,3476,74,21,0.4162037621512435,87
76,4277,3567,77,19,0.4073980558010352,88
77,4277,3565,79,19,0.40746117914404745,88
78,4273,3568,80,16,0.4071140007574801,88
79,4270,3570,81,21,0.40686150738543114,88
80,4268,3572,81,19,0.4066721373563944,88
81,4264,3574,83,14,0.4063565206413332,89
82,4265,3572,84,18,0.40648276732735766,89
83,4252,3584,85,19,0.405283423810125,89
84,4247,3589,85,21,0.4048099987375331,89
85,4246,3589,86,17,0.4047468753945209,89
86,4244,3590,87,12,0.40458906703699027,90
87,4236,3598,87,27,0.4038315869208434,90
88,4209,3624,88,20,0.4013066532003535,90
89,4206,3626,89,23,0.40105415982830456,90
90,4200,3631,90,17,0.4005176114127005,90
91,4166,3663,92,15,0.39736144426208814,90
92,4167,3659,95,16,0.3975508142911249,91
93,4168,3657,96,9,0.3976770609771494,91
94,4160,3664,97,24,0.3969511425325085,91
95,3630,4192,99,606,0.3468312081807852,95
96,3631,4189,101,14,0.3469890165383159,95
97,3550,4269,102,23,0.3393510920338341,95
98,3547,4271,103,26,0.33909859866178516,96
99,3530,4285,106,14,0.33758363842949124,96
100,3529,4285,107,18,0.337520515086479,97
101,3527,4286,108,22,0.33736270672894836,97
102,3526,4284,111,19,0.33736270672894836,97
103,3523,4284,114,22,0.3371733366999116,99
104,3524,4280,117,20,0.33736270672894836,99
105,3521,4278,122,17,0.3372364600429239,100
106,3522,4274,125,13,0.33742583007196064,100
107,3520,4276,125,19,0.3372364600429239,100
108,3510,4286,125,21,0.3362896098977402,100
109,3514,4280,127,12,0.3367314732988259,100
110,3514,4276,131,18,0.3368577199848504,101
111,3506,4282,133,21,0.3361633632117157,101
112,3500,4287,134,17,0.3356268147961116,101
113,3493,4293,135,22,0.3349955813659891,102
114,3468,4318,135,19,0.3326284560030299,102
115,3443,4339,139,20,0.3303875773260952,102
116,3441,4340,140,23,0.3302297689685646,103
117,3426,4354,141,18,0.3288410554222952,103
118,3424,4356,141,17,0.3286516853932584,103
119,3425,4352,144,22,0.32884105542229514,103
120,3421,4354,146,16,0.32852543870723394,104
121,3405,4366,150,17,0.32713672516096454,105
122,3406,4362,153,27,0.3273260951900013,105
123,3375,4392,154,19,0.32442242141143796,105
124,3372,4393,156,23,0.3242014897108951,105
125,3370,4393,158,17,0.3240752430248706,105
126,3293,4467,161,25,0.3168791819214746,106
127,3297,4459,165,15,0.3173841686655725,106
128,3286,4469,166,22,0.3163741951773766,107
129,3289,4464,168,16,0.3167213735639439,107
