,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7900,21,0,19,0.7480116146951142,0
1,7883,38,0,20,0.746401969448302,4
2,7866,55,0,20,0.7447923242014897,4
3,7839,82,0,16,0.7422358288094938,5
4,7622,299,0,18,0.7216891806590077,8
5,7607,314,0,22,0.7202689054412322,8
6,7259,660,2,26,0.6873816437318521,12
7,7131,788,2,27,0.6752619618735008,12
8,7060,859,2,28,0.6685393258426967,14
9,7046,873,2,26,0.6672137356394395,14
10,7012,907,2,16,0.663994445145815,15
11,6833,1086,2,20,0.647045827547027,15
12,6820,1099,2,24,0.6458149223582881,17
13,6801,1117,3,28,0.6440474687539451,19
14,6794,1122,5,19,0.643447796995329,19
15,6779,1137,5,27,0.6420275217775534,20
16,6764,1152,5,23,0.6406072465597779,20
17,6730,1185,6,29,0.6374195177376594,20
18,6636,1278,7,20,0.6285506880444388,20
19,6625,1289,7,22,0.6275091528847367,20
20,6118,1795,8,623,0.5795354121954299,37
21,6094,1818,9,26,0.5772945335184951,38
22,6087,1824,10,19,0.5766633000883726,38
23,6077,1833,11,20,0.5757480116146951,38
24,6073,1837,11,16,0.5753692715566217,38
25,5989,1920,12,23,0.5674472920085848,39
26,5979,1928,14,28,0.5665635652064134,39
27,5956,1949,16,19,0.564448933215503,40
28,5951,1952,18,20,0.5640386314859236,40
29,5910,1992,19,16,0.5601881075621764,40
30,5906,1994,21,18,0.5598724908471152,40
31,5842,2056,23,25,0.5538757732609519,41
32,5829,2067,25,25,0.5527079914152253,41
33,5823,2073,25,18,0.5521398813281151,41
34,5810,2085,26,24,0.5509405378108825,41
35,5804,2088,29,21,0.5504671127382906,41
36,5794,2097,30,19,0.5495518242646131,41
37,5784,2107,30,27,0.5486049741194294,41
38,5696,2194,31,26,0.540304254513319,41
39,5690,2199,32,29,0.539767706097715,41
40,5681,2208,32,24,0.5389155409670496,42
41,5624,2263,34,20,0.5335816184825148,42
42,5568,2319,34,23,0.5282792576694861,42
43,5551,2335,35,30,0.52670117409418,42
44,5489,2396,36,15,0.5208622648655472,42
45,5464,2419,38,22,0.5185582628456004,42
46,5436,2447,38,25,0.515907082439086,43
47,5431,2452,38,17,0.5154336573664943,43
48,5419,2461,41,22,0.5143921222067922,44
49,5222,2657,42,23,0.49577073601817956,44
50,5220,2658,43,14,0.49561292766064885,44
51,5104,2774,43,27,0.4846294659765181,44
52,5080,2797,44,20,0.4823885872995834,45
53,5036,2840,45,26,0.47825400833228127,46
54,5029,2845,47,22,0.47765433657366496,46
55,5027,2846,48,21,0.4774965282161343,46
56,5020,2853,48,20,0.4768337331145058,46
57,5001,2872,48,29,0.4750347178386568,46
58,4998,2874,49,14,0.4747822244666078,46
59,4994,2878,49,26,0.4744034844085342,46
60,4985,2884,52,28,0.47364600429238723,48
61,4984,2885,52,15,0.4735513192778689,48
62,4976,2891,54,27,0.4728569625047343,49
63,4968,2898,55,27,0.47213104406009343,49
64,4947,2919,55,24,0.47014265875520767,50
65,4922,2943,56,24,0.46780709506375456,50
66,4902,2962,57,21,0.46594495644489337,50
67,4889,2973,59,14,0.46477717459916673,50
68,4878,2982,61,22,0.46379876278247695,50
69,4874,2985,62,18,0.46345158439590967,50
70,4870,2986,65,27,0.46316752935235445,51
71,4855,3001,65,18,0.4617472541345789,51
72,4843,3010,68,20,0.46070571897487694,51
73,4844,3006,71,16,0.4608950890039137,51
74,4836,3010,75,26,0.4602638555737912,51
75,4831,3013,77,30,0.4598535538442116,51
76,4825,3015,81,18,0.4594116904431259,51
77,4769,3071,81,18,0.45410932963009726,51
78,4761,3076,84,26,0.4534465345284686,52
79,4768,3065,88,16,0.45423557631612166,52
80,4738,3094,89,28,0.4514265875520768,53
81,4733,3097,91,26,0.45101628582249714,53
82,4692,3135,94,26,0.4472288852417624,54
83,4686,3137,98,26,0.4467870218406767,54
84,4678,3143,100,21,0.44609266506754197,54
85,4675,3144,102,19,0.4458717333669991,54
86,4671,3145,105,23,0.445587678323444,54
87,4666,3147,108,22,0.4452089382653705,54
88,4653,3158,110,26,0.444041156419644,54
89,4645,3166,110,30,0.4432836763034971,54
90,4642,3168,111,27,0.44303118293144805,54
91,4640,3169,112,26,0.4428733745739174,54
92,4622,3186,113,24,0.4412006059840929,54
93,4614,3190,117,17,0.4405693725539705,54
94,4613,3188,120,22,0.4405693725539704,54
95,4247,3554,120,559,0.4059146572402474,64
96,4245,3551,125,19,0.4058830955687413,64
97,4244,3551,126,23,0.405819972225729,64
98,4244,3548,129,15,0.4059146572402474,65
99,4243,3547,131,25,0.40588309556874136,65
100,4239,3547,135,25,0.4056306021966923,65
101,4232,3554,135,27,0.4049678070950637,65
102,4226,3559,136,31,0.4044312586794596,65
103,4215,3568,138,18,0.4034528468627699,65
104,4212,3569,140,23,0.40323191516222706,65
105,4207,3572,142,25,0.4028216134326474,65
106,4199,3579,143,14,0.4020956949880066,65
107,4198,3575,148,27,0.4021588183310188,65
108,4192,3579,150,32,0.4016538315869208,66
109,4192,3579,150,20,0.4016538315869208,66
110,4194,3571,156,17,0.40203257164499434,66
111,4191,3574,156,19,0.40174851660143923,66
112,4180,3583,158,20,0.4007701047847494,66
113,4185,3578,158,19,0.4012435298573413,66
114,4185,3577,159,25,0.4012750915288474,66
115,4024,3735,162,26,0.38612548920590833,66
116,4021,3738,162,21,0.3858414341623532,66
117,4020,3737,164,26,0.3858098724908471,66
118,4018,3737,166,19,0.3856836258048226,66
119,4001,3753,167,13,0.3841055422295165,66
120,3998,3755,168,27,0.3838530488574675,66
121,3995,3755,171,23,0.3836636788284308,66
122,3989,3759,173,25,0.3831586920843328,66
