,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7907,14,0,11,0.7486744097967428,3
1,7754,167,0,23,0.7341876025754324,11
2,7714,207,0,25,0.7304002019946976,15
3,7700,221,0,21,0.7290746117914405,19
4,7690,231,0,16,0.7281277616462567,21
5,7629,292,0,14,0.7223519757606363,24
6,7361,560,0,25,0.6969763918697134,25
7,7246,675,0,18,0.686087615200101,27
8,7233,685,3,26,0.6849513950258806,30
9,7219,699,3,20,0.6836258048226234,31
10,6855,1063,3,19,0.6491604595379371,34
11,6817,1101,3,16,0.6455624289862391,36
12,6813,1104,4,19,0.6452152505996717,37
13,6788,1129,4,17,0.6428481252367125,39
14,6785,1132,4,15,0.6425640701931574,40
15,6771,1145,5,16,0.6412700416614063,40
16,6766,1149,6,17,0.6408281782603207,40
17,6744,1171,6,21,0.6387451079409165,43
18,6734,1181,6,17,0.6377982577957328,43
19,6704,1211,6,17,0.6349577073601818,43
20,5947,1967,7,613,0.5633127130412826,59
21,5941,1972,8,18,0.5627761646256786,60
22,5882,2030,9,15,0.5572213104406009,60
23,5874,2038,9,22,0.556463830324454,60
24,5777,2135,9,27,0.5472793839161721,61
25,5717,2191,13,22,0.5417245297310945,61
26,5718,2190,13,19,0.5418192147456129,62
27,5711,2197,13,28,0.5411564196439843,62
28,5678,2227,16,22,0.5381264991793965,63
29,5649,2256,16,26,0.5353806337583639,64
30,5645,2260,16,14,0.5350018937002904,64
31,5491,2413,17,16,0.5204519631359678,64
32,5437,2466,18,22,0.515370534023482,65
33,5435,2466,20,13,0.5152442873374574,66
34,5367,2534,20,20,0.5088057063502084,66
35,5357,2543,21,24,0.5078904178765308,67
36,5302,2596,23,15,0.5027458654210327,67
37,5290,2608,23,24,0.5016096452468123,68
38,5241,2655,25,23,0.49703320287842445,69
39,5235,2661,25,22,0.49646509279131423,69
40,5227,2669,25,22,0.49570761267516733,70
41,5213,2683,25,23,0.49438202247191015,70
42,5207,2685,29,21,0.4939401590708244,70
43,5160,2732,29,17,0.489489963388461,70
44,5117,2773,31,24,0.48548163110718345,70
45,5115,2773,33,12,0.4853553844211589,71
46,5099,2787,35,24,0.48390354753187725,72
47,5070,2814,37,23,0.4812208054538568,72
48,4952,2932,37,15,0.4700479737406893,72
49,4945,2939,37,20,0.4693851786390607,72
50,4936,2946,39,16,0.46859613685140766,72
51,4932,2950,39,20,0.4682173967933342,73
52,4914,2967,40,20,0.46654462820350967,73
53,4850,3031,40,23,0.46048478727433406,75
54,4826,3054,41,24,0.45824390859739933,75
55,4790,3089,42,20,0.45486680974624416,75
56,4762,3116,43,19,0.4522471910112359,75
57,4714,3162,45,25,0.44776543365736654,76
58,4709,3164,48,15,0.447386693599293,77
59,4702,3171,48,18,0.4467238984976645,77
60,4703,3170,48,19,0.4468185835121828,78
61,4700,3170,51,19,0.44662921348314605,78
62,4650,3219,52,14,0.4419265244287337,78
63,4637,3229,55,17,0.44079030425451327,78
64,4547,3317,57,16,0.4323317762908724,79
65,4535,3329,57,22,0.43119555611665195,79
66,4532,3327,62,17,0.43106930943062743,80
67,4513,3344,64,16,0.42933341749779064,80
68,4511,3346,64,16,0.4291440474687539,80
69,4500,3354,67,24,0.42819719732357026,80
70,4412,3440,69,22,0.41992803938896606,81
71,4410,3441,70,15,0.4197702310314354,82
72,4401,3450,70,14,0.4189180659007701,82
73,4398,3452,71,21,0.4186655725287211,83
74,4397,3451,73,15,0.418634010857215,83
75,4396,3447,78,19,0.41869713420022725,83
76,4388,3455,78,25,0.41793965408408035,84
77,4369,3474,78,21,0.41614063880823127,84
78,4368,3472,81,24,0.41614063880823127,84
79,4346,3492,83,20,0.4141206918318394,84
80,4345,3492,84,19,0.41405756848882724,85
81,4335,3501,85,17,0.4131422800151495,86
82,4339,3494,88,12,0.4136157050877415,86
83,4314,3519,88,18,0.41124857972478224,86
84,4276,3556,89,22,0.40768211084459033,86
85,4257,3575,89,14,0.4058830955687413,88
86,4256,3576,89,20,0.40578841055422293,88
87,4248,3582,91,13,0.4050940537810882,88
88,4246,3584,91,14,0.4049046837520515,88
89,4218,3609,94,18,0.4023481883600556,88
90,4218,3609,94,20,0.4023481883600556,89
91,4203,3623,95,22,0.4009594748137862,89
92,4193,3632,96,15,0.40004418634010863,89
93,4192,3629,100,19,0.40007574801161466,89
94,4182,3637,102,21,0.39919202120944325,90
95,4119,3699,103,20,0.39325842696629215,90
96,4113,3705,103,16,0.39269031687918193,90
97,4102,3714,105,16,0.39171190506249204,90
98,4103,3712,106,15,0.39183815174851666,90
99,4103,3711,107,13,0.3918697134200228,90
100,4101,3711,109,23,0.39174346673399824,90
101,4083,3729,109,21,0.3900391364726676,91
102,4063,3744,114,19,0.38830324453983084,91
103,4061,3745,115,18,0.38814543618230024,91
104,4063,3741,117,15,0.3883979295543492,91
105,3737,4066,118,577,0.3575621764928671,99
106,3738,4064,119,22,0.35768842317889155,99
107,3739,4063,119,17,0.3577831081934099,99
108,3739,4061,121,15,0.35784623153642214,99
109,3715,4083,123,23,0.3556369145309935,99
110,3711,4085,125,15,0.35532129781593236,99
111,3705,4090,126,22,0.3547847494003282,99
112,3705,4086,130,15,0.35491099608635274,101
113,3667,4123,131,22,0.35134452720616083,102
114,3646,4144,131,16,0.3493561419012751,103
115,3626,4160,135,20,0.3475886882969322,104
116,3626,4158,137,23,0.34765181163994446,104
117,3625,4156,140,17,0.34765181163994446,104
118,3624,4155,142,22,0.3476202499684383,104
119,3608,4170,143,14,0.34613685140765055,104
