,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7877,44,0,19,0.7458338593611917,3
1,7858,63,0,18,0.7440348440853428,10
2,7816,105,0,18,0.7400580734755713,12
3,7760,161,0,21,0.7347557126625426,18
4,7751,170,0,14,0.7339035475318773,19
5,7574,347,0,24,0.717144299962126,20
6,7285,636,0,19,0.6897803307663174,22
7,7262,659,0,16,0.6876025754323949,24
8,7230,691,0,14,0.6845726549678071,25
9,7165,753,3,13,0.6785128140386315,26
10,7161,757,3,11,0.678134073980558,27
11,7139,779,3,16,0.6760510036611539,28
12,7110,807,4,17,0.6733366999116273,29
13,7089,828,4,18,0.6713483146067415,31
14,7084,832,5,11,0.670906451205656,33
15,7079,837,5,14,0.670433026133064,33
16,7011,905,5,15,0.663994445145815,34
17,6930,986,5,16,0.6563249589698271,35
18,6924,992,5,20,0.6557568488827169,36
19,6905,1011,5,17,0.6539578336068679,37
20,6815,1101,5,55,0.6454361823002147,39
21,6766,1150,5,24,0.6407966165888146,40
22,6762,1154,5,18,0.6404178765307411,40
23,6758,1156,7,11,0.6401022598156798,41
24,6750,1164,7,15,0.6393447796995329,41
25,6624,1290,7,14,0.6274144678702184,41
26,6621,1292,8,11,0.6271619744981695,42
27,6551,1361,9,13,0.6205655851533897,42
28,6547,1364,10,12,0.6202184067668223,44
29,6540,1370,11,12,0.6195871733367,45
30,6532,1378,11,15,0.618829693220553,46
31,6532,1378,11,19,0.618829693220553,46
32,6298,1611,12,17,0.5967049614947608,46
33,6277,1631,13,17,0.5947481378613811,46
34,6260,1648,13,20,0.5931384926145689,48
35,6228,1679,14,20,0.5901401338214872,49
36,6219,1688,14,14,0.5892879686908219,53
37,6215,1691,15,12,0.5889407903042545,54
38,6164,1741,16,24,0.5841434162353237,55
39,6152,1752,17,15,0.5830387577326095,56
40,6146,1758,17,19,0.5824706476454994,57
41,6143,1761,17,19,0.5821865926019443,58
42,6005,1899,17,18,0.5691200605984094,58
43,6004,1900,17,17,0.569025375583891,58
44,5922,1982,17,21,0.5612612043933847,58
45,5884,2020,17,18,0.5576631738416867,59
46,5884,2018,19,10,0.5577262971846989,59
47,5884,2018,19,17,0.5577262971846989,59
48,5885,2017,19,16,0.5578209821992173,59
49,5791,2107,23,18,0.5490468375205151,59
50,5790,2108,23,19,0.5489521525059968,60
51,5760,2137,24,12,0.5461431637419518,60
52,5758,2138,25,11,0.5459853553844212,60
53,5750,2145,26,14,0.5452594369397804,61
54,5752,2143,26,13,0.5454488069688171,61
55,5736,2159,26,16,0.5439338467365232,62
56,5735,2159,27,15,0.543870723393511,63
57,5733,2161,27,18,0.5436813533644742,64
58,5703,2191,27,23,0.5408408029289231,65
59,5679,2214,28,14,0.5385999242519884,65
60,5680,2213,28,10,0.5386946092665067,65
61,5602,2289,30,14,0.5313723014770863,66
62,5602,2289,30,11,0.5313723014770863,67
63,5524,2365,32,14,0.5240499936876658,67
64,5525,2364,32,13,0.5241446787021841,67
65,5520,2368,33,18,0.5237028153010983,69
66,5520,2368,33,18,0.5237028153010983,69
67,5450,2436,35,16,0.5171379876278248,69
68,5451,2434,36,15,0.5172642343138493,69
69,5447,2438,36,19,0.5168854942557758,69
70,5439,2444,38,19,0.5161911374826411,69
71,5377,2506,38,19,0.5103206665825023,69
72,5332,2550,39,12,0.5060914026006818,69
73,5274,2608,39,16,0.5005996717586163,69
74,5271,2609,41,16,0.5003787400580735,71
75,5273,2607,41,13,0.5005681100871103,71
76,5227,2653,41,12,0.49621259941926527,71
77,5228,2652,41,16,0.49630728443378364,71
78,5224,2654,43,21,0.4959916677187224,71
79,5222,2655,44,17,0.4958338593611918,73
80,5111,2766,44,15,0.4853238227496528,73
81,5112,2762,47,13,0.4855131927786896,73
82,5110,2763,48,22,0.485355384421159,73
83,5113,2758,50,13,0.48570256280772633,73
84,5111,2758,52,16,0.48557631612170177,74
85,5111,2757,53,11,0.4856078777932079,74
86,5108,2760,53,21,0.4853238227496528,74
87,5098,2770,53,14,0.48437697260446916,74
88,5084,2780,57,15,0.48317762908723644,74
89,5085,2778,58,16,0.48330387577326095,74
90,5069,2794,58,21,0.48178891554096703,74
91,5070,2792,59,21,0.48191516222699154,75
92,5062,2800,59,17,0.4811576821108446,75
93,5060,2801,60,21,0.480999873753314,76
94,5061,2800,60,13,0.48109455876783236,76
95,5024,2837,60,15,0.4775912132306527,76
96,5025,2833,63,13,0.4777805832596894,76
97,5023,2835,63,16,0.47759121323065273,77
98,4935,2921,65,20,0.4693220552960485,77
99,4896,2957,68,7,0.4657240247443505,77
100,4888,2965,68,15,0.46496654462820347,77
101,4887,2965,69,20,0.4649034212851913,77
102,4880,2971,70,15,0.46427218785506885,78
103,4821,3030,70,18,0.458685771998485,78
104,4813,3036,72,21,0.45799141522535036,79
105,4813,3034,74,16,0.4580545385683626,80
106,4813,3032,76,14,0.4581176619113748,80
107,4704,3141,76,181,0.4477969953288726,88
108,4683,3160,78,62,0.44587173336699915,89
109,4678,3164,79,26,0.4454298699659134,90
110,4677,3163,81,13,0.4453983082944073,91
111,4678,3161,82,14,0.44552455498043175,91
112,4664,3174,83,14,0.4442305264486807,91
113,4636,3200,85,14,0.44164246938517865,91
114,4637,3197,87,9,0.44180027774270925,91
115,4637,3195,89,11,0.4418634010857215,91
116,4638,3194,89,12,0.44195808610023984,91
117,4640,3189,92,12,0.44224214114379495,91
118,4620,3204,97,17,0.44050624921095827,91
119,4616,3208,97,20,0.4401275091528847,93
120,4619,3204,98,13,0.44044312586794593,93
121,4613,3207,101,17,0.4399697007953541,93
122,4606,3213,102,15,0.43933846736523163,93
123,4606,3213,102,10,0.43933846736523163,93
124,4585,3232,104,21,0.43741320540335815,93
125,4584,3232,105,15,0.4373500820603459,94
126,4587,3227,107,13,0.4376972604469133,94
127,4582,3230,109,10,0.43728695871733364,94
128,4582,3228,111,10,0.43735008206034587,94
129,4579,3228,114,14,0.43716071203130913,94
130,4572,3235,114,12,0.4364979169296806,94
131,4563,3242,116,18,0.43570887514202755,94
