,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7822,99,0,16,0.7406261835626815,5
1,7751,170,0,13,0.7339035475318773,7
2,7666,255,0,19,0.7258553212978159,11
3,7655,266,0,15,0.7248137861381139,12
4,7638,283,0,13,0.7232041408913017,12
5,7612,309,0,15,0.720742330513824,20
6,7576,345,0,10,0.7173336699911628,20
7,7569,352,0,13,0.7166708748895341,25
8,7493,428,0,12,0.7094748137861382,27
9,7435,486,0,14,0.7039830829440727,30
10,7408,513,0,18,0.7014265875520768,34
11,7272,649,0,20,0.6885494255775786,35
12,7254,666,1,18,0.686876656987754,35
13,7095,825,1,18,0.6718217396793333,39
14,7084,836,1,14,0.6707802045196314,39
15,7082,838,1,13,0.6705908344905946,39
16,7074,846,1,15,0.6698333543744476,41
17,7066,854,1,13,0.6690758742583007,42
18,7047,873,1,11,0.6672768589824517,42
19,7043,877,1,17,0.6668981189243781,43
20,6996,923,2,59,0.662479484913521,45
21,6973,946,2,24,0.6603017295795987,46
22,6921,998,2,21,0.6553781088246434,47
23,6914,1005,2,15,0.6547153137230148,47
24,6850,1069,2,17,0.6486554727938392,49
25,6837,1082,2,15,0.6474245676051004,49
26,6834,1084,3,14,0.6471720742330515,49
27,6832,1086,3,15,0.6469827042040146,50
28,6752,1165,4,15,0.6394394647140512,51
29,6613,1303,5,16,0.6263098093675041,51
30,6571,1345,5,17,0.6223330387577326,52
31,6564,1351,6,22,0.6217018053276102,54
32,6557,1357,7,16,0.6210705718974876,56
33,6549,1364,8,20,0.620344653452847,58
34,6398,1515,8,19,0.6060472162605732,59
35,6397,1512,12,12,0.6060787779320793,59
36,6394,1513,14,12,0.6058578462315365,62
37,6391,1515,15,13,0.6056053528594875,62
38,6290,1614,17,17,0.5961052897361445,62
39,6255,1646,20,15,0.59288599924252,62
40,6191,1709,21,20,0.5868577199848504,63
41,6188,1712,21,11,0.5865736649412953,63
42,6169,1731,21,15,0.5847746496654463,63
43,6106,1793,22,18,0.5788410554222951,65
44,6110,1788,23,9,0.5792513571518748,65
45,6104,1793,24,12,0.5787148087362707,65
46,6075,1820,26,22,0.5760320666582502,66
47,6075,1820,26,14,0.5760320666582502,66
48,6071,1822,28,14,0.5757164499431889,67
49,6059,1834,28,22,0.5745802297689685,68
50,5833,2059,29,12,0.5532129781593234,68
51,5832,2059,30,12,0.5531498548163111,68
52,5802,2089,30,13,0.55030930438076,68
53,5606,2284,31,10,0.5317826032066658,69
54,5606,2284,31,11,0.5317826032066658,69
55,5568,2320,33,17,0.52824769599798,69
56,5505,2382,34,18,0.5223141017548288,70
57,5504,2380,37,19,0.522314101754829,70
58,5464,2419,38,12,0.5185582628456004,70
59,5435,2448,38,19,0.5158123974245676,71
60,5367,2513,41,12,0.509468501451837,71
61,5368,2512,41,12,0.5095631864663552,71
62,5316,2564,41,14,0.5046395657114001,71
63,5300,2579,42,10,0.5031561671506123,72
64,5295,2583,43,11,0.5027143037495265,72
65,5286,2590,45,16,0.5019252619618736,72
66,5286,2590,45,20,0.5019252619618736,72
67,5268,2608,45,22,0.5002209317005428,72
68,5226,2646,49,19,0.4963704077767958,72
69,5216,2653,52,17,0.49551824264613054,73
70,5167,2700,54,17,0.4909418002777427,73
71,5160,2707,54,15,0.4902790051761141,74
72,5158,2708,55,19,0.49012119681858346,74
73,5133,2732,56,21,0.48778563312713036,74
74,5087,2778,56,19,0.4834301224592854,74
75,5085,2779,57,20,0.48327231410175486,75
76,5073,2790,58,17,0.4821676555990405,75
77,5074,2789,58,15,0.4822623406135589,75
78,5066,2797,58,17,0.4815048604974119,76
79,5042,2820,59,18,0.4792639818204772,77
80,5040,2821,60,15,0.4791061734629466,77
81,5021,2839,61,13,0.47733871985860366,77
82,5021,2838,62,19,0.4773702815301098,77
83,5016,2842,63,15,0.4769284181290241,77
84,5010,2846,65,13,0.4764234313849262,77
85,5010,2845,66,14,0.47645499305643235,77
86,5010,2845,66,13,0.47645499305643235,77
87,5010,2845,66,15,0.47645499305643235,77
88,4997,2857,67,10,0.4752556495391995,77
89,4997,2855,69,13,0.4753187728822118,77
90,4996,2856,69,15,0.4752240878676935,77
91,4992,2857,72,14,0.47494003282413844,77
92,4990,2856,75,14,0.47484534780962,78
93,4987,2856,78,14,0.47465597778058327,78
94,4989,2852,80,10,0.4749084711526323,78
95,4980,2860,81,16,0.4740878676934731,79
96,4964,2875,82,14,0.4726044691326853,81
97,4933,2903,85,18,0.4697639186971342,82
98,4884,2951,86,19,0.46515591465724027,82
99,4838,2997,86,13,0.4608004039893953,82
100,4837,2998,86,11,0.46070571897487694,82
101,4837,2996,88,18,0.46076884231788917,82
102,4829,3001,91,18,0.4601060472162606,83
103,4811,3018,92,15,0.45843327862643607,83
104,4805,3022,94,14,0.4579282918823381,83
105,4804,3020,97,16,0.4579282918823381,83
106,4786,3037,98,13,0.45625552329251357,83
107,4637,3184,100,172,0.4422105794722888,89
108,4611,3208,102,68,0.43981189243782354,90
