,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7908,13,0,12,0.7487690948112612,0
1,7899,22,0,13,0.7479169296805959,1
2,7887,34,0,15,0.7467807095063754,2
3,7884,37,0,7,0.7464966544628203,2
4,7876,45,0,11,0.7457391743466734,2
5,7870,51,0,9,0.7451710642595633,2
6,7862,59,0,12,0.7444135841434163,3
7,7855,66,0,11,0.7437507890417877,3
8,7847,74,0,13,0.7429933089256406,3
9,7840,81,0,11,0.7423305138240122,3
10,7836,85,0,8,0.7419517737659387,4
11,7831,90,0,9,0.7414783486933468,4
12,7821,100,0,13,0.7405314985481631,4
13,7811,110,0,15,0.7395846484029793,4
14,7806,115,0,9,0.7391112233303876,5
15,7790,131,0,10,0.7375962630980937,7
16,7769,152,0,13,0.7356078777932079,7
17,7766,155,0,7,0.7353238227496528,7
18,7761,160,0,11,0.734850397677061,7
19,7748,173,0,9,0.7336194924883221,8
20,7603,318,0,156,0.7198901653831586,14
21,7563,358,0,47,0.7161027648024239,15
22,7547,374,0,15,0.71458780457013,15
23,7540,380,1,12,0.7139565711400075,16
24,7534,386,1,9,0.7133884610528973,16
25,7503,416,2,9,0.7104847872743341,16
26,7501,418,2,9,0.7102954172452973,16
27,7494,425,2,11,0.7096326221436687,16
28,7488,431,2,12,0.7090645120565585,17
29,7488,431,2,5,0.7090645120565585,17
30,7482,437,2,14,0.7084964019694483,17
31,7474,444,3,15,0.7077704835248075,18
32,7466,452,3,15,0.7070130034086605,19
33,7459,459,3,13,0.706350208307032,20
34,7455,463,3,7,0.7059714682489584,20
35,7451,467,3,9,0.705592728190885,21
36,7448,470,3,10,0.7053086731473298,21
37,7440,478,3,14,0.704551193031183,22
38,7430,488,3,17,0.7036043428859992,25
39,7428,490,3,6,0.7034149728569625,25
40,7355,563,3,19,0.6965029667971215,26
41,7348,570,3,11,0.6958401716954931,26
42,7343,575,3,9,0.6953667466229011,27
43,7336,582,3,11,0.6947039515212726,27
44,7323,595,3,18,0.6934730463325338,28
45,7321,597,3,10,0.693283676303497,28
46,7318,600,3,9,0.692999621259942,29
47,7315,603,3,9,0.6927155662163867,29
48,7309,609,3,14,0.6921474561292765,30
49,7307,611,3,5,0.6919580861002399,30
50,7299,619,3,13,0.6912006059840929,31
51,7293,625,3,14,0.6906324958969827,32
52,7287,630,4,13,0.6900959474813786,32
53,7287,630,4,9,0.6900959474813786,33
54,7283,634,4,12,0.6897172074233051,35
55,7279,638,4,10,0.6893384673652316,35
56,7277,640,4,10,0.6891490973361949,35
57,7278,639,4,8,0.6892437823507133,35
58,7272,645,4,14,0.688675672263603,36
59,7268,649,4,10,0.6882969322055296,36
60,7262,655,4,13,0.6877288221184193,36
61,7225,692,4,12,0.6842254765812397,36
62,7222,693,6,11,0.6840045448806968,36
63,7218,697,6,13,0.6836258048226234,36
64,7212,703,6,14,0.6830576947355131,36
65,7208,707,6,13,0.6826789546774398,36
66,7201,714,6,13,0.6820161595758111,37
67,7197,718,6,12,0.6816374195177377,37
68,7192,722,7,12,0.6811955561166518,37
69,7111,802,8,9,0.6735576316121702,37
70,7100,813,8,8,0.6725160964524682,37
71,7098,815,8,8,0.6723267264234314,37
72,7097,816,8,8,0.672232041408913,37
73,6977,935,9,8,0.6609014013382148,38
74,6974,936,11,8,0.660680469637672,40
75,6970,940,11,10,0.6603017295795985,40
76,6964,946,11,10,0.6597336194924883,40
77,6961,947,13,13,0.6595126877919455,40
78,6628,1280,13,11,0.6279825779573286,40
