,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7914,7,0,5,0.7493372048983714,0
1,7913,8,0,4,0.749242519883853,0
2,7911,10,0,5,0.7490531498548163,0
3,7908,13,0,6,0.7487690948112612,0
4,7905,16,0,6,0.7484850397677061,0
5,7902,19,0,7,0.748200984724151,0
6,7899,22,0,7,0.7479169296805959,0
7,7898,23,0,5,0.7478222446660776,0
8,7896,25,0,6,0.7476328746370408,0
9,7895,26,0,5,0.7475381896225224,0
10,7891,30,0,7,0.7471594495644489,0
11,7888,33,0,8,0.7468753945208938,0
12,7885,36,0,6,0.7465913394773387,0
13,7885,36,0,4,0.7465913394773387,0
14,7885,36,0,3,0.7465913394773387,0
15,7884,37,0,5,0.7464966544628203,0
16,7884,37,0,3,0.7464966544628203,0
17,7882,39,0,6,0.7463072844337836,0
18,7881,40,0,6,0.7462125994192652,0
19,7881,40,0,3,0.7462125994192652,0
20,7860,61,0,25,0.7442242141143794,0
21,7855,66,0,8,0.7437507890417877,0
22,7855,66,0,4,0.7437507890417877,0
23,7853,68,0,5,0.7435614190127509,0
24,7853,68,0,3,0.7435614190127509,0
25,7852,69,0,4,0.7434667339982326,0
26,7850,71,0,5,0.7432773639691959,0
27,7847,74,0,6,0.7429933089256406,0
28,7847,74,0,3,0.7429933089256406,0
29,7846,75,0,4,0.7428986239111224,0
30,7845,76,0,4,0.7428039388966039,0
31,7844,77,0,5,0.7427092538820856,0
32,7843,78,0,4,0.7426145688675673,0
33,7841,80,0,6,0.7424251988385304,0
34,7839,82,0,5,0.7422358288094938,0
35,7839,82,0,4,0.7422358288094938,0
36,7839,82,0,4,0.7422358288094938,0
37,7838,83,0,4,0.7421411437949754,0
38,7837,84,0,4,0.742046458780457,0
39,7835,86,0,5,0.7418570887514202,0
40,7832,89,0,7,0.7415730337078652,0
41,7831,90,0,4,0.7414783486933468,0
42,7831,90,0,3,0.7414783486933468,0
43,7828,93,0,6,0.7411942936497917,0
44,7827,94,0,4,0.7410996086352734,0
45,7824,97,0,7,0.7408155535917182,0
46,7822,99,0,5,0.7406261835626815,0
47,7821,100,0,4,0.7405314985481631,0
48,7819,102,0,5,0.7403421285191264,0
49,7820,101,0,3,0.7404368135336448,0
50,7818,103,0,6,0.740247443504608,0
51,7818,103,0,4,0.740247443504608,0
52,7818,103,0,6,0.740247443504608,0
53,7818,103,0,4,0.740247443504608,0
54,7816,105,0,5,0.7400580734755713,0
55,7816,105,0,3,0.7400580734755713,0
56,7814,107,0,6,0.7398687034465345,0
57,7812,109,0,6,0.7396793334174978,0
58,7812,109,0,3,0.7396793334174978,0
59,7812,109,0,3,0.7396793334174978,0
60,7810,110,1,6,0.7395215250599672,0
61,7808,112,1,7,0.7393321550309304,0
62,7806,114,1,5,0.7391427850018937,0
63,7806,114,1,3,0.7391427850018937,0
64,7806,114,1,5,0.7391427850018937,0
65,7806,114,1,3,0.7391427850018937,0
66,7803,117,1,6,0.7388587299583386,0
67,7799,121,1,7,0.7384799899002651,0
68,7797,123,1,5,0.7382906198712283,0
69,7796,124,1,4,0.73819593485671,0
70,7795,125,1,5,0.7381012498421916,0
71,7795,125,1,5,0.7381012498421916,0
72,7794,126,1,5,0.7380065648276732,0
73,7793,127,1,4,0.7379118798131549,0
74,7791,129,1,6,0.7377225097841181,0
75,7789,131,1,5,0.7375331397550814,0
76,7788,132,1,4,0.737438454740563,0
77,7785,135,1,8,0.7371543996970079,0
78,7784,136,1,4,0.7370597146824895,0
79,7784,136,1,4,0.7370597146824895,0
80,7781,139,1,7,0.7367756596389344,0
81,7781,139,1,4,0.7367756596389344,0
82,7778,142,1,7,0.7364916045953793,0
83,7778,142,1,3,0.7364916045953793,0
84,7778,142,1,3,0.7364916045953793,0
85,7776,144,1,6,0.7363022345663426,0
86,7776,144,1,3,0.7363022345663426,0
87,7775,145,1,8,0.7362075495518242,0
88,7773,147,1,5,0.7360181795227875,0
89,7772,148,1,5,0.7359234945082691,0
90,7771,149,1,4,0.7358288094937508,0
