,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7798,123,0,23,0.7383537432142406,5
1,7773,148,0,20,0.7359866178512814,8
2,7367,553,1,17,0.6975760636283297,8
3,7356,564,1,13,0.6965345284686276,13
4,7322,598,1,22,0.693315237975003,16
5,7241,679,1,19,0.6856457517990152,19
6,7228,692,1,18,0.6844148466102764,19
7,7146,774,1,22,0.6766506754197702,22
8,7136,784,1,16,0.6757038252745865,23
9,7128,791,2,20,0.6749779068299457,24
10,7054,864,3,20,0.6680027774270926,24
11,6939,979,3,26,0.6571140007574802,26
12,6923,995,3,21,0.6555990405251862,26
13,6911,1005,5,25,0.6545259436939781,27
14,6904,1012,5,18,0.6538631485923494,27
15,6887,1028,6,15,0.6522850650170433,27
16,6879,1035,7,14,0.6515591465724024,28
17,6696,1218,7,21,0.6342317889155409,28
18,6677,1237,7,19,0.632432773639692,29
19,6624,1290,7,21,0.6274144678702184,29
20,5924,1986,11,626,0.5612612043933847,42
21,5892,2017,12,22,0.558262845600303,44
22,5808,2100,13,23,0.5503408660522661,47
23,5790,2115,16,18,0.5487312208054539,47
24,5741,2163,17,13,0.54412321676556,47
25,5656,2248,17,18,0.5360749905314985,49
26,5646,2258,17,19,0.5351281403863148,50
27,5641,2262,18,20,0.5346862769852291,51
28,5633,2268,20,24,0.5339919202120945,52
29,5632,2267,22,12,0.5339603585405883,53
30,5627,2270,24,14,0.5335500568110088,54
31,5599,2296,26,17,0.5309619997475067,54
32,5591,2302,28,17,0.5302676429743719,55
33,5574,2318,29,21,0.5286895593990658,56
34,5570,2321,30,16,0.5283423810124984,56
35,5567,2322,32,16,0.5281214493119556,56
36,5505,2384,32,21,0.5222509784118167,56
37,5500,2388,33,21,0.521809115010731,57
38,5497,2391,33,11,0.5215250599671759,57
39,5460,2427,34,20,0.5180532761015023,60
40,5453,2433,35,23,0.5174220426713799,60
41,5446,2440,35,20,0.5167592475697513,60
42,5443,2443,35,22,0.5164751925261962,60
43,5419,2466,36,26,0.5142343138492615,60
44,5414,2469,38,18,0.5138240121196819,60
45,5354,2526,41,24,0.5082375962630982,61
46,5326,2553,42,31,0.5056179775280899,61
47,5321,2557,43,20,0.5051761141270041,63
48,5313,2564,44,22,0.5044501956823634,63
49,5297,2577,47,19,0.5030299204645878,64
50,5295,2578,48,16,0.5028721121070572,64
51,5219,2653,49,16,0.4957076126751673,64
52,5215,2657,49,20,0.4953288726170938,67
53,5193,2679,49,18,0.49324580229768966,68
54,5189,2683,49,12,0.4928670622396162,68
55,5137,2734,50,18,0.4879750031561672,69
56,5115,2754,52,20,0.4859550561797752,69
57,5116,2752,53,18,0.4860813028657998,69
58,5085,2781,55,26,0.4832091907587426,69
59,5084,2781,56,14,0.4831460674157303,72
60,5079,2785,57,14,0.48270420401464464,72
61,5057,2806,58,22,0.4806526953667466,72
62,4946,2914,61,18,0.47023734376972603,72
63,4944,2912,65,19,0.4701742204267138,72
64,4927,2925,69,23,0.46869082186592603,73
65,4919,2932,70,21,0.46796490342128516,73
66,4920,2929,72,24,0.4681227117788158,75
67,4837,3012,72,12,0.46026385557379124,75
68,4820,3028,73,19,0.45868577199848504,75
69,4729,3116,76,22,0.45016412069183187,75
70,4499,3346,76,16,0.42838656735260694,76
71,4494,3349,78,21,0.42797626562302743,76
72,4494,3348,79,26,0.4280078272945335,76
73,4435,3405,81,26,0.42248453478096204,76
