,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7894,27,0,20,0.747443504608004,5
1,7859,62,0,31,0.7441295290998611,11
2,7842,79,0,21,0.7425198838530488,13
3,7785,136,0,12,0.7371228380255018,14
4,7771,150,0,19,0.7357972478222448,17
5,7665,256,0,25,0.7257606362832976,19
6,7648,273,0,19,0.7241509910364853,20
7,7506,415,0,23,0.7107057189748769,24
8,7490,431,0,25,0.709190758742583,27
9,7484,437,0,12,0.7086226486554728,28
10,7481,440,0,12,0.7083385936119178,28
11,7460,461,0,23,0.7063502083070319,30
12,7433,488,0,18,0.703793712915036,30
13,7352,569,0,27,0.6961242267390481,33
14,7011,910,0,30,0.6638366367882843,34
15,6966,955,0,22,0.6595758111349577,34
16,6737,1184,0,23,0.6378929428102512,35
17,6721,1200,0,30,0.6363779825779573,39
18,6671,1250,0,17,0.6316437318520389,41
19,6651,1268,2,20,0.6298131549046838,41
20,6522,1396,3,163,0.6176303497033203,42
21,6493,1425,3,48,0.6148844842822876,43
22,6439,1478,4,24,0.6098030551698017,44
23,6387,1530,4,19,0.6048794344148466,44
24,6291,1624,6,17,0.5958527963640954,44
25,5835,2080,6,12,0.5526764297437192,44
26,5816,2099,6,21,0.5508774144678702,44
27,5301,2612,8,23,0.5021777553339225,46
28,5296,2615,10,24,0.5017674536043428,47
29,5293,2616,12,19,0.5015465219038,48
30,5287,2620,14,19,0.5010415351597021,49
31,5282,2625,14,19,0.5005681100871102,50
32,5215,2690,16,23,0.4942873374573918,52
33,5195,2708,18,19,0.4924567605100366,53
34,5073,2830,18,27,0.4809051887387956,53
35,5007,2895,19,19,0.47468753945208947,54
36,5008,2893,20,16,0.47481378613811387,55
37,4982,2917,22,23,0.4724150991036486,57
38,4919,2979,23,16,0.4664815048604974,57
39,4826,3068,27,176,0.4578020451963136,64
40,4792,3101,28,59,0.4546143163741952,64
41,4779,3112,30,29,0.4534465345284686,65
42,4775,3113,33,22,0.45316247948491356,65
43,4734,3153,34,23,0.44931195556116643,66
44,4732,3153,36,16,0.4491857088751421,66
45,4728,3156,37,16,0.4488385304885746,66
46,4718,3166,37,18,0.44789168034339094,66
47,4717,3165,39,15,0.4478601186718849,67
48,4706,3174,41,23,0.446881706855195,68
49,4694,3185,42,23,0.4457770483524807,68
50,4693,3186,42,15,0.4456823633379624,69
