,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7884,37,0,31,0.7464966544628203,2
1,7868,53,0,20,0.7449816942305265,2
2,7852,68,1,20,0.7434982956697387,3
3,7813,107,1,21,0.7398055801035223,4
4,7796,124,1,22,0.73819593485671,5
5,7777,143,1,23,0.736396919580861,5
6,7701,219,1,23,0.729200858477465,6
7,7678,242,1,29,0.7270231031435423,6
8,7631,289,1,21,0.7225729074611791,9
9,7620,300,1,17,0.7215313723014771,9
10,7595,325,1,26,0.7191642469385179,13
11,7576,344,1,25,0.7173652316626689,14
12,7563,357,1,19,0.7161343264739299,14
13,7547,372,2,22,0.7146509279131423,15
14,7443,475,3,22,0.7048352480747381,16
15,7287,631,3,22,0.6900643858098725,17
16,7265,653,3,24,0.6879813154904684,19
17,7246,672,3,25,0.6861823002146193,22
18,7228,690,3,15,0.6844779699532887,22
19,6904,1014,3,28,0.6538000252493371,22
20,6891,1026,4,22,0.6526006817321045,23
