,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7867,54,0,24,0.7448870092160081,7
1,7760,161,0,22,0.7347557126625426,11
2,7737,184,0,18,0.7325779573286202,12
3,7697,224,0,23,0.7287905567478854,15
4,7644,277,0,20,0.7237722509784119,21
5,7638,283,0,12,0.7232041408913017,21
6,7611,310,0,17,0.7206476454993056,23
7,7599,321,1,20,0.7195429869965912,24
8,7503,417,1,16,0.7104532256028279,25
9,7430,490,1,21,0.7035412195429869,28
10,7337,583,1,25,0.6947355131927786,30
11,7269,651,1,18,0.6882969322055296,30
12,7263,657,1,11,0.6877288221184193,33
13,7213,707,1,49,0.6829945713925009,35
14,7208,712,1,14,0.6825211463199091,36
15,7131,789,1,24,0.6752304002019947,38
16,7057,863,1,22,0.6682237091276354,38
17,7039,880,2,19,0.6665509405378109,39
18,7027,891,3,22,0.6654462820350966,40
19,6981,936,4,17,0.6611223330387577,40
20,6936,980,5,62,0.6568930690569373,41
21,6861,1055,5,24,0.6497916929680596,42
22,6825,1091,5,17,0.6463830324453983,42
23,6822,1093,6,20,0.6461305390733494,44
24,6801,1114,6,22,0.6441421537684635,50
25,6790,1125,6,22,0.6431006186087616,53
26,6719,1196,6,20,0.6363779825779574,55
27,6631,1284,6,24,0.6280457013003409,55
28,6542,1372,7,18,0.619650296679712,55
29,6538,1375,8,22,0.6193031182931449,56
30,6531,1382,8,15,0.6186403231915163,56
31,6530,1380,11,23,0.6186403231915163,58
32,6505,1405,11,16,0.616273197828557,58
33,6484,1425,12,26,0.6143163741951774,59
34,6464,1444,13,19,0.6124542355763161,59
35,6426,1482,13,19,0.608856205024618,59
36,6340,1568,13,18,0.6007132937760383,60
37,6305,1602,14,16,0.5974308799394016,60
38,6283,1622,16,23,0.5954109329630097,60
39,6233,1672,16,19,0.5906766822370912,61
40,6222,1682,17,19,0.5896667087488954,61
41,6219,1684,18,13,0.5894142153768464,61
42,6181,1721,19,19,0.5858477464966545,61
43,6137,1764,20,19,0.5817131675293524,62
44,6127,1774,20,31,0.5807663173841687,65
45,6118,1783,20,17,0.5799141522535034,65
46,6020,1880,21,18,0.5706665825022094,67
47,6020,1877,24,13,0.5707612675167277,68
48,6015,1881,25,21,0.5703194041156419,69
49,6010,1886,25,14,0.5698459790430501,69
50,5996,1900,25,25,0.568520388839793,69
51,5929,1966,26,20,0.5622080545385684,69
52,5929,1965,27,19,0.5622396162100745,69
53,5896,1998,27,20,0.5591150107309684,70
54,5839,2055,27,19,0.5537179649034213,71
55,5834,2060,27,15,0.5532445398308294,71
56,5430,2464,27,23,0.5149917939654084,72
57,5426,2468,27,20,0.5146130539073349,73
