,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7903,18,0,16,0.7482956697386693,1
1,7887,34,0,20,0.7467807095063754,4
2,7809,112,0,19,0.7393952783739427,8
3,7796,125,0,18,0.7381643731852039,9
4,7772,149,0,17,0.735891932836763,12
5,6867,1054,0,888,0.6502019946976392,31
6,6847,1074,0,23,0.6483082944072718,32
7,6839,1082,0,16,0.6475508142911248,35
8,6822,1098,1,30,0.6459727307158187,39
9,6816,1103,2,17,0.6454361823002147,42
10,6803,1116,2,20,0.6442052771114759,44
11,6779,1140,2,20,0.641932836763035,48
