,number_susceptible,number_infected,number_resistant,results_tweets,sustainability_score,infected_low
0,7857,64,0,19,0.7439401590708243,3
1,7801,120,0,11,0.7386377982577957,7
2,7764,157,0,13,0.7351344527206161,9
3,7717,204,0,20,0.7306842570382528,14
4,7706,215,0,15,0.7296427218785507,16
5,7685,236,0,16,0.727654336573665,21
6,7606,315,0,21,0.7201742204267138,21
7,7598,323,0,11,0.7194167403105669,23
8,7572,348,1,13,0.7169864916045954,25
9,7382,538,1,18,0.6989963388461052,28
10,7366,554,1,17,0.6974813786138114,31
11,7334,586,1,14,0.6944514581492235,32
12,7107,811,3,17,0.6730210831965661,34
13,6912,1006,3,18,0.6545575053654842,36
14,6878,1040,3,15,0.6513382148718596,36
15,6869,1048,4,16,0.6505176114127004,37
16,6859,1057,5,14,0.6496023229390229,38
17,6813,1103,5,17,0.6452468122711779,39
18,6741,1175,5,11,0.6384294912258554,39
19,6733,1183,5,15,0.6376720111097084,40
20,6711,1205,5,13,0.6355889407903043,42
21,6682,1234,5,18,0.6328430753692716,43
22,6676,1240,5,15,0.6322749652821614,43
23,6536,1378,7,17,0.619082186592602,44
24,6533,1379,9,13,0.6188612548920591,44
25,6502,1410,9,23,0.6159260194419897,44
26,6399,1512,10,13,0.6062050246181038,44
27,6392,1519,10,11,0.6055422295164752,44
28,6305,1606,10,14,0.597304633253377,44
29,6287,1624,10,11,0.5956003029920464,44
30,6279,1632,10,20,0.5948428228758995,44
