,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7894,27,0,25,0.747443504608004,1
1,7879,42,0,18,0.7460232293902285,3
2,7856,65,0,22,0.7438454740563061,4
3,7837,84,0,22,0.742046458780457,4
4,7817,104,0,25,0.7401527584900895,5
5,7808,113,0,14,0.7393005933594243,5
6,7779,142,0,23,0.7365547279383916,6
7,7761,160,0,21,0.734850397677061,6
8,7751,170,0,14,0.7339035475318773,6
9,7731,190,0,27,0.73200984724151,7
10,7718,203,0,17,0.730778942052771,8
11,7662,259,0,16,0.7254765812397425,9
12,7468,451,2,13,0.7071708117661912,9
13,7353,566,2,22,0.6962820350965787,11
14,7303,616,2,21,0.6915477843706602,11
15,7292,627,2,18,0.6905062492109583,13
16,7273,646,2,23,0.6887072339351092,13
17,7241,678,2,24,0.6856773134705214,14
18,7230,689,2,17,0.6846357783108193,14
19,7203,716,2,29,0.6820792829188235,16
20,7192,727,2,22,0.6810377477591213,17
21,7170,749,2,24,0.6789546774397172,18
22,7155,763,3,20,0.6775659638934478,19
23,7140,778,3,24,0.6761456886756723,19
24,7121,796,4,32,0.6743782350713293,20
25,7095,822,4,32,0.6719164246938517,20
26,7072,844,5,29,0.6697702310314355,20
27,7056,859,6,26,0.6682868324706477,21
28,7006,908,7,15,0.6635841434162353,22
29,6992,922,7,24,0.6622585532129781,22
30,6921,992,8,24,0.6555674788536802,22
31,6842,1070,9,25,0.648118924378235,22
32,6831,1081,9,28,0.647077389218533,22
33,6819,1093,9,19,0.6459411690443125,24
34,6812,1099,10,17,0.6453099356141901,24
35,6794,1117,10,31,0.6436056053528595,24
36,6780,1130,11,18,0.6423115768211085,25
37,6769,1140,12,27,0.6413016033329125,27
38,6758,1149,14,24,0.6403231915162227,27
39,6716,1190,15,31,0.6363779825779573,28
40,6704,1202,15,22,0.6352417624037369,29
41,6690,1216,15,29,0.6339161722004797,29
42,6678,1226,17,24,0.6328430753692715,30
43,6670,1233,18,24,0.6321171569246308,30
44,6661,1242,18,21,0.6312649917939654,31
45,6649,1254,18,24,0.630128771619745,31
46,6557,1345,19,18,0.6214493119555611,31
47,6540,1360,21,26,0.6199027900517612,31
48,6531,1368,22,22,0.619082186592602,31
49,6524,1373,24,15,0.6184825148339856,31
50,6513,1383,25,26,0.6174725413457897,31
51,6499,1396,26,20,0.6161785128140387,31
52,6425,1470,26,17,0.6091718217396794,31
53,6416,1479,26,22,0.6083196566090141,31
54,6388,1507,26,20,0.6056684762024998,31
55,6383,1512,26,18,0.6051950511299079,31
56,6370,1523,28,21,0.6040272692841813,32
57,6314,1576,31,23,0.598819593485671,33
58,6248,1641,32,29,0.5926019441989648,33
59,6231,1657,33,31,0.5910238606236586,33
60,6223,1663,35,16,0.590329503850524,33
61,6198,1688,35,18,0.5879623784875647,33
62,6191,1695,35,15,0.5872995833859361,33
63,6177,1709,35,18,0.5859739931826791,33
64,6129,1757,35,22,0.5814291124857973,33
65,6121,1762,38,24,0.5807663173841687,33
66,6110,1772,39,27,0.5797563438959727,33
67,6099,1781,41,27,0.578777932079283,34
68,6090,1789,42,22,0.5779573286201237,34
69,6080,1798,43,21,0.5770420401464461,34
70,6062,1816,43,20,0.5753377098851155,34
71,6042,1835,44,21,0.5734755712662544,34
72,6040,1835,46,25,0.5733493245802297,34
73,6034,1840,47,16,0.5728127761646257,34
74,6024,1847,50,21,0.5719606110339605,34
75,6011,1858,52,24,0.5707928291882338,34
76,5991,1876,54,28,0.5689622522408786,34
77,5975,1892,54,27,0.5674472920085848,34
78,5959,1907,55,35,0.565963893447797,35
79,5955,1911,55,21,0.5655851533897235,35
80,5949,1915,57,25,0.5650801666456255,35
81,5834,2029,58,30,0.5542229516475192,35
82,5829,2033,59,25,0.5537810882464336,35
83,5779,2083,59,31,0.5490468375205151,35
84,5741,2121,59,17,0.5454488069688171,35
85,5737,2121,63,19,0.545196313596768,35
86,5692,2162,67,27,0.5410617346294659,35
87,5684,2168,69,20,0.5403673778563313,35
88,5678,2173,70,20,0.5398308294407271,35
89,5659,2190,72,28,0.5380949375078904,35
90,5629,2220,72,23,0.5352543870723394,35
91,5604,2245,72,25,0.5328872617093801,35
92,5596,2252,73,25,0.5321613432647393,35
93,5547,2301,73,19,0.5275217775533392,35
94,5536,2312,73,25,0.5264802423936371,35
95,5529,2318,74,24,0.5258490089635146,35
96,5524,2322,75,20,0.5254071455624291,35
97,5516,2329,76,21,0.5246812271177882,35
98,5502,2342,77,27,0.5233871985860371,35
99,5498,2346,77,29,0.5230084585279636,35
100,5462,2382,77,28,0.5195997980053023,35
