,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7904,17,0,16,0.7483903547531878,1
1,7888,33,0,20,0.7468753945208938,4
2,7800,121,0,23,0.7385431132432774,5
3,7785,136,0,20,0.7371228380255018,7
4,7768,153,0,22,0.7355131927786895,9
5,7745,176,0,15,0.733335437444767,10
6,7728,193,0,24,0.7317257921979549,11
7,7652,269,0,29,0.7245297310945588,11
8,7632,288,1,27,0.7226675924756976,12
9,7616,304,1,22,0.7211526322434035,13
10,7602,318,1,21,0.7198270420401465,15
11,7574,346,1,28,0.7171758616336321,15
12,7564,356,1,15,0.7162290114884484,15
13,7534,386,1,22,0.7133884610528973,16
14,7520,400,1,19,0.7120628708496402,16
15,7506,414,1,19,0.710737280646383,17
16,7494,426,1,21,0.7096010604721625,17
17,7441,479,1,19,0.704582754702689,18
18,7308,612,1,26,0.691989647771746,18
19,7293,627,1,24,0.6905693725539704,19
20,7283,637,1,15,0.6896225224087867,19
21,7269,651,1,24,0.6882969322055296,19
22,7247,673,1,21,0.6862138618861254,21
23,7233,687,1,27,0.6848882716828684,22
24,7225,694,2,19,0.6841623532382275,22
25,7212,707,2,21,0.6829314480494887,22
26,7203,716,2,16,0.6820792829188235,23
27,7160,759,2,30,0.6780078272945336,24
28,7150,767,4,17,0.677124100492362,24
29,7132,785,4,33,0.6754197702310314,24
30,6976,941,4,24,0.6606489079661658,25
31,6966,950,5,24,0.6597336194924883,25
32,6961,955,5,14,0.6592601944198966,25
33,6953,963,5,19,0.6585027143037495,25
34,6762,1153,6,23,0.6404494382022472,26
35,6754,1161,6,17,0.6396919580861002,26
36,6749,1165,7,15,0.6392500946850145,26
37,6740,1174,7,18,0.6383979295543492,26
38,6734,1180,7,16,0.6378298194672389,27
39,6725,1188,8,21,0.6370092160080799,27
40,6704,1208,9,17,0.6350523923747001,27
41,6650,1261,10,20,0.6299709632622142,28
42,6638,1272,11,23,0.6288663047595001,28
43,6625,1285,11,18,0.6276353995707613,28
44,6616,1293,12,20,0.6268147961116021,29
45,6603,1305,13,26,0.6256154525943693,30
46,6588,1319,14,25,0.6242267390481,30
47,6576,1331,14,21,0.6230905188738796,30
48,6566,1339,16,22,0.622206792071708,30
49,6545,1359,17,29,0.6202499684383285,31
50,6516,1388,17,28,0.6175041030172959,31
51,6445,1458,18,23,0.6108130286579977,32
