,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7545,376,0,32,0.7143984345410933,5
1,7529,392,0,16,0.7128834743087994,6
2,7516,405,0,19,0.7116525691200606,7
3,7489,432,0,34,0.7090960737280646,8
4,7470,451,0,26,0.7072970584522156,9
5,7407,513,1,61,0.7013634642090645,13
6,7391,529,1,25,0.6998485039767706,14
7,7379,541,1,18,0.6987122838025501,15
8,7293,627,1,16,0.6905693725539704,15
9,7259,661,1,17,0.6873500820603459,16
10,7245,674,2,25,0.686056053528595,17
11,7230,687,4,23,0.6846989016538315,17
12,7219,698,4,19,0.6836573664941294,17
13,7206,710,5,24,0.6824580229768968,19
14,7098,818,5,20,0.672232041408913,19
15,7086,830,5,21,0.6710958212346926,19
16,7080,836,5,15,0.6705277111475824,19
17,7056,860,5,25,0.6682552707991416,20
18,7045,870,6,20,0.6672452973109456,20
19,7038,876,7,18,0.6666140638808231,20
20,7029,884,8,19,0.665793460421664,20
21,6895,1018,8,26,0.6531056684762025,21
22,6803,1109,9,22,0.6444262088120187,23
23,6752,1160,9,66,0.6395972730715819,25
24,6743,1168,10,20,0.6387766696124226,27
25,6694,1217,10,28,0.6341371039010226,28
26,6685,1225,11,22,0.6333165004418635,28
27,6676,1233,12,17,0.6324958969827043,28
28,6668,1241,12,17,0.6317384168665572,28
29,6658,1250,13,20,0.6308231283928797,28
30,6649,1259,13,17,0.6299709632622144,28
31,6602,1306,13,27,0.625520767579851,28
32,6583,1324,14,19,0.6237533139755082,28
33,6572,1335,14,27,0.6227117788158061,28
34,6416,1491,14,24,0.6079409165509406,29
35,6411,1496,14,14,0.6074674914783488,29
36,6392,1514,15,28,0.6057000378740058,30
37,6374,1531,16,22,0.6040272692841813,30
38,6245,1659,17,29,0.5918444640828179,30
39,6237,1665,19,17,0.5911501073096831,30
40,6225,1677,19,23,0.5900138871354627,30
41,6214,1688,19,21,0.5889723519757606,30
42,6206,1696,19,25,0.5882148718596136,30
43,6200,1701,20,18,0.5876783234440096,30
44,6141,1759,21,18,0.582123469258932,31
45,6130,1770,21,29,0.5810819340992298,31
46,6103,1795,23,23,0.5785885620502462,31
47,6097,1800,24,18,0.5780520136346421,31
48,6090,1806,25,29,0.5774207802045196,31
49,6083,1813,25,23,0.576757985102891,32
50,5991,1903,27,26,0.5681100871102133,34
51,5964,1927,30,25,0.5656482767327358,34
52,5957,1934,30,15,0.5649854816311072,34
53,5934,1957,30,27,0.5628077262971847,35
54,5927,1963,31,18,0.5621764928670623,35
55,5924,1966,31,22,0.5618924378235071,36
56,5915,1973,33,29,0.5611033960358541,37
57,5904,1984,33,27,0.560061860876152,37
58,5872,2014,35,20,0.5570950637545765,37
59,5861,2025,35,25,0.5560535285948744,37
60,5842,2044,35,27,0.5542545133190254,38
61,5827,2059,35,21,0.5528342381012499,38
62,5817,2068,36,23,0.5519189496275723,39
63,5813,2072,36,26,0.5515402095694988,39
64,5807,2078,36,21,0.5509720994823886,39
65,5806,2079,36,19,0.5508774144678703,39
66,5800,2085,36,25,0.5503093043807601,40
67,5789,2096,36,20,0.5492677692210579,40
68,5785,2099,37,21,0.5489205908344905,40
69,5770,2114,37,21,0.5475003156167151,40
70,5765,2118,38,19,0.5470584522156293,40
71,5726,2156,39,25,0.5433972983209191,40
72,5701,2178,42,26,0.5411248579724782,40
73,5694,2184,43,22,0.5404936245423557,40
74,5678,2199,44,25,0.539010225981568,40
75,5676,2198,47,26,0.5389155409670496,40
76,5549,2323,49,29,0.526953667466229,40
77,5468,2404,49,17,0.5192841812902411,40
78,5463,2408,50,22,0.5188423178891555,40
79,5449,2421,51,31,0.5175482893574044,40
80,5444,2424,53,18,0.5171379876278248,40
81,5439,2428,54,23,0.516696124226739,40
82,5433,2431,57,22,0.5162226991541472,40
83,5423,2440,58,24,0.5153074106804696,40
84,5419,2444,58,16,0.5149286706223962,40
85,5372,2490,59,21,0.510510036611539,40
86,5359,2500,62,28,0.5093738164373186,40
87,5314,2542,65,21,0.5052076757985102,40
