,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7895,26,0,25,0.7475381896225224,2
1,7877,44,0,21,0.7458338593611917,4
2,7826,95,0,22,0.741004923620755,6
3,7803,118,0,19,0.7388271682868325,12
4,7714,207,0,23,0.7304002019946976,12
5,7697,224,0,23,0.7287905567478854,12
6,7686,235,0,17,0.7277490215881833,12
7,7673,246,2,20,0.7265812397424568,13
8,7645,274,2,20,0.7239300593359425,15
9,7624,295,2,28,0.7219416740310567,16
10,7605,314,2,21,0.7201426587552077,17
11,7573,346,2,20,0.7171127382906199,17
12,7556,363,2,21,0.7155030930438077,17
13,7484,434,3,23,0.7087173336699911,17
14,7462,456,3,17,0.7066342633505871,18
15,7437,480,4,25,0.7042986996591339,20
16,7427,490,4,15,0.7033518495139502,20
17,7418,498,5,15,0.702531246054791,21
18,7406,510,5,25,0.7013950258805707,21
19,7375,541,5,28,0.6984597904305012,22
20,7360,556,5,21,0.6970395152127258,23
21,7201,714,6,27,0.6820161595758111,23
22,7189,725,7,20,0.6809115010730968,24
23,7175,738,8,22,0.6796174725413459,24
24,7143,770,8,17,0.676587552076758,24
25,6835,1077,9,15,0.6474561292766065,24
26,6816,1096,9,24,0.6456571140007575,25
27,6801,1110,10,27,0.644268400454488,26
28,6727,1184,10,26,0.6372617093801287,26
29,6703,1207,11,30,0.6350208307031942,26
30,6692,1218,11,19,0.633979295543492,26
31,6678,1232,11,27,0.6326537053402348,26
32,6672,1237,12,17,0.6321171569246307,26
33,6609,1300,12,19,0.6261520010099735,26
34,6594,1314,13,31,0.624763287463704,26
35,6582,1326,13,25,0.6236270672894836,26
36,6564,1343,14,22,0.6219542986996592,26
37,6556,1351,14,29,0.6211968185835123,26
38,6340,1566,15,26,0.6007764171190506,26
39,6329,1577,15,24,0.5997348819593485,26
40,6310,1596,15,22,0.5979358666834996,26
41,6300,1606,15,22,0.5969890165383158,27
42,6294,1612,15,18,0.5964209064512056,27
43,6214,1690,17,25,0.5889092286327484,28
44,6204,1700,17,21,0.5879623784875647,28
45,6193,1710,18,15,0.5869524049993688,28
46,6182,1719,20,20,0.585973993182679,28
47,6168,1732,21,27,0.584679964650928,28
48,6158,1740,23,20,0.5837962378487564,28
49,6146,1750,25,29,0.5827231410175483,28
50,6139,1757,25,20,0.5820603459159197,28
51,6115,1780,26,24,0.579819467238985,29
52,6091,1803,27,25,0.5775785885620502,29
53,6080,1814,27,27,0.5765370534023482,29
54,6073,1819,29,24,0.5759373816437319,30
55,6067,1825,29,26,0.5753692715566217,30
56,6060,1831,30,26,0.5747380381264993,31
57,6054,1834,33,27,0.5742646130539074,31
58,6045,1840,36,21,0.5735071329377603,31
59,6039,1845,37,26,0.5729705845221562,31
60,6027,1856,38,28,0.571865926019442,32
61,6016,1866,39,25,0.5708559525312461,32
62,5993,1888,40,29,0.5687097588688297,32
63,5941,1939,41,26,0.5638176997853807,32
64,5895,1982,44,22,0.559556874132054,32
65,5887,1990,44,19,0.5587993940159072,32
66,5879,1998,44,19,0.5580419138997602,32
67,5868,2008,45,33,0.5570319404115642,32
68,5861,2013,47,15,0.5564322686529479,32
69,5859,2014,48,18,0.5562744602954173,32
70,5855,2017,49,15,0.5559272819088499,32
71,5814,2056,51,26,0.552108319656609,32
72,5708,2162,51,21,0.5420717081176619,33
73,5706,2164,51,15,0.5418823380886252,33
74,5698,2169,54,33,0.5412195429869966,33
75,5695,2171,55,16,0.5409670496149476,33
76,5693,2171,57,18,0.5408408029289231,33
77,5683,2181,57,27,0.5398939527837394,33
78,5678,2185,58,23,0.5394520893826537,33
79,5675,2185,61,22,0.5392627193536169,33
80,5658,2201,62,24,0.5376846357783108,33
81,5655,2202,64,12,0.537463704077768,33
82,5595,2260,66,26,0.5318457265496781,33
83,5454,2401,66,19,0.5184951395025881,33
84,5453,2401,67,16,0.5184320161595758,33
85,5444,2410,67,32,0.5175798510289105,33
86,5433,2421,67,29,0.5165383158692084,33
87,5431,2419,71,19,0.5164751925261962,33
88,5417,2430,74,26,0.5152442873374573,33
89,5382,2462,77,26,0.5120249968438328,33
90,5375,2466,80,25,0.5114568867567225,33
91,5372,2469,80,22,0.5111728317131675,33
92,5367,2473,81,25,0.5107309683120819,33
93,5360,2480,81,19,0.5100681732104533,33
94,5347,2492,82,20,0.5088688296932206,33
95,5340,2499,82,25,0.508206034591592,33
96,5335,2502,84,23,0.5077957328620124,33
97,5333,2502,86,13,0.5076694861759878,33
98,5325,2509,87,23,0.5069435677313471,33
99,5323,2511,87,25,0.5067541977023103,33
100,5318,2516,87,21,0.5062807726297185,33
101,5314,2517,90,24,0.5059967175861634,33
102,5310,2519,92,18,0.5056811008711021,33
103,5228,2599,94,29,0.49798005302360815,33
104,5220,2606,95,16,0.4972541345789673,33
105,5218,2608,95,20,0.4970647645499306,33
106,5214,2611,96,19,0.4967175861633632,33
107,5203,2620,98,17,0.4957391743466734,33
108,5199,2622,100,24,0.49542355763161217,33
109,5190,2630,101,20,0.494602954172453,33
110,5185,2634,102,27,0.4941610907713672,33
111,5134,2684,103,20,0.4893637167024366,33
112,5103,2715,103,25,0.48642848125236715,33
113,5091,2726,104,27,0.48532382274965286,33
114,5077,2738,106,23,0.4840613558894079,33
115,5075,2738,108,10,0.4839351092033834,33
116,5068,2742,111,25,0.4833669991162732,33
117,5062,2745,114,21,0.48289357404368133,34
118,5055,2748,118,26,0.48235702562807725,34
119,5051,2752,118,24,0.4819782855700038,34
120,5042,2759,120,24,0.4811892437823507,34
121,5036,2761,124,25,0.48074738038126497,34
122,5026,2771,124,22,0.4798005302360813,34
123,5022,2775,124,20,0.4794217901780078,34
124,5017,2780,124,20,0.478948365105416,34
125,5014,2780,127,25,0.47875899507637926,34
126,5005,2789,127,31,0.47790682994571393,35
127,5003,2791,127,24,0.47771745991667713,35
128,4999,2793,129,23,0.47740184320161594,35
129,4994,2795,132,18,0.4770231031435424,35
130,4989,2798,134,18,0.47661280141396295,35
131,4985,2800,136,19,0.4762971846989016,35
132,4980,2804,137,23,0.475855321297816,35
133,4979,2804,138,19,0.4757921979548037,35
134,4976,2806,139,24,0.47553970458275474,35
135,4974,2808,139,19,0.475350334553718,35
136,4953,2828,140,21,0.4733935109203384,35
137,4951,2828,142,22,0.4732672642343138,35
138,4944,2830,147,23,0.4727622774902159,35
139,4938,2834,149,27,0.47225729074611794,36
140,4915,2857,149,22,0.47007953541219544,36
141,4894,2876,151,20,0.4681542734503219,36
142,4886,2884,151,28,0.46739679333417494,36
143,4877,2892,152,29,0.46657618987501587,36
144,4873,2894,154,24,0.4662605731599545,36
145,4855,2910,156,21,0.4646193662416361,37
146,4830,2930,161,24,0.46241004923620754,37
147,4814,2943,164,29,0.460989774018432,38
148,4777,2979,165,27,0.45751799015275846,38
149,4773,2982,166,24,0.4571708117661911,38
150,4770,2982,169,26,0.4569814417371544,38
151,4758,2993,170,22,0.45587678323444003,38
152,4751,3000,170,32,0.4552139881328115,39
153,4746,3004,171,28,0.45477212473172574,39
154,4731,3019,171,20,0.4533518495139502,39
