,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7904,17,0,16,0.7483903547531878,3
1,7882,39,0,22,0.7463072844337836,6
2,7873,48,0,10,0.7454551193031183,7
3,7777,143,1,24,0.736396919580861,7
4,7660,260,1,17,0.7253187728822118,8
5,7630,289,2,33,0.7225097841181669,9
6,7621,298,2,14,0.7216576189875016,9
7,7595,324,2,22,0.7191958086100241,10
8,7579,340,2,22,0.7176808483777302,10
9,7566,353,2,15,0.7164499431889914,11
10,7481,438,2,16,0.70840171695493,12
11,7445,474,2,17,0.7049930564322687,13
12,7425,494,2,20,0.7030993561419013,15
13,7412,506,3,15,0.7019000126246686,17
14,7400,518,3,17,0.7007637924504482,17
15,7341,576,4,28,0.6952089382653706,20
16,7330,586,5,19,0.6941989647771747,20
17,7315,601,5,15,0.692778689559399,22
18,7294,621,6,17,0.6908218659260195,24
19,7276,639,6,23,0.6891175356646888,24
20,7260,654,7,15,0.687634137103901,26
21,7250,664,7,16,0.6866872869587173,27
22,7234,679,8,22,0.6852038883979296,27
23,7209,704,8,25,0.6828367630349704,27
24,7042,871,8,29,0.6670243656104028,27
25,7030,883,8,20,0.6658881454361824,27
26,6966,947,8,20,0.6598283045070067,27
27,6953,960,8,21,0.6585973993182679,27
28,6938,974,9,19,0.6572086857719984,27
29,6923,988,10,24,0.6558199722257291,27
30,6917,993,11,16,0.655283423810125,27
31,6907,1000,14,20,0.6544312586794597,27
32,6901,1005,15,14,0.6538947102638556,27
33,6889,1015,17,24,0.6528216134326474,27
34,6873,1031,17,24,0.6513066532003535,27
35,6861,1043,17,18,0.6501704330261331,27
36,6852,1052,17,13,0.6493182678954679,27
37,6829,1075,17,16,0.6471405125615453,27
38,6821,1082,18,13,0.6464145941169045,27
39,6766,1135,20,29,0.6412700416614064,27
40,6743,1158,20,13,0.6390922863274839,27
41,6593,1305,23,18,0.624984219164247,27
42,6583,1313,25,15,0.6241004923620754,27
43,6570,1324,27,21,0.622932710516349,27
44,6557,1337,27,19,0.6217018053276101,28
45,6549,1345,27,14,0.6209443252114633,28
46,6536,1356,29,31,0.6197765433657367,28
47,6524,1367,30,19,0.6186718848630224,28
48,6519,1370,32,13,0.6182615831334428,28
49,6512,1377,32,14,0.6175987880318142,29
50,6503,1385,33,19,0.616778184572655,29
51,6501,1386,34,13,0.6166203762151243,29
52,6489,1397,35,16,0.6155157177124101,29
53,6481,1405,35,23,0.6147582375962631,29
54,6448,1437,36,18,0.611665193788663,29
55,6427,1457,37,19,0.6097083701552833,29
56,6416,1465,40,19,0.6087615200100998,29
57,6405,1475,41,21,0.6077515465219039,29
58,6263,1616,42,20,0.5943378361318015,29
59,6167,1712,42,14,0.5852480747380381,29
60,6158,1720,43,17,0.5844274712788788,29
61,6146,1732,43,19,0.5832912511046585,29
62,6145,1732,44,7,0.5832281277616463,29
63,6138,1739,44,22,0.5825653326600178,30
64,6134,1743,44,15,0.5821865926019443,31
65,6122,1755,44,18,0.5810503724277238,31
66,6117,1760,44,24,0.580576947355132,31
67,6109,1767,45,22,0.5798510289104911,31
68,6097,1777,47,22,0.578777932079283,31
69,6090,1784,47,19,0.5781151369776544,31
70,6059,1812,50,14,0.5752745865421033,31
71,6055,1814,52,19,0.574958969827042,31
72,6038,1831,52,18,0.5733493245802298,31
73,6033,1836,52,23,0.5728758995076378,32
74,6029,1838,54,19,0.5725602827925768,32
75,6022,1845,54,22,0.5718974876909481,33
76,6015,1850,56,19,0.5712978159323318,33
77,6008,1856,57,24,0.5706665825022094,33
78,5998,1863,60,25,0.569814417371544,33
79,5993,1865,63,20,0.5694356773134706,33
80,5783,2074,64,18,0.5495833859361191,33
81,5776,2078,67,22,0.549015275849009,34
82,5707,2146,68,24,0.5425135715187476,34
83,5698,2153,70,26,0.5417245297310945,34
84,5677,2173,71,19,0.5397677060977148,35
85,5666,2183,72,25,0.538757732609519,35
86,5656,2192,73,21,0.5378424441358414,35
87,5651,2195,75,17,0.5374321424062619,35
88,5645,2201,75,19,0.5368640323191517,35
89,5638,2207,76,8,0.5362327988890291,35
90,5629,2214,78,26,0.5354437571013761,35
91,5562,2281,78,23,0.5290998611286454,36
92,5554,2287,80,16,0.5284055043555106,36
93,5498,2342,81,21,0.5231347052139882,36
94,5493,2346,82,16,0.5226928418129024,36
95,5491,2347,83,12,0.5225350334553718,36
96,5483,2354,84,21,0.5218091150107309,36
97,5474,2362,85,25,0.5209885115515718,36
98,5466,2370,85,21,0.5202310314354248,36
99,5461,2373,87,19,0.5198207297058453,36
100,5459,2373,89,16,0.5196944830198207,36
101,5453,2377,91,22,0.5191894962757228,36
102,5452,2377,92,19,0.5191263729327105,36
103,5449,2379,93,14,0.5188738795606616,36
104,5442,2385,94,20,0.518242646130539,36
105,5440,2387,94,26,0.5180532761015023,36
106,5406,2419,96,25,0.51489710895089,36
107,5401,2424,96,19,0.5144236838782983,36
108,5399,2426,96,15,0.5142343138492614,36
109,5395,2429,97,16,0.5138871354626942,36
110,5397,2425,99,14,0.5141396288347432,36
111,5191,2630,100,19,0.4946660775154652,36
112,5182,2639,100,12,0.4938139123847999,36
113,5177,2642,102,21,0.4934036106552203,36
114,5172,2647,102,15,0.4929301855826284,36
115,5148,2665,108,19,0.4908471152632243,36
116,5143,2667,111,21,0.4904683752051509,36
117,5134,2674,113,16,0.48967933341749786,36
118,5124,2683,114,22,0.48876404494382014,37
