,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7884,37,0,26,0.7464966544628203,0
1,7866,55,0,19,0.7447923242014897,0
2,7805,115,1,23,0.7390480999873753,0
3,7788,132,1,23,0.737438454740563,0
4,7770,150,1,24,0.7357341244792324,0
5,7633,287,1,22,0.7227622774902158,0
6,7621,299,1,18,0.7216260573159954,0
7,7593,327,1,19,0.718974876909481,0
8,7510,409,2,29,0.7111475823759627,0
9,7496,422,3,22,0.7098535538442116,0
10,7480,437,4,23,0.7083701552834238,0
11,7471,445,5,18,0.7075495518242647,0
12,7456,460,5,22,0.7061292766064892,0
13,7432,484,5,20,0.7038568362580483,0
14,7421,494,6,18,0.7028468627698523,0
15,7414,501,6,16,0.7021840676682237,0
16,6902,1013,6,547,0.6537053402348189,0
17,6888,1025,8,24,0.652442873374574,0
18,6873,1040,8,27,0.6510225981567984,0
19,6865,1047,9,21,0.6502966797121575,0
20,6858,1054,9,20,0.6496338846105291,0
21,6684,1227,10,19,0.6331902537558388,0
22,6399,1511,11,25,0.60623658628961,0
23,6382,1526,13,22,0.6046900643858099,0
24,6353,1553,15,21,0.6020073223077894,0
25,6343,1561,17,24,0.601123595505618,0
26,6338,1566,17,17,0.6006501704330263,0
27,6259,1641,21,24,0.5932963009720995,0
28,6249,1646,26,21,0.5925072591844465,0
29,6241,1650,30,17,0.591876025754324,0
30,6235,1656,30,22,0.5913079156672137,0
31,6214,1676,31,23,0.5893510920338341,0
32,6207,1681,33,22,0.5887514202752178,0
33,6198,1688,35,22,0.5879623784875647,0
34,6180,1705,36,22,0.5862896098977403,0
35,6177,1704,40,16,0.5861318015402096,0
36,6171,1709,41,21,0.5855952531246056,0
37,6162,1717,42,21,0.5847746496654463,0
38,6153,1724,44,19,0.5839856078777933,0
39,6141,1733,47,24,0.5829440727180912,0
40,6133,1741,47,23,0.5821865926019443,0
41,6123,1751,47,16,0.5812397424567606,0
42,6117,1756,48,24,0.5807031940411564,0
43,5994,1877,50,160,0.5691200605984094,0
44,5982,1888,51,26,0.568015402095695,0
45,5974,1890,57,20,0.5674472920085848,0
46,5371,2491,59,727,0.5104153515970207,0
47,5364,2496,61,14,0.5098156798384043,0
48,5044,2812,65,457,0.4796427218785507,0
49,4998,2856,67,21,0.475350334553718,0
50,4991,2860,70,22,0.47478222446660767,0
51,4984,2866,71,24,0.4741509910364853,0
52,4980,2864,77,20,0.4739616210074486,0
53,4973,2866,82,25,0.4734566342633506,0
54,4966,2872,83,22,0.4728254008332281,0
55,4878,2957,86,22,0.46458780457013005,0
56,4868,2964,89,31,0.4637356394394648,0
57,4865,2966,90,14,0.4634831460674158,0
58,4863,2966,92,19,0.46335689938139124,0
59,4860,2965,96,26,0.46319909102386064,0
60,4852,2971,98,22,0.46250473425072597,0
61,4849,2972,100,21,0.4622838025501831,0
62,4845,2974,102,24,0.4619681858351218,0
63,4842,2976,103,27,0.4617156924630728,0
64,4843,2971,107,22,0.46193662416361575,0
65,4838,2974,109,24,0.46152632243403613,0
66,4835,2973,113,21,0.46136851407650553,0
67,4830,2978,113,27,0.4608950890039136,0
68,4830,2973,118,14,0.4610528973614442,0
69,4823,2974,124,21,0.46057947228885243,0
70,4820,2976,125,23,0.46032697891680346,0
71,4737,3057,127,26,0.452531246054791,0
72,4732,3062,127,21,0.45205782098219927,0
73,4296,3494,131,737,0.4109014013382149,0
74,4292,3494,135,19,0.4106489079661659,0
75,4291,3490,140,22,0.41071203130917816,0
76,4299,3480,142,15,0.41153263476833735,0
77,4302,3471,148,21,0.4120060598409292,0
78,4300,3470,151,26,0.4119113748264108,0
79,4292,3477,152,26,0.41118545638177,0
80,4287,3477,157,27,0.41086983966670876,0
81,4288,3470,163,19,0.41115389471026387,0
82,4285,3469,167,17,0.4109960863527332,0
83,4281,3471,169,33,0.410680469637672,0
84,4280,3470,171,24,0.4106489079661659,0
85,4277,3472,172,25,0.4103964145941169,0
86,4242,3505,174,25,0.4071455624289862,0
87,4243,3503,175,17,0.40727180911501076,0
88,4239,3505,177,20,0.40695619239994946,0
89,4237,3506,178,34,0.4067983840424189,0
90,4126,3615,180,18,0.39635147077389216,0
91,4120,3618,183,22,0.3958780457013003,0
92,4115,3620,186,22,0.39549930564322683,0
93,4117,3615,189,16,0.39578336068678194,0
94,4116,3613,192,16,0.395783360686782,0
95,4072,3655,194,16,0.391680343390986,0
96,4073,3648,200,21,0.3919643984345411,0
97,4075,3644,202,14,0.39221689180659003,0
98,4078,3636,207,19,0.39265875520767574,0
99,4077,3634,210,19,0.3926587552076758,0
100,4053,3650,218,24,0.3906388082312839,0
101,4048,3649,224,26,0.39035475318772883,0
102,4045,3651,225,28,0.39010225981567986,0
103,4025,3668,228,20,0.38830324453983084,0
104,4019,3670,232,25,0.3878613811387451,0
105,3642,4042,237,751,0.35232293902285067,0
106,3262,4416,243,726,0.31653200353490724,0
107,3262,4414,245,23,0.31659512687791946,0
108,3258,4411,252,20,0.31643731852038887,0
109,3260,4404,257,30,0.3167844969069562,0
110,3265,4394,262,19,0.31741573033707865,0
111,3268,4389,264,15,0.31776290872364604,0
112,3273,4379,269,16,0.3183941421537685,0
113,3255,4392,274,30,0.31684762024996843,0
