,results
0,24
1,16
2,16
3,20
4,20
5,21
6,21
7,28
8,19
9,11
10,20
11,22
12,24
13,21
14,11
15,27
16,19
17,21
18,20
19,21
20,24
21,21
22,27
23,17
24,23
25,25
26,18
27,27
28,23
29,17
30,29
31,20
32,18
33,23
34,14
35,16
36,22
37,20
38,19
39,9
40,27
41,18
42,14
43,18
44,14
45,20
46,21
47,15
48,18
49,13
50,11
51,13
52,23
53,15
54,21
55,18
56,17
57,23
58,19
59,27
60,22
61,24
62,17
63,24
64,24
65,21
66,25
67,20
68,19
69,26
70,18
71,19
72,18
73,22
74,20
75,15
76,22
77,19
78,18
79,22
80,10
81,21
82,27
83,19
84,25
85,18
86,23
87,20
88,17
89,18
90,24
91,19
92,16
93,21
94,16
95,18
96,24
97,25
98,20
99,18
100,18
101,18
102,24
103,26
104,25
105,27
106,16
107,24
108,18
109,15
110,18
111,18
112,20
113,27
114,25
115,23
116,16
117,17
118,21
119,19
120,18
121,19
122,23
123,20
124,16
125,30
126,18
127,27
128,10
129,22
130,18
131,16
132,29
133,20
134,18
135,20
136,22
137,14
138,25
139,22
140,10
141,16
142,22
143,23
144,15
145,23
146,20
147,25
148,24
149,12
150,22
151,14
152,17
153,22
154,27
155,22
156,20
157,29
158,18
159,11
160,22
161,23
162,25
163,18
164,23
165,15
166,21
167,16
168,26
169,16
170,26
171,27
172,26
173,20
174,22
175,16
176,24
177,21
178,17
179,15
180,20
181,18
182,19
183,20
184,13
185,13
186,9
187,22
188,20
189,18
190,23
191,13
192,23
193,19
194,16
195,19
